t=,39600, id=,B00, PRDE,actvstrat=,0.341158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831100, actvprof=,0.001945, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,4.636646, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,5.174454, id=,S02, PRDE,actvstrat=,-0.978355, actvprof=,0.218068, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.077227, id=,S06, PRDE,actvstrat=,-0.204368, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.174454, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,0.218068, best_S_strat=,-0.978355, 
t=,43200, id=,B00, PRDE,actvstrat=,0.341158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831100, actvprof=,0.000972, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,4.688921, id=,B09, PRDE,actvstrat=,-0.050314, actvprof=,5.300592, id=,S02, PRDE,actvstrat=,-0.978355, actvprof=,0.219446, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.092778, id=,S06, PRDE,actvstrat=,-0.204368, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.300592, best_B_strat=,-0.050314, best_S_id=,S02, best_S_prof=,0.219446, best_S_strat=,-0.978355, 
t=,46800, id=,B00, PRDE,actvstrat=,0.341158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831739, actvprof=,0.053892, id=,B08, PRDE,actvstrat=,-0.408210, actvprof=,3.605478, id=,B09, PRDE,actvstrat=,0.817967, actvprof=,7.853770, id=,S02, PRDE,actvstrat=,-0.472106, actvprof=,0.381410, id=,S03, PRDE,actvstrat=,0.951782, actvprof=,1.674537, id=,S06, PRDE,actvstrat=,-0.041140, actvprof=,0.004722, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,0.219862, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.853770, best_B_strat=,0.817967, best_S_id=,S03, best_S_prof=,1.674537, best_S_strat=,0.951782, 
t=,50400, id=,B00, PRDE,actvstrat=,0.341158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.725394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831739, actvprof=,0.055696, id=,B08, PRDE,actvstrat=,-0.408210, actvprof=,3.612323, id=,B09, PRDE,actvstrat=,0.817967, actvprof=,7.785911, id=,S02, PRDE,actvstrat=,-0.472106, actvprof=,0.284175, id=,S03, PRDE,actvstrat=,0.951782, actvprof=,1.601017, id=,S06, PRDE,actvstrat=,-0.041140, actvprof=,0.007917, id=,S07, PRDE,actvstrat=,0.435657, actvprof=,0.006111, id=,S08, PRDE,actvstrat=,0.219862, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.785911, best_B_strat=,0.817967, best_S_id=,S03, best_S_prof=,1.601017, best_S_strat=,0.951782, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052500, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831100, actvprof=,0.000556, id=,B08, PRDE,actvstrat=,-0.985564, actvprof=,1.858437, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.365298, id=,S02, PRDE,actvstrat=,-0.731613, actvprof=,0.255292, id=,S03, PRDE,actvstrat=,-0.136012, actvprof=,0.104172, id=,S06, PRDE,actvstrat=,-0.204368, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.220252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.365298, best_B_strat=,-0.454415, best_S_id=,S02, best_S_prof=,0.255292, best_S_strat=,-0.731613, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052500, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.831100, actvprof=,0.001250, id=,B08, PRDE,actvstrat=,-0.985564, actvprof=,1.785327, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.173338, id=,S02, PRDE,actvstrat=,-0.731613, actvprof=,0.260007, id=,S03, PRDE,actvstrat=,-0.136012, actvprof=,0.117781, id=,S06, PRDE,actvstrat=,-0.204368, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.220252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.173338, best_B_strat=,-0.454415, best_S_id=,S02, best_S_prof=,0.260007, best_S_strat=,-0.731613, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.965310, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.940595, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560383, actvprof=,0.050002, id=,B08, PRDE,actvstrat=,-0.054252, actvprof=,4.532411, id=,B09, PRDE,actvstrat=,-0.405755, actvprof=,5.637179, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,2.210648, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.036390, id=,S06, PRDE,actvstrat=,-0.666226, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.220252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.637179, best_B_strat=,-0.405755, best_S_id=,S02, best_S_prof=,2.210648, best_S_strat=,0.745213, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.965310, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.940595, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560383, actvprof=,0.042918, id=,B08, PRDE,actvstrat=,-0.054252, actvprof=,4.574849, id=,B09, PRDE,actvstrat=,-0.405755, actvprof=,5.539043, id=,S02, PRDE,actvstrat=,0.745213, actvprof=,2.209506, id=,S03, PRDE,actvstrat=,-0.687156, actvprof=,0.026251, id=,S06, PRDE,actvstrat=,-0.666226, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.220252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.584964, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.539043, best_B_strat=,-0.405755, best_S_id=,S02, best_S_prof=,2.209506, best_S_strat=,0.745213, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.213246, actvprof=,0.063892, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.137563, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,6.038391, id=,S02, PRDE,actvstrat=,-0.060382, actvprof=,0.405578, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,1.045614, id=,S06, PRDE,actvstrat=,-0.354126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.112661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.137563, best_B_strat=,0.531190, best_S_id=,S03, best_S_prof=,1.045614, best_S_strat=,0.909011, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.158850, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.711351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.213246, actvprof=,0.056807, id=,B08, PRDE,actvstrat=,0.531190, actvprof=,6.060724, id=,B09, PRDE,actvstrat=,-0.454415, actvprof=,5.754188, id=,S02, PRDE,actvstrat=,-0.060382, actvprof=,0.430984, id=,S03, PRDE,actvstrat=,0.909011, actvprof=,1.067113, id=,S06, PRDE,actvstrat=,-0.354126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.025026, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.112661, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.060724, best_B_strat=,0.531190, best_S_id=,S03, best_S_prof=,1.067113, best_S_strat=,0.909011, 
