t=,39600, id=,B01, PRDE,actvstrat=,0.894466, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.393323, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031484, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,-0.850532, actvprof=,0.650601, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.631155, id=,S00, PRDE,actvstrat=,-0.332282, actvprof=,1.672616, id=,S02, PRDE,actvstrat=,0.665110, actvprof=,1.585943, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.791444, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.171401, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.631155, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.672616, best_S_strat=,-0.332282, 
t=,43200, id=,B01, PRDE,actvstrat=,0.894466, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.393323, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031484, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,-0.850532, actvprof=,0.612521, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.600993, id=,S00, PRDE,actvstrat=,-0.332282, actvprof=,1.733255, id=,S02, PRDE,actvstrat=,0.665110, actvprof=,1.678808, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.872391, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.183617, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.600993, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.733255, best_S_strat=,-0.332282, 
t=,46800, id=,B01, PRDE,actvstrat=,0.791060, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.604198, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.864673, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,0.573630, actvprof=,1.038128, id=,B09, PRDE,actvstrat=,-0.111865, actvprof=,4.328912, id=,S00, PRDE,actvstrat=,-0.040965, actvprof=,4.598653, id=,S02, PRDE,actvstrat=,0.459286, actvprof=,3.057157, id=,S03, PRDE,actvstrat=,-0.944844, actvprof=,0.207792, id=,S04, PRDE,actvstrat=,0.580847, actvprof=,0.452531, id=,S07, PRDE,actvstrat=,0.320657, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.328912, best_B_strat=,-0.111865, best_S_id=,S00, best_S_prof=,4.598653, best_S_strat=,-0.040965, 
t=,50400, id=,B01, PRDE,actvstrat=,0.791060, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.604198, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.864673, actvprof=,0.003472, id=,B06, PRDE,actvstrat=,0.573630, actvprof=,1.031008, id=,B09, PRDE,actvstrat=,-0.111865, actvprof=,4.383069, id=,S00, PRDE,actvstrat=,-0.040965, actvprof=,4.533213, id=,S02, PRDE,actvstrat=,0.459286, actvprof=,2.986076, id=,S03, PRDE,actvstrat=,-0.944844, actvprof=,0.177645, id=,S04, PRDE,actvstrat=,0.580847, actvprof=,0.463211, id=,S07, PRDE,actvstrat=,0.320657, actvprof=,0.000972, best_B_id=,B09, best_B_prof=,4.383069, best_B_strat=,-0.111865, best_S_id=,S00, best_S_prof=,4.533213, best_S_strat=,-0.040965, 
t=,54000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.747489, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.762350, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,0.871119, actvprof=,0.954511, id=,B09, PRDE,actvstrat=,0.214881, actvprof=,4.633933, id=,S00, PRDE,actvstrat=,-0.255569, actvprof=,4.071672, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.917564, id=,S03, PRDE,actvstrat=,-0.354682, actvprof=,0.534759, id=,S04, PRDE,actvstrat=,-0.700991, actvprof=,0.120286, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, best_B_id=,B09, best_B_prof=,4.633933, best_B_strat=,0.214881, best_S_id=,S02, best_S_prof=,4.917564, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.747489, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.762350, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,0.871119, actvprof=,0.939616, id=,B09, PRDE,actvstrat=,0.214881, actvprof=,4.553769, id=,S00, PRDE,actvstrat=,-0.255569, actvprof=,4.043474, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.965867, id=,S03, PRDE,actvstrat=,-0.354682, actvprof=,0.549325, id=,S04, PRDE,actvstrat=,-0.700991, actvprof=,0.130282, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.003195, best_B_id=,B09, best_B_prof=,4.553769, best_B_strat=,0.214881, best_S_id=,S02, best_S_prof=,4.965867, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.512252, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.206675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011557, actvprof=,0.003334, id=,B06, PRDE,actvstrat=,-0.748155, actvprof=,0.567817, id=,B09, PRDE,actvstrat=,0.317604, actvprof=,6.257101, id=,S00, PRDE,actvstrat=,-0.112806, actvprof=,2.824918, id=,S02, PRDE,actvstrat=,0.890368, actvprof=,3.037989, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.560108, id=,S04, PRDE,actvstrat=,-0.988393, actvprof=,0.189735, id=,S07, PRDE,actvstrat=,-0.230692, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.257101, best_B_strat=,0.317604, best_S_id=,S02, best_S_prof=,3.037989, best_S_strat=,0.890368, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.512252, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.206675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011557, actvprof=,0.002500, id=,B06, PRDE,actvstrat=,-0.748155, actvprof=,0.596826, id=,B09, PRDE,actvstrat=,0.317604, actvprof=,6.460780, id=,S00, PRDE,actvstrat=,-0.112806, actvprof=,2.880517, id=,S02, PRDE,actvstrat=,0.890368, actvprof=,3.021355, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.483663, id=,S04, PRDE,actvstrat=,-0.988393, actvprof=,0.178062, id=,S07, PRDE,actvstrat=,-0.230692, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.460780, best_B_strat=,0.317604, best_S_id=,S02, best_S_prof=,3.021355, best_S_strat=,0.890368, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.725964, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.399393, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.397712, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.688474, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.344418, id=,S00, PRDE,actvstrat=,-0.131240, actvprof=,3.706420, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.383976, id=,S03, PRDE,actvstrat=,0.192466, actvprof=,1.311498, id=,S04, PRDE,actvstrat=,0.728699, actvprof=,0.774787, id=,S07, PRDE,actvstrat=,0.869994, actvprof=,0.007501, best_B_id=,B09, best_B_prof=,6.344418, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,4.383976, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.725964, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.399393, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.397712, actvprof=,0.003750, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.713139, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.400033, id=,S00, PRDE,actvstrat=,-0.131240, actvprof=,3.879494, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.415631, id=,S03, PRDE,actvstrat=,0.192466, actvprof=,1.240616, id=,S04, PRDE,actvstrat=,0.728699, actvprof=,0.763370, id=,S07, PRDE,actvstrat=,0.869994, actvprof=,0.008334, best_B_id=,B09, best_B_prof=,6.400033, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,4.415631, best_S_strat=,1.000000, 
