t=,39600, id=,B00, PRDE,actvstrat=,-0.778868, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.633098, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.379411, actvprof=,0.768088, id=,B06, PRDE,actvstrat=,-0.391054, actvprof=,0.971985, id=,B09, PRDE,actvstrat=,0.309703, actvprof=,7.152242, id=,S03, PRDE,actvstrat=,0.396168, actvprof=,0.388905, id=,S05, PRDE,actvstrat=,-0.215436, actvprof=,0.002222, id=,S06, PRDE,actvstrat=,0.759723, actvprof=,0.005278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,0.842406, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.152242, best_B_strat=,0.309703, best_S_id=,S03, best_S_prof=,0.388905, best_S_strat=,0.396168, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.778868, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.633098, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.379411, actvprof=,0.748349, id=,B06, PRDE,actvstrat=,-0.391054, actvprof=,0.978493, id=,B09, PRDE,actvstrat=,0.309703, actvprof=,7.118343, id=,S03, PRDE,actvstrat=,0.396168, actvprof=,0.419592, id=,S05, PRDE,actvstrat=,-0.215436, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,0.759723, actvprof=,0.010278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.005000, id=,S09, PRDE,actvstrat=,0.842406, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.118343, best_B_strat=,0.309703, best_S_id=,S03, best_S_prof=,0.419592, best_S_strat=,0.396168, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.778868, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.847074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.145918, actvprof=,0.473915, id=,B06, PRDE,actvstrat=,-0.120007, actvprof=,1.702595, id=,B09, PRDE,actvstrat=,-0.454911, actvprof=,6.010056, id=,S03, PRDE,actvstrat=,0.396168, actvprof=,0.279182, id=,S05, PRDE,actvstrat=,-0.588245, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,0.916093, actvprof=,0.007223, id=,S07, PRDE,actvstrat=,0.344271, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.016778, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.010056, best_B_strat=,-0.454911, best_S_id=,S03, best_S_prof=,0.279182, best_S_strat=,0.396168, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.778868, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.847074, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.145918, actvprof=,0.489875, id=,B06, PRDE,actvstrat=,-0.120007, actvprof=,1.778522, id=,B09, PRDE,actvstrat=,-0.454911, actvprof=,5.876274, id=,S03, PRDE,actvstrat=,0.396168, actvprof=,0.244868, id=,S05, PRDE,actvstrat=,-0.588245, actvprof=,0.001806, id=,S06, PRDE,actvstrat=,0.916093, actvprof=,0.004028, id=,S07, PRDE,actvstrat=,0.344271, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.016778, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.876274, best_B_strat=,-0.454911, best_S_id=,S03, best_S_prof=,0.244868, best_S_strat=,0.396168, 
t=,54000, id=,B00, PRDE,actvstrat=,0.554611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.022119, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.744900, actvprof=,0.720863, id=,B06, PRDE,actvstrat=,0.889769, actvprof=,2.490382, id=,B09, PRDE,actvstrat=,-0.709376, actvprof=,4.278234, id=,S03, PRDE,actvstrat=,0.713995, actvprof=,1.090601, id=,S05, PRDE,actvstrat=,-0.692674, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.006667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.474977, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.278234, best_B_strat=,-0.709376, best_S_id=,S03, best_S_prof=,1.090601, best_S_strat=,0.713995, 
t=,57600, id=,B00, PRDE,actvstrat=,0.554611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.022119, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.744900, actvprof=,0.854323, id=,B06, PRDE,actvstrat=,0.889769, actvprof=,2.648250, id=,B09, PRDE,actvstrat=,-0.709376, actvprof=,4.465093, id=,S03, PRDE,actvstrat=,0.713995, actvprof=,0.996271, id=,S05, PRDE,actvstrat=,-0.692674, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.007639, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,0.474977, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.465093, best_B_strat=,-0.709376, best_S_id=,S03, best_S_prof=,0.996271, best_S_strat=,0.713995, 
t=,61200, id=,B00, PRDE,actvstrat=,0.458170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.624334, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.867830, actvprof=,0.266404, id=,B06, PRDE,actvstrat=,-0.391054, actvprof=,2.034002, id=,B09, PRDE,actvstrat=,-0.948111, actvprof=,3.796600, id=,S03, PRDE,actvstrat=,0.694588, actvprof=,0.081949, id=,S05, PRDE,actvstrat=,-0.534277, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.251806, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.814394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.409632, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.796600, best_B_strat=,-0.948111, best_S_id=,S03, best_S_prof=,0.081949, best_S_strat=,0.694588, 
t=,64800, id=,B00, PRDE,actvstrat=,0.458170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.624334, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.867830, actvprof=,0.251118, id=,B06, PRDE,actvstrat=,-0.391054, actvprof=,2.007834, id=,B09, PRDE,actvstrat=,-0.948111, actvprof=,3.788161, id=,S03, PRDE,actvstrat=,0.694588, actvprof=,0.116392, id=,S05, PRDE,actvstrat=,-0.534277, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.251806, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.814394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.409632, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.788161, best_B_strat=,-0.948111, best_S_id=,S03, best_S_prof=,0.116392, best_S_strat=,0.694588, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.092599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.944112, actvprof=,1.530918, id=,B06, PRDE,actvstrat=,-0.895426, actvprof=,0.199178, id=,B09, PRDE,actvstrat=,0.870067, actvprof=,8.097950, id=,S03, PRDE,actvstrat=,0.561338, actvprof=,0.424468, id=,S05, PRDE,actvstrat=,0.269222, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.023057, id=,S07, PRDE,actvstrat=,0.079096, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.210509, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.097950, best_B_strat=,0.870067, best_S_id=,S03, best_S_prof=,0.424468, best_S_strat=,0.561338, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.092599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.944112, actvprof=,1.465457, id=,B06, PRDE,actvstrat=,-0.895426, actvprof=,0.184450, id=,B09, PRDE,actvstrat=,0.870067, actvprof=,8.059391, id=,S03, PRDE,actvstrat=,0.561338, actvprof=,0.430984, id=,S05, PRDE,actvstrat=,0.269222, actvprof=,0.006111, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.022084, id=,S07, PRDE,actvstrat=,0.079096, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.210509, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.059391, best_B_strat=,0.870067, best_S_id=,S03, best_S_prof=,0.430984, best_S_strat=,0.561338, 
