t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.184010, id=,B07, PRDE,actvstrat=,-0.367673, actvprof=,1.678704, id=,B09, PRDE,actvstrat=,0.825905, actvprof=,7.009556, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.073393, id=,S03, PRDE,actvstrat=,0.966730, actvprof=,1.910384, id=,S04, PRDE,actvstrat=,-0.688682, actvprof=,0.062226, id=,S07, PRDE,actvstrat=,0.317295, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.859624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.009556, best_B_strat=,0.825905, best_S_id=,S00, best_S_prof=,6.073393, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.178811, id=,B07, PRDE,actvstrat=,-0.367673, actvprof=,1.644073, id=,B09, PRDE,actvstrat=,0.825905, actvprof=,7.076030, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.074891, id=,S03, PRDE,actvstrat=,0.966730, actvprof=,1.885608, id=,S04, PRDE,actvstrat=,-0.688682, actvprof=,0.042362, id=,S07, PRDE,actvstrat=,0.317295, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.859624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.076030, best_B_strat=,0.825905, best_S_id=,S00, best_S_prof=,6.074891, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.640678, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.484560, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.220068, id=,B07, PRDE,actvstrat=,0.543576, actvprof=,2.066781, id=,B09, PRDE,actvstrat=,0.422635, actvprof=,5.184732, id=,S00, PRDE,actvstrat=,0.981224, actvprof=,8.087672, id=,S03, PRDE,actvstrat=,-0.631379, actvprof=,0.222235, id=,S04, PRDE,actvstrat=,-0.585708, actvprof=,0.044169, id=,S07, PRDE,actvstrat=,0.528345, actvprof=,0.007778, id=,S08, PRDE,actvstrat=,0.013974, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.184732, best_B_strat=,0.422635, best_S_id=,S00, best_S_prof=,8.087672, best_S_strat=,0.981224, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.640678, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.484560, actvprof=,0.002639, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.205311, id=,B07, PRDE,actvstrat=,0.543576, actvprof=,2.052835, id=,B09, PRDE,actvstrat=,0.422635, actvprof=,5.194033, id=,S00, PRDE,actvstrat=,0.981224, actvprof=,8.084530, id=,S03, PRDE,actvstrat=,-0.631379, actvprof=,0.214867, id=,S04, PRDE,actvstrat=,-0.585708, actvprof=,0.050696, id=,S07, PRDE,actvstrat=,0.528345, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.013974, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.194033, best_B_strat=,0.422635, best_S_id=,S00, best_S_prof=,8.084530, best_S_strat=,0.981224, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,0.713528, actvprof=,2.862381, id=,B07, PRDE,actvstrat=,-0.803758, actvprof=,1.685649, id=,B09, PRDE,actvstrat=,-0.963357, actvprof=,3.095450, id=,S00, PRDE,actvstrat=,0.706605, actvprof=,4.899717, id=,S03, PRDE,actvstrat=,0.328759, actvprof=,0.303906, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.129174, id=,S07, PRDE,actvstrat=,0.502957, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.095450, best_B_strat=,-0.963357, best_S_id=,S00, best_S_prof=,4.899717, best_S_strat=,0.706605, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,0.713528, actvprof=,2.897719, id=,B07, PRDE,actvstrat=,-0.803758, actvprof=,1.701158, id=,B09, PRDE,actvstrat=,-0.963357, actvprof=,3.009389, id=,S00, PRDE,actvstrat=,0.706605, actvprof=,4.884025, id=,S03, PRDE,actvstrat=,0.328759, actvprof=,0.271535, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.132087, id=,S07, PRDE,actvstrat=,0.502957, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.009389, best_B_strat=,-0.963357, best_S_id=,S00, best_S_prof=,4.884025, best_S_strat=,0.706605, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.974848, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.484560, actvprof=,0.002222, id=,B06, PRDE,actvstrat=,-0.316445, actvprof=,0.823923, id=,B07, PRDE,actvstrat=,-0.311220, actvprof=,2.112032, id=,B09, PRDE,actvstrat=,-0.964099, actvprof=,2.364543, id=,S00, PRDE,actvstrat=,0.943901, actvprof=,6.530828, id=,S03, PRDE,actvstrat=,-0.172356, actvprof=,0.030835, id=,S04, PRDE,actvstrat=,0.331763, actvprof=,0.011945, id=,S07, PRDE,actvstrat=,-0.073289, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.859624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.364543, best_B_strat=,-0.964099, best_S_id=,S00, best_S_prof=,6.530828, best_S_strat=,0.943901, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.974848, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.484560, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,-0.316445, actvprof=,0.801000, id=,B07, PRDE,actvstrat=,-0.311220, actvprof=,2.079794, id=,B09, PRDE,actvstrat=,-0.964099, actvprof=,2.422167, id=,S00, PRDE,actvstrat=,0.943901, actvprof=,6.466613, id=,S03, PRDE,actvstrat=,-0.172356, actvprof=,0.030696, id=,S04, PRDE,actvstrat=,0.331763, actvprof=,0.017917, id=,S07, PRDE,actvstrat=,-0.073289, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.859624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.422167, best_B_strat=,-0.964099, best_S_id=,S00, best_S_prof=,6.466613, best_S_strat=,0.943901, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.871449, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.284881, id=,B09, PRDE,actvstrat=,0.731455, actvprof=,5.574276, id=,S00, PRDE,actvstrat=,-0.914193, actvprof=,0.117230, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.506632, id=,S04, PRDE,actvstrat=,-0.416050, actvprof=,0.113619, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.574276, best_B_strat=,0.731455, best_S_id=,S03, best_S_prof=,3.506632, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.839612, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.233550, id=,B09, PRDE,actvstrat=,0.731455, actvprof=,5.521997, id=,S00, PRDE,actvstrat=,-0.914193, actvprof=,0.193618, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.512205, id=,S04, PRDE,actvstrat=,-0.416050, actvprof=,0.114171, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.004722, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.521997, best_B_strat=,0.731455, best_S_id=,S03, best_S_prof=,3.512205, best_S_strat=,1.000000, 
