t=,39600, id=,B01, PRDE,actvstrat=,-0.302701, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.023121, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.618081, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.646263, id=,B09, PRDE,actvstrat=,0.466717, actvprof=,6.219981, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.434199, id=,S05, PRDE,actvstrat=,-0.058171, actvprof=,0.001945, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.022779, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.219981, best_B_strat=,0.466717, best_S_id=,S00, best_S_prof=,7.434199, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.302701, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.023121, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.674741, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.628156, id=,B09, PRDE,actvstrat=,0.466717, actvprof=,6.306842, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.321453, id=,S05, PRDE,actvstrat=,-0.058171, actvprof=,0.003472, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.023612, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.306842, best_B_strat=,0.466717, best_S_id=,S00, best_S_prof=,7.321453, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.784827, actvprof=,0.001945, id=,B02, PRDE,actvstrat=,0.151340, actvprof=,0.003334, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.187844, id=,B07, PRDE,actvstrat=,-0.492745, actvprof=,2.051781, id=,B09, PRDE,actvstrat=,0.299111, actvprof=,6.770932, id=,S00, PRDE,actvstrat=,0.800903, actvprof=,5.813379, id=,S05, PRDE,actvstrat=,0.107257, actvprof=,0.003056, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.020279, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.770932, best_B_strat=,0.299111, best_S_id=,S00, best_S_prof=,5.813379, best_S_strat=,0.800903, 
t=,50400, id=,B01, PRDE,actvstrat=,0.784827, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,0.151340, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.221839, id=,B07, PRDE,actvstrat=,-0.492745, actvprof=,2.017417, id=,B09, PRDE,actvstrat=,0.299111, actvprof=,6.759493, id=,S00, PRDE,actvstrat=,0.800903, actvprof=,5.753771, id=,S05, PRDE,actvstrat=,0.107257, actvprof=,0.004028, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.013195, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.759493, best_B_strat=,0.299111, best_S_id=,S00, best_S_prof=,5.753771, best_S_strat=,0.800903, 
t=,54000, id=,B01, PRDE,actvstrat=,0.011563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.228271, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.958387, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.022723, id=,B09, PRDE,actvstrat=,0.198547, actvprof=,6.273404, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.768987, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.054447, id=,S06, PRDE,actvstrat=,0.855471, actvprof=,0.005834, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.273404, best_B_strat=,0.198547, best_S_id=,S00, best_S_prof=,6.768987, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.011563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.228271, actvprof=,0.004028, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.013209, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.016861, id=,B09, PRDE,actvstrat=,0.198547, actvprof=,6.283282, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.788289, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.052917, id=,S06, PRDE,actvstrat=,0.855471, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.283282, best_B_strat=,0.198547, best_S_id=,S00, best_S_prof=,6.788289, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.862229, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,0.023121, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.369649, actvprof=,0.648369, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.231624, id=,B09, PRDE,actvstrat=,0.466717, actvprof=,7.164565, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.584532, id=,S05, PRDE,actvstrat=,-0.670014, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.013056, id=,S08, PRDE,actvstrat=,-0.516364, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.164565, best_B_strat=,0.466717, best_S_id=,S00, best_S_prof=,6.584532, best_S_strat=,1.000000, 
t=,64800, id=,B01, PRDE,actvstrat=,0.862229, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,0.023121, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.369649, actvprof=,0.657102, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.240673, id=,B09, PRDE,actvstrat=,0.466717, actvprof=,7.178949, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.573099, id=,S05, PRDE,actvstrat=,-0.670014, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,-0.516364, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.178949, best_B_strat=,0.466717, best_S_id=,S00, best_S_prof=,6.573099, best_S_strat=,1.000000, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.125340, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.104950, id=,B09, PRDE,actvstrat=,0.627618, actvprof=,7.348742, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.657870, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.054447, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,S08, PRDE,actvstrat=,-0.598697, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.348742, best_B_strat=,0.627618, best_S_id=,S00, best_S_prof=,6.657870, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.048501, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.057057, id=,B09, PRDE,actvstrat=,0.627618, actvprof=,7.241729, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.755604, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.051529, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,S08, PRDE,actvstrat=,-0.598697, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.241729, best_B_strat=,0.627618, best_S_id=,S00, best_S_prof=,6.755604, best_S_strat=,1.000000, 
