t=,39600, id=,B00, PRDE,actvstrat=,-0.737927, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.141985, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306011, actvprof=,0.014723, id=,B06, PRDE,actvstrat=,-0.486866, actvprof=,0.885895, id=,B08, PRDE,actvstrat=,-0.104449, actvprof=,4.115286, id=,S02, PRDE,actvstrat=,0.403487, actvprof=,1.481214, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.011667, id=,S05, PRDE,actvstrat=,-0.640724, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.163061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.948005, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.115286, best_B_strat=,-0.104449, best_S_id=,S02, best_S_prof=,1.481214, best_S_strat=,0.403487, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.737927, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.141985, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306011, actvprof=,0.011250, id=,B06, PRDE,actvstrat=,-0.486866, actvprof=,0.887253, id=,B08, PRDE,actvstrat=,-0.104449, actvprof=,4.065280, id=,S02, PRDE,actvstrat=,0.403487, actvprof=,1.508386, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.012223, id=,S05, PRDE,actvstrat=,-0.640724, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.163061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.948005, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.065280, best_B_strat=,-0.104449, best_S_id=,S02, best_S_prof=,1.508386, best_S_strat=,0.403487, 
t=,46800, id=,B00, PRDE,actvstrat=,0.385599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.558285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306011, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,-0.486866, actvprof=,0.835336, id=,B08, PRDE,actvstrat=,-0.277981, actvprof=,3.581638, id=,S02, PRDE,actvstrat=,-0.390260, actvprof=,0.239739, id=,S04, PRDE,actvstrat=,0.491083, actvprof=,0.102785, id=,S05, PRDE,actvstrat=,-0.640724, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.163061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.948005, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.581638, best_B_strat=,-0.277981, best_S_id=,S02, best_S_prof=,0.239739, best_S_strat=,-0.390260, 
t=,50400, id=,B00, PRDE,actvstrat=,0.385599, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.558285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306011, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,-0.486866, actvprof=,0.779888, id=,B08, PRDE,actvstrat=,-0.277981, actvprof=,3.500260, id=,S02, PRDE,actvstrat=,-0.390260, actvprof=,0.270009, id=,S04, PRDE,actvstrat=,0.491083, actvprof=,0.095976, id=,S05, PRDE,actvstrat=,-0.640724, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.163061, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.948005, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.500260, best_B_strat=,-0.277981, best_S_id=,S02, best_S_prof=,0.270009, best_S_strat=,-0.390260, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.826504, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.246865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.796669, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.212783, actvprof=,0.586985, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,5.051184, id=,S02, PRDE,actvstrat=,-0.523208, actvprof=,0.380304, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.011390, id=,S05, PRDE,actvstrat=,0.910768, actvprof=,0.030558, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.201203, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.051184, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,0.380304, best_S_strat=,-0.523208, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.826504, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.246865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.796669, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.212783, actvprof=,0.579881, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,4.953505, id=,S02, PRDE,actvstrat=,-0.523208, actvprof=,0.425709, id=,S04, PRDE,actvstrat=,-0.627141, actvprof=,0.012500, id=,S05, PRDE,actvstrat=,0.910768, actvprof=,0.036807, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000417, id=,S09, PRDE,actvstrat=,-0.201203, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.953505, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,0.425709, best_S_strat=,-0.523208, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.154474, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.058014, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.666486, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.707354, actvprof=,1.278144, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,4.236683, id=,S02, PRDE,actvstrat=,-0.994230, actvprof=,0.758942, id=,S04, PRDE,actvstrat=,0.050180, actvprof=,0.218904, id=,S05, PRDE,actvstrat=,0.187695, actvprof=,0.007778, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.030398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.236683, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,0.758942, best_S_strat=,-0.994230, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.154474, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.058014, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.666486, actvprof=,0.000139, id=,B06, PRDE,actvstrat=,0.707354, actvprof=,1.310045, id=,B08, PRDE,actvstrat=,0.472786, actvprof=,4.180284, id=,S02, PRDE,actvstrat=,-0.994230, actvprof=,0.721553, id=,S04, PRDE,actvstrat=,0.050180, actvprof=,0.214313, id=,S05, PRDE,actvstrat=,0.187695, actvprof=,0.008473, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.030398, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.180284, best_B_strat=,0.472786, best_S_id=,S02, best_S_prof=,0.721553, best_S_strat=,-0.994230, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.931830, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.692037, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.350365, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,0.094328, actvprof=,1.108966, id=,B08, PRDE,actvstrat=,-0.717050, actvprof=,2.509063, id=,S02, PRDE,actvstrat=,-0.523208, actvprof=,0.456421, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.083339, id=,S05, PRDE,actvstrat=,0.718281, actvprof=,0.013056, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.216929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.509063, best_B_strat=,-0.717050, best_S_id=,S02, best_S_prof=,0.456421, best_S_strat=,-0.523208, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.931830, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.692037, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.350365, actvprof=,0.004028, id=,B06, PRDE,actvstrat=,0.094328, actvprof=,1.107677, id=,B08, PRDE,actvstrat=,-0.717050, actvprof=,2.503559, id=,S02, PRDE,actvstrat=,-0.523208, actvprof=,0.438210, id=,S04, PRDE,actvstrat=,0.096196, actvprof=,0.106809, id=,S05, PRDE,actvstrat=,0.718281, actvprof=,0.008473, id=,S07, PRDE,actvstrat=,0.912676, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.216929, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.503559, best_B_strat=,-0.717050, best_S_id=,S02, best_S_prof=,0.438210, best_S_strat=,-0.523208, 
