t=,39600, id=,B01, PRDE,actvstrat=,0.268170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.628786, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.371127, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.394225, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.082753, id=,S01, PRDE,actvstrat=,0.423054, actvprof=,4.749642, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.349501, id=,S05, PRDE,actvstrat=,-0.602149, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.082753, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.749642, best_S_strat=,0.423054, 
t=,43200, id=,B01, PRDE,actvstrat=,0.268170, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.628786, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.429179, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.511153, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.034057, id=,S01, PRDE,actvstrat=,0.423054, actvprof=,4.730131, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.263091, id=,S05, PRDE,actvstrat=,-0.602149, actvprof=,0.001528, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.034057, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.730131, best_S_strat=,0.423054, 
t=,46800, id=,B01, PRDE,actvstrat=,0.135312, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.140756, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.813460, actvprof=,0.639749, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.227315, id=,B09, PRDE,actvstrat=,-0.289620, actvprof=,4.662139, id=,S01, PRDE,actvstrat=,0.724493, actvprof=,5.048266, id=,S04, PRDE,actvstrat=,-0.844113, actvprof=,0.010556, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.098615, id=,S08, PRDE,actvstrat=,-0.595527, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.415174, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.662139, best_B_strat=,-0.289620, best_S_id=,S01, best_S_prof=,5.048266, best_S_strat=,0.724493, 
t=,50400, id=,B01, PRDE,actvstrat=,0.135312, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.140756, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.813460, actvprof=,0.584600, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.154504, id=,B09, PRDE,actvstrat=,-0.289620, actvprof=,4.619712, id=,S01, PRDE,actvstrat=,0.724493, actvprof=,5.021112, id=,S04, PRDE,actvstrat=,-0.844113, actvprof=,0.007500, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.099308, id=,S08, PRDE,actvstrat=,-0.595527, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.415174, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.619712, best_B_strat=,-0.289620, best_S_id=,S01, best_S_prof=,5.021112, best_S_strat=,0.724493, 
t=,54000, id=,B01, PRDE,actvstrat=,0.591134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.284738, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.329518, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.880049, id=,S01, PRDE,actvstrat=,-0.323354, actvprof=,2.065393, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,1.452858, id=,S05, PRDE,actvstrat=,0.457876, actvprof=,0.044447, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.029573, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.880049, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.065393, best_S_strat=,-0.323354, 
t=,57600, id=,B01, PRDE,actvstrat=,0.591134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.281258, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.305314, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.727381, id=,S01, PRDE,actvstrat=,-0.323354, actvprof=,1.918526, id=,S04, PRDE,actvstrat=,0.988855, actvprof=,1.471846, id=,S05, PRDE,actvstrat=,0.457876, actvprof=,0.048196, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.029573, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.727381, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.918526, best_S_strat=,-0.323354, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.330327, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.555354, actvprof=,0.722272, id=,B06, PRDE,actvstrat=,-0.322416, actvprof=,0.853948, id=,B09, PRDE,actvstrat=,-0.604403, actvprof=,5.387041, id=,S01, PRDE,actvstrat=,-0.013207, actvprof=,2.106813, id=,S04, PRDE,actvstrat=,0.794985, actvprof=,0.151955, id=,S05, PRDE,actvstrat=,0.617423, actvprof=,0.005278, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.322113, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.387041, best_B_strat=,-0.604403, best_S_id=,S01, best_S_prof=,2.106813, best_S_strat=,-0.013207, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.330327, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B05, PRDE,actvstrat=,0.555354, actvprof=,0.794611, id=,B06, PRDE,actvstrat=,-0.322416, actvprof=,0.911143, id=,B09, PRDE,actvstrat=,-0.604403, actvprof=,5.254210, id=,S01, PRDE,actvstrat=,-0.013207, actvprof=,1.995903, id=,S04, PRDE,actvstrat=,0.794985, actvprof=,0.159311, id=,S05, PRDE,actvstrat=,0.617423, actvprof=,0.009028, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.322113, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.254210, best_B_strat=,-0.604403, best_S_id=,S01, best_S_prof=,1.995903, best_S_strat=,-0.013207, 
t=,68400, id=,B01, PRDE,actvstrat=,0.483259, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.680881, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.839572, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.324050, id=,S01, PRDE,actvstrat=,0.725959, actvprof=,4.917842, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.921731, id=,S05, PRDE,actvstrat=,-0.320762, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.886040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.867121, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.324050, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.917842, best_S_strat=,0.725959, 
t=,72000, id=,B01, PRDE,actvstrat=,0.483259, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.715020, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.846857, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.424901, id=,S01, PRDE,actvstrat=,0.725959, actvprof=,4.895969, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.950026, id=,S05, PRDE,actvstrat=,-0.320762, actvprof=,0.001528, id=,S08, PRDE,actvstrat=,-0.886040, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.867121, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.424901, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.895969, best_S_strat=,0.725959, 
