t=,1, id=,B02, PRDE,actvstrat=,-0.669433, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.743884, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759247, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.384620, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.072557, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.581390, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.127088, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.085703, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.033522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.053517, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.669433, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.581390, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.669433, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.743884, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759247, actvprof=,0.019722, id=,B07, PRDE,actvstrat=,0.384620, actvprof=,2.961584, id=,B09, PRDE,actvstrat=,0.072557, actvprof=,5.554568, id=,S00, PRDE,actvstrat=,-0.581390, actvprof=,1.801339, id=,S03, PRDE,actvstrat=,0.127088, actvprof=,0.578595, id=,S06, PRDE,actvstrat=,-0.085703, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.033522, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-0.053517, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.554568, best_B_strat=,0.072557, best_S_id=,S00, best_S_prof=,1.801339, best_S_strat=,-0.581390, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.021127, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.738165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.260887, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.055714, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.633249, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.731142, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.353178, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.399628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.131621, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.500152, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.021127, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.731142, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.021127, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.738165, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.260887, actvprof=,0.001389, id=,B07, PRDE,actvstrat=,-0.055714, actvprof=,2.351634, id=,B09, PRDE,actvstrat=,0.633249, actvprof=,6.980736, id=,S00, PRDE,actvstrat=,-0.731142, actvprof=,1.300260, id=,S03, PRDE,actvstrat=,0.353178, actvprof=,0.655269, id=,S06, PRDE,actvstrat=,-0.399628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.131621, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.500152, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.980736, best_B_strat=,0.633249, best_S_id=,S00, best_S_prof=,1.300260, best_S_strat=,-0.731142, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.041262, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.039421, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.495941, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.055714, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.633249, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.731142, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.353178, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.958877, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.033522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.174881, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.041262, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.731142, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.041262, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.039421, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.495941, actvprof=,0.008333, id=,B07, PRDE,actvstrat=,-0.055714, actvprof=,2.355556, id=,B09, PRDE,actvstrat=,0.633249, actvprof=,6.925833, id=,S00, PRDE,actvstrat=,-0.731142, actvprof=,1.166667, id=,S03, PRDE,actvstrat=,0.353178, actvprof=,0.700556, id=,S06, PRDE,actvstrat=,-0.958877, actvprof=,0.009167, id=,S07, PRDE,actvstrat=,0.033522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.174881, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.925833, best_B_strat=,0.633249, best_S_id=,S00, best_S_prof=,1.166667, best_S_strat=,-0.731142, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.041262, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.039421, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.495941, actvprof=,0.006111, id=,B07, PRDE,actvstrat=,-0.055714, actvprof=,2.285972, id=,B09, PRDE,actvstrat=,0.633249, actvprof=,6.881528, id=,S00, PRDE,actvstrat=,-0.731142, actvprof=,1.206667, id=,S03, PRDE,actvstrat=,0.353178, actvprof=,0.703194, id=,S06, PRDE,actvstrat=,-0.958877, actvprof=,0.017222, id=,S07, PRDE,actvstrat=,0.033522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.174881, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.881528, best_B_strat=,0.633249, best_S_id=,S00, best_S_prof=,1.206667, best_S_strat=,-0.731142, 
t=,25200, id=,B02, PRDE,actvstrat=,-0.065485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.758599, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.123392, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,-0.729164, actvprof=,1.447520, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.479271, id=,S00, PRDE,actvstrat=,-0.339642, actvprof=,0.934180, id=,S03, PRDE,actvstrat=,0.343580, actvprof=,0.543063, id=,S06, PRDE,actvstrat=,0.644357, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.463034, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.479271, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.934180, best_S_strat=,-0.339642, 
t=,28800, id=,B02, PRDE,actvstrat=,-0.065485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.758599, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.123392, actvprof=,0.002778, id=,B07, PRDE,actvstrat=,-0.729164, actvprof=,1.444038, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.466163, id=,S00, PRDE,actvstrat=,-0.339642, actvprof=,0.935979, id=,S03, PRDE,actvstrat=,0.343580, actvprof=,0.491253, id=,S06, PRDE,actvstrat=,0.644357, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.003750, id=,S09, PRDE,actvstrat=,-0.463034, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.466163, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.935979, best_S_strat=,-0.339642, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.065485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.409780, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759247, actvprof=,0.009167, id=,B07, PRDE,actvstrat=,-0.656412, actvprof=,1.587822, id=,B09, PRDE,actvstrat=,0.954673, actvprof=,7.489097, id=,S00, PRDE,actvstrat=,-0.166181, actvprof=,1.113642, id=,S03, PRDE,actvstrat=,0.343580, actvprof=,0.481680, id=,S06, PRDE,actvstrat=,-0.015761, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,-0.306246, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.489097, best_B_strat=,0.954673, best_S_id=,S00, best_S_prof=,1.113642, best_S_strat=,-0.166181, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.065485, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.409780, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.759247, actvprof=,0.007500, id=,B07, PRDE,actvstrat=,-0.656412, actvprof=,1.614606, id=,B09, PRDE,actvstrat=,0.954673, actvprof=,7.445937, id=,S00, PRDE,actvstrat=,-0.166181, actvprof=,1.135016, id=,S03, PRDE,actvstrat=,0.343580, actvprof=,0.515007, id=,S06, PRDE,actvstrat=,-0.015761, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-0.306246, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.445937, best_B_strat=,0.954673, best_S_id=,S00, best_S_prof=,1.135016, best_S_strat=,-0.166181, 
