B00, 0
B01, 0
B02, 0
B03, 100
B03, Trade, 4291518.343, 86, B03, S02, 1
B03, Trade, 4291860.393, 86, B03, S02, 1
B03, Trade, 4292102.293, 79, S02, B03, 1
B03, Trade, 4292153.893, 78, S02, B03, 1
B03, Trade, 4292200.043, 79, B03, S02, 1
B03, Trade, 4292552.743, 86, B03, S02, 1
B03, Trade, 4292566.243, 86, B03, S02, 1
B03, Trade, 4292649.643, 86, B03, S02, 1
B03, Trade, 4292769.043, 77, S02, B03, 1
B03, Trade, 4293030.743, 86, B03, S02, 1
B03, Trade, 4293084.243, 86, B03, S02, 1
B03, Trade, 4293191.493, 86, B03, S02, 1
B03, Trade, 4293250.243, 86, B03, S02, 1
B03, Trade, 4293372.743, 86, B03, S02, 1
B03, Trade, 4293673.293, 86, B03, S02, 1
B03, Trade, 4293750.693, 86, B03, S02, 1
B03, Trade, 4294143.943, 86, B03, S02, 1
B03, Trade, 4294604.893, 83, B03, S02, 1
B03, Trade, 4294909.493, 86, B03, S02, 1
B03, Trade, 4294963.243, 86, B03, S02, 1
B03, Trade, 4295323.743, 79, B03, S02, 1
B03, Trade, 4295498.493, 86, B03, S02, 1
B03, Trade, 4295665.493, 86, B03, S02, 1
B03, Trade, 4295888.243, 86, B03, S02, 1
B03, Trade, 4296603.393, 86, B03, S02, 1
B03, Trade, 4296697.593, 86, B03, S02, 1
B03, Trade, 4296717.543, 82, B03, S02, 1
B03, Trade, 4296741.443, 86, B03, S02, 1
B03, Trade, 4297055.693, 86, B03, S02, 1
B03, Trade, 4297352.843, 78, B03, S02, 1
B03, Trade, 4297510.993, 86, B03, S02, 1
B03, Trade, 4297693.543, 80, B03, S02, 1
B03, Trade, 4297840.243, 83, B03, S02, 1
B03, Trade, 4297990.893, 80, B03, S02, 1
B03, Trade, 4297997.043, 86, B03, S02, 1
B03, Trade, 4298025.643, 79, B03, S02, 1
B03, Trade, 4298042.193, 86, B03, S02, 1
B03, Trade, 4298332.543, 86, B03, S02, 1
B03, Trade, 4298377.543, 82, B03, S02, 1
B03, Trade, 4298415.343, 86, B03, S02, 1
B03, Trade, 4298605.243, 84, B03, S02, 1
B03, Trade, 4298608.893, 86, B03, S02, 1
B03, Trade, 4298717.293, 85, B03, S02, 1
B03, Trade, 4298862.743, 86, B03, S02, 1
B03, Trade, 4299936.643, 86, B03, S02, 1
B03, Trade, 4300311.093, 86, B03, S02, 1
B03, Trade, 4300917.343, 86, B03, S02, 1
B03, Trade, 4300989.543, 86, B03, S02, 1
B03, Trade, 4301173.093, 86, B03, S02, 1
B03, Trade, 4301504.443, 85, B03, S02, 1
B03, Trade, 4301552.343, 82, B03, S02, 1
B03, Trade, 4301926.493, 86, B03, S02, 1
B03, Trade, 4301952.943, 84, B03, S02, 1
B03, Trade, 4301969.293, 84, B03, S02, 1
B03, Trade, 4302079.693, 85, B03, S02, 1
