t=,39600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.720368, actvprof=,0.010556, id=,B03, PRDE,actvstrat=,0.675188, actvprof=,0.027501, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,6.182480, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.011445, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.340542, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.756504, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.300846, id=,S08, PRDE,actvstrat=,0.399546, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.869615, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.011445, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.340542, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.556822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.282784, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746136, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.419644, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.667623, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.415623, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.694562, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.374769, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.394270, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.178783, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.556822, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.415623, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.556822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.282784, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746136, actvprof=,0.000556, id=,B08, PRDE,actvstrat=,0.419644, actvprof=,4.357404, id=,B09, PRDE,actvstrat=,-0.667623, actvprof=,4.102115, id=,S00, PRDE,actvstrat=,-0.415623, actvprof=,1.167826, id=,S02, PRDE,actvstrat=,0.694562, actvprof=,2.630110, id=,S04, PRDE,actvstrat=,0.374769, actvprof=,0.128616, id=,S08, PRDE,actvstrat=,0.394270, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.178783, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.357404, best_B_strat=,0.419644, best_S_id=,S02, best_S_prof=,2.630110, best_S_strat=,0.694562, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.556822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.282784, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746136, actvprof=,0.001806, id=,B08, PRDE,actvstrat=,0.419644, actvprof=,4.374397, id=,B09, PRDE,actvstrat=,-0.667623, actvprof=,4.095363, id=,S00, PRDE,actvstrat=,-0.415623, actvprof=,1.162108, id=,S02, PRDE,actvstrat=,0.694562, actvprof=,2.641722, id=,S04, PRDE,actvstrat=,0.374769, actvprof=,0.136808, id=,S08, PRDE,actvstrat=,0.394270, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.178783, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.374397, best_B_strat=,0.419644, best_S_id=,S02, best_S_prof=,2.641722, best_S_strat=,0.694562, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.514535, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.793164, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.658967, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.973652, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.236114, id=,S08, PRDE,actvstrat=,-0.646686, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.793164, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.658967, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.493608, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.827385, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.665535, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.911172, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.205977, id=,S08, PRDE,actvstrat=,-0.646686, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.827385, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.665535, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.721840, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.758535, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.377750, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.501251, actvprof=,3.699372, id=,B09, PRDE,actvstrat=,0.753352, actvprof=,7.800156, id=,S00, PRDE,actvstrat=,0.628658, actvprof=,4.106617, id=,S02, PRDE,actvstrat=,-0.308376, actvprof=,0.124174, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.220012, id=,S08, PRDE,actvstrat=,-0.069189, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.615195, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.800156, best_B_strat=,0.753352, best_S_id=,S00, best_S_prof=,4.106617, best_S_strat=,0.628658, 
t=,64800, id=,B01, PRDE,actvstrat=,0.721840, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.758535, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.377750, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.501251, actvprof=,3.750243, id=,B09, PRDE,actvstrat=,0.753352, actvprof=,7.874663, id=,S00, PRDE,actvstrat=,0.628658, actvprof=,4.238868, id=,S02, PRDE,actvstrat=,-0.308376, actvprof=,0.150560, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.225145, id=,S08, PRDE,actvstrat=,-0.069189, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.615195, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.874663, best_B_strat=,0.753352, best_S_id=,S00, best_S_prof=,4.238868, best_S_strat=,0.628658, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B08, PRDE,actvstrat=,0.073391, actvprof=,5.029794, id=,B09, PRDE,actvstrat=,-0.506855, actvprof=,5.774290, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.652615, id=,S02, PRDE,actvstrat=,-0.186482, actvprof=,0.241128, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.226405, id=,S08, PRDE,actvstrat=,0.621389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.102619, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.774290, best_B_strat=,-0.506855, best_S_id=,S00, best_S_prof=,5.652615, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,B08, PRDE,actvstrat=,0.073391, actvprof=,5.129484, id=,B09, PRDE,actvstrat=,-0.506855, actvprof=,5.736033, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.588388, id=,S02, PRDE,actvstrat=,-0.186482, actvprof=,0.200007, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.249314, id=,S08, PRDE,actvstrat=,0.621389, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.102619, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.736033, best_B_strat=,-0.506855, best_S_id=,S00, best_S_prof=,5.588388, best_S_strat=,-1.000000, 
