t=,39600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.183764, actvprof=,0.016390, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.079253, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.449310, id=,S03, PRDE,actvstrat=,-0.067257, actvprof=,0.496965, id=,S04, PRDE,actvstrat=,-0.016808, actvprof=,0.261122, id=,S05, PRDE,actvstrat=,-0.295272, actvprof=,0.013612, id=,S08, PRDE,actvstrat=,-0.289394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.449310, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.496965, best_S_strat=,-0.067257, 
t=,43200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.183764, actvprof=,0.023612, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.072864, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.354445, id=,S03, PRDE,actvstrat=,-0.067257, actvprof=,0.530300, id=,S04, PRDE,actvstrat=,-0.016808, actvprof=,0.268345, id=,S05, PRDE,actvstrat=,-0.295272, actvprof=,0.010834, id=,S08, PRDE,actvstrat=,-0.289394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.354445, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,0.530300, best_S_strat=,-0.067257, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.948494, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.353393, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.597817, actvprof=,0.003611, id=,B07, PRDE,actvstrat=,0.819862, actvprof=,2.419646, id=,B08, PRDE,actvstrat=,0.647913, actvprof=,3.605023, id=,S03, PRDE,actvstrat=,-0.452430, actvprof=,0.252243, id=,S04, PRDE,actvstrat=,-0.291513, actvprof=,0.063616, id=,S05, PRDE,actvstrat=,-0.032877, actvprof=,0.017224, id=,S08, PRDE,actvstrat=,0.892065, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.037915, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.605023, best_B_strat=,0.647913, best_S_id=,S03, best_S_prof=,0.252243, best_S_strat=,-0.452430, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.948494, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.353393, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.597817, actvprof=,0.002222, id=,B07, PRDE,actvstrat=,0.819862, actvprof=,2.443557, id=,B08, PRDE,actvstrat=,0.647913, actvprof=,3.686656, id=,S03, PRDE,actvstrat=,-0.452430, actvprof=,0.220147, id=,S04, PRDE,actvstrat=,-0.291513, actvprof=,0.070558, id=,S05, PRDE,actvstrat=,-0.032877, actvprof=,0.011528, id=,S08, PRDE,actvstrat=,0.892065, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.037915, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.686656, best_B_strat=,0.647913, best_S_id=,S03, best_S_prof=,0.220147, best_S_strat=,-0.452430, 
t=,54000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.322681, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.341605, actvprof=,0.659509, id=,B07, PRDE,actvstrat=,0.992237, actvprof=,4.540441, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.158377, id=,S03, PRDE,actvstrat=,-0.026095, actvprof=,0.116400, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.247802, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.084730, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.968873, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.158377, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.247802, best_S_strat=,1.000000, 
t=,57600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.322681, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.341605, actvprof=,0.647531, id=,B07, PRDE,actvstrat=,0.992237, actvprof=,4.562861, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.242526, id=,S03, PRDE,actvstrat=,-0.026095, actvprof=,0.096394, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.231678, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.079865, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.968873, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.242526, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.231678, best_S_strat=,1.000000, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.733476, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.683437, actvprof=,0.286699, id=,B07, PRDE,actvstrat=,-0.015345, actvprof=,1.962718, id=,B08, PRDE,actvstrat=,-0.000557, actvprof=,3.307312, id=,S03, PRDE,actvstrat=,0.169133, actvprof=,0.507556, id=,S04, PRDE,actvstrat=,0.585158, actvprof=,0.206134, id=,S05, PRDE,actvstrat=,0.542702, actvprof=,0.017502, id=,S08, PRDE,actvstrat=,-0.261913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.210714, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.307312, best_B_strat=,-0.000557, best_S_id=,S03, best_S_prof=,0.507556, best_S_strat=,0.169133, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.733476, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.683437, actvprof=,0.287794, id=,B07, PRDE,actvstrat=,-0.015345, actvprof=,1.995389, id=,B08, PRDE,actvstrat=,-0.000557, actvprof=,3.363520, id=,S03, PRDE,actvstrat=,0.169133, actvprof=,0.544336, id=,S04, PRDE,actvstrat=,0.585158, actvprof=,0.214179, id=,S05, PRDE,actvstrat=,0.542702, actvprof=,0.019446, id=,S08, PRDE,actvstrat=,-0.261913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.210714, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.363520, best_B_strat=,-0.000557, best_S_id=,S03, best_S_prof=,0.544336, best_S_strat=,0.169133, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.267286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.005862, actvprof=,0.292255, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.993221, id=,B08, PRDE,actvstrat=,-0.141323, actvprof=,3.631515, id=,S03, PRDE,actvstrat=,0.867011, actvprof=,1.293199, id=,S04, PRDE,actvstrat=,0.462200, actvprof=,0.047227, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.023336, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.666684, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.993221, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.293199, best_S_strat=,0.867011, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.267286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.005862, actvprof=,0.274182, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.021612, id=,B08, PRDE,actvstrat=,-0.141323, actvprof=,3.665620, id=,S03, PRDE,actvstrat=,0.867011, actvprof=,1.347853, id=,S04, PRDE,actvstrat=,0.462200, actvprof=,0.045836, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.032224, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.666684, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.021612, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,1.347853, best_S_strat=,0.867011, 
