t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.746545, id=,B08, PRDE,actvstrat=,-0.445150, actvprof=,2.976235, id=,B09, PRDE,actvstrat=,-0.521935, actvprof=,4.344070, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.634318, id=,S03, PRDE,actvstrat=,0.110777, actvprof=,0.565024, id=,S04, PRDE,actvstrat=,0.361081, actvprof=,0.124172, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.140006, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.344070, best_B_strat=,-0.521935, best_S_id=,S02, best_S_prof=,3.634318, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.843830, id=,B08, PRDE,actvstrat=,-0.445150, actvprof=,2.992007, id=,B09, PRDE,actvstrat=,-0.521935, actvprof=,4.513705, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.587575, id=,S03, PRDE,actvstrat=,0.110777, actvprof=,0.536122, id=,S04, PRDE,actvstrat=,0.361081, actvprof=,0.113197, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.133892, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.513705, best_B_strat=,-0.521935, best_S_id=,S02, best_S_prof=,3.587575, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.395569, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.572245, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.024529, id=,B08, PRDE,actvstrat=,0.238895, actvprof=,2.665111, id=,B09, PRDE,actvstrat=,-0.346723, actvprof=,2.717335, id=,S02, PRDE,actvstrat=,0.501100, actvprof=,3.406253, id=,S03, PRDE,actvstrat=,0.040755, actvprof=,1.127269, id=,S04, PRDE,actvstrat=,-0.683352, actvprof=,0.079726, id=,S05, PRDE,actvstrat=,-0.778507, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.527563, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.717335, best_B_strat=,-0.346723, best_S_id=,S02, best_S_prof=,3.406253, best_S_strat=,0.501100, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.395569, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.572245, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.088655, id=,B08, PRDE,actvstrat=,0.238895, actvprof=,2.607277, id=,B09, PRDE,actvstrat=,-0.346723, actvprof=,2.810475, id=,S02, PRDE,actvstrat=,0.501100, actvprof=,3.270485, id=,S03, PRDE,actvstrat=,0.040755, actvprof=,1.126135, id=,S04, PRDE,actvstrat=,-0.683352, actvprof=,0.069724, id=,S05, PRDE,actvstrat=,-0.778507, actvprof=,0.005833, id=,S08, PRDE,actvstrat=,-0.527563, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.810475, best_B_strat=,-0.346723, best_S_id=,S02, best_S_prof=,3.270485, best_S_strat=,0.501100, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.589234, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.539592, id=,B08, PRDE,actvstrat=,0.340779, actvprof=,4.217120, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.625554, id=,S02, PRDE,actvstrat=,-0.039085, actvprof=,0.904482, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.102865, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.641416, id=,S05, PRDE,actvstrat=,0.786943, actvprof=,0.138895, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,6.625554, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,2.102865, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.589234, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.617575, id=,B08, PRDE,actvstrat=,0.340779, actvprof=,4.139670, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.662639, id=,S02, PRDE,actvstrat=,-0.039085, actvprof=,0.937103, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.058654, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.663625, id=,S05, PRDE,actvstrat=,0.786943, actvprof=,0.145420, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.003750, best_B_id=,B09, best_B_prof=,6.662639, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,2.058654, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.519070, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.913884, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.701016, actvprof=,2.236791, id=,B08, PRDE,actvstrat=,0.810485, actvprof=,3.916051, id=,B09, PRDE,actvstrat=,0.613927, actvprof=,5.173621, id=,S02, PRDE,actvstrat=,-0.652295, actvprof=,0.709206, id=,S03, PRDE,actvstrat=,0.110777, actvprof=,0.921718, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.311462, id=,S05, PRDE,actvstrat=,0.786943, actvprof=,0.285016, id=,S08, PRDE,actvstrat=,-0.872752, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.173621, best_B_strat=,0.613927, best_S_id=,S04, best_S_prof=,1.311462, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.519070, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.913884, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.701016, actvprof=,2.225725, id=,B08, PRDE,actvstrat=,0.810485, actvprof=,3.958111, id=,B09, PRDE,actvstrat=,0.613927, actvprof=,5.259656, id=,S02, PRDE,actvstrat=,-0.652295, actvprof=,0.731955, id=,S03, PRDE,actvstrat=,0.110777, actvprof=,0.927374, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.344324, id=,S05, PRDE,actvstrat=,0.786943, actvprof=,0.318060, id=,S08, PRDE,actvstrat=,-0.872752, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.259656, best_B_strat=,0.613927, best_S_id=,S04, best_S_prof=,1.344324, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.814673, actvprof=,2.374021, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.928552, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.514473, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.118062, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.994889, id=,S04, PRDE,actvstrat=,-0.327425, actvprof=,0.074726, id=,S05, PRDE,actvstrat=,-0.190067, actvprof=,0.005278, id=,S08, PRDE,actvstrat=,0.353226, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.514473, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.118062, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.814673, actvprof=,2.399911, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.944527, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.480253, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.125662, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.962840, id=,S04, PRDE,actvstrat=,-0.327425, actvprof=,0.073752, id=,S05, PRDE,actvstrat=,-0.190067, actvprof=,0.007361, id=,S08, PRDE,actvstrat=,0.353226, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.480253, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.125662, best_S_strat=,1.000000, 
