t=,43200, id=,B00, PRDE,actvstrat=,-0.486017, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.554514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.356704, actvprof=,0.000972, id=,B07, PRDE,actvstrat=,-0.973902, actvprof=,0.609045, id=,B08, PRDE,actvstrat=,0.174633, actvprof=,4.265674, id=,S00, PRDE,actvstrat=,-0.442404, actvprof=,1.350038, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.699408, id=,S04, PRDE,actvstrat=,0.528471, actvprof=,0.136670, id=,S05, PRDE,actvstrat=,-0.173212, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.123823, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.265674, best_B_strat=,0.174633, best_S_id=,S02, best_S_prof=,3.699408, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.089270, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.139124, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.915827, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,-0.677196, actvprof=,1.261737, id=,B08, PRDE,actvstrat=,-0.627756, actvprof=,2.561253, id=,S00, PRDE,actvstrat=,-0.956489, actvprof=,0.131952, id=,S02, PRDE,actvstrat=,0.995349, actvprof=,3.932996, id=,S04, PRDE,actvstrat=,0.534359, actvprof=,0.175565, id=,S05, PRDE,actvstrat=,0.676716, actvprof=,0.008334, id=,S08, PRDE,actvstrat=,0.469945, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.561253, best_B_strat=,-0.627756, best_S_id=,S02, best_S_prof=,3.932996, best_S_strat=,0.995349, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.089270, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.139124, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.915827, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,-0.677196, actvprof=,1.288925, id=,B08, PRDE,actvstrat=,-0.627756, actvprof=,2.546182, id=,S00, PRDE,actvstrat=,-0.956489, actvprof=,0.103475, id=,S02, PRDE,actvstrat=,0.995349, actvprof=,3.973305, id=,S04, PRDE,actvstrat=,0.534359, actvprof=,0.173477, id=,S05, PRDE,actvstrat=,0.676716, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.469945, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.546182, best_B_strat=,-0.627756, best_S_id=,S02, best_S_prof=,3.973305, best_S_strat=,0.995349, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.019527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.888712, actvprof=,0.936957, id=,B08, PRDE,actvstrat=,-0.956893, actvprof=,1.338074, id=,S00, PRDE,actvstrat=,-0.140433, actvprof=,1.793914, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.436978, id=,S04, PRDE,actvstrat=,0.278214, actvprof=,0.027500, id=,S05, PRDE,actvstrat=,-0.760025, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.701445, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.338074, best_B_strat=,-0.956893, best_S_id=,S02, best_S_prof=,2.436978, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.019527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B07, PRDE,actvstrat=,-0.888712, actvprof=,0.861407, id=,B08, PRDE,actvstrat=,-0.956893, actvprof=,1.368362, id=,S00, PRDE,actvstrat=,-0.140433, actvprof=,1.863372, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.457690, id=,S04, PRDE,actvstrat=,0.278214, actvprof=,0.027917, id=,S05, PRDE,actvstrat=,-0.760025, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.701445, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.368362, best_B_strat=,-0.956893, best_S_id=,S02, best_S_prof=,2.457690, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.766242, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.305839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.636164, actvprof=,0.001945, id=,B07, PRDE,actvstrat=,-0.893994, actvprof=,0.380021, id=,B08, PRDE,actvstrat=,0.383321, actvprof=,4.228013, id=,S00, PRDE,actvstrat=,-0.541659, actvprof=,1.731485, id=,S02, PRDE,actvstrat=,0.570269, actvprof=,2.465415, id=,S04, PRDE,actvstrat=,0.204645, actvprof=,0.147508, id=,S05, PRDE,actvstrat=,0.676716, actvprof=,0.014167, id=,S08, PRDE,actvstrat=,-0.469402, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.228013, best_B_strat=,0.383321, best_S_id=,S02, best_S_prof=,2.465415, best_S_strat=,0.570269, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.766242, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.305839, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.636164, actvprof=,0.000972, id=,B07, PRDE,actvstrat=,-0.893994, actvprof=,0.412095, id=,B08, PRDE,actvstrat=,0.383321, actvprof=,4.403039, id=,S00, PRDE,actvstrat=,-0.541659, actvprof=,1.657129, id=,S02, PRDE,actvstrat=,0.570269, actvprof=,2.447012, id=,S04, PRDE,actvstrat=,0.204645, actvprof=,0.121253, id=,S05, PRDE,actvstrat=,0.676716, actvprof=,0.016528, id=,S08, PRDE,actvstrat=,-0.469402, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.403039, best_B_strat=,0.383321, best_S_id=,S02, best_S_prof=,2.447012, best_S_strat=,0.570269, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.043602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.084619, actvprof=,2.086754, id=,B08, PRDE,actvstrat=,0.279185, actvprof=,3.921830, id=,S00, PRDE,actvstrat=,0.779662, actvprof=,6.723613, id=,S02, PRDE,actvstrat=,0.388511, actvprof=,2.011750, id=,S04, PRDE,actvstrat=,-0.975144, actvprof=,0.169452, id=,S05, PRDE,actvstrat=,0.908325, actvprof=,0.077503, id=,S08, PRDE,actvstrat=,-0.803474, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.921830, best_B_strat=,0.279185, best_S_id=,S00, best_S_prof=,6.723613, best_S_strat=,0.779662, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.043602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,B07, PRDE,actvstrat=,0.084619, actvprof=,2.055057, id=,B08, PRDE,actvstrat=,0.279185, actvprof=,3.923581, id=,S00, PRDE,actvstrat=,0.779662, actvprof=,6.726020, id=,S02, PRDE,actvstrat=,0.388511, actvprof=,2.006028, id=,S04, PRDE,actvstrat=,-0.975144, actvprof=,0.162505, id=,S05, PRDE,actvstrat=,0.908325, actvprof=,0.079447, id=,S08, PRDE,actvstrat=,-0.803474, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.923581, best_B_strat=,0.279185, best_S_id=,S00, best_S_prof=,6.726020, best_S_strat=,0.779662, 
t=,75600, id=,B00, PRDE,actvstrat=,0.891472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.043602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.883663, actvprof=,0.001389, id=,B07, PRDE,actvstrat=,0.043546, actvprof=,1.908717, id=,B08, PRDE,actvstrat=,0.174633, actvprof=,3.576865, id=,S00, PRDE,actvstrat=,0.155365, actvprof=,4.231346, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.559642, id=,S04, PRDE,actvstrat=,-0.282555, actvprof=,0.015834, id=,S05, PRDE,actvstrat=,-0.336796, actvprof=,0.003334, id=,S08, PRDE,actvstrat=,-0.601729, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.576865, best_B_strat=,0.174633, best_S_id=,S00, best_S_prof=,4.231346, best_S_strat=,0.155365, 
