t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.181732, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.588477, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.322185, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.637758, id=,S02, PRDE,actvstrat=,0.875978, actvprof=,3.083782, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.867882, id=,S08, PRDE,actvstrat=,0.687706, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.322185, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.637758, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.224340, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.615767, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.370260, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.644296, id=,S02, PRDE,actvstrat=,0.875978, actvprof=,3.073696, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.798244, id=,S08, PRDE,actvstrat=,0.687706, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.370260, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.644296, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882129, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.060003, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.274237, id=,B07, PRDE,actvstrat=,-0.016413, actvprof=,1.432024, id=,S01, PRDE,actvstrat=,0.118037, actvprof=,3.422968, id=,S02, PRDE,actvstrat=,-0.833368, actvprof=,0.267793, id=,S03, PRDE,actvstrat=,0.486436, actvprof=,1.634535, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.432024, best_B_strat=,-0.016413, best_S_id=,S01, best_S_prof=,3.422968, best_S_strat=,0.118037, 
t=,50400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882129, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.066946, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.300453, id=,B07, PRDE,actvstrat=,-0.016413, actvprof=,1.420039, id=,S01, PRDE,actvstrat=,0.118037, actvprof=,3.375372, id=,S02, PRDE,actvstrat=,-0.833368, actvprof=,0.278480, id=,S03, PRDE,actvstrat=,0.486436, actvprof=,1.648379, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.420039, best_B_strat=,-0.016413, best_S_id=,S01, best_S_prof=,3.375372, best_S_strat=,0.118037, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.108772, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146513, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.570865, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.953164, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.577421, id=,S01, PRDE,actvstrat=,-0.625713, actvprof=,1.017834, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.953275, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.478193, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.577421, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.953275, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.108772, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.146513, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.602096, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.992680, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.589658, id=,S01, PRDE,actvstrat=,-0.625713, actvprof=,1.100856, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.966333, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.438662, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.589658, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.966333, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.135132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.105111, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.893467, actvprof=,0.075004, id=,B06, PRDE,actvstrat=,0.414085, actvprof=,2.580421, id=,B07, PRDE,actvstrat=,0.412891, actvprof=,4.509973, id=,S01, PRDE,actvstrat=,0.630005, actvprof=,2.769321, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.268459, id=,S03, PRDE,actvstrat=,0.790864, actvprof=,0.484194, id=,S08, PRDE,actvstrat=,0.603758, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.172422, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.509973, best_B_strat=,0.412891, best_S_id=,S01, best_S_prof=,2.769321, best_S_strat=,0.630005, 
t=,64800, id=,B00, PRDE,actvstrat=,0.135132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.105111, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.893467, actvprof=,0.109168, id=,B06, PRDE,actvstrat=,0.414085, actvprof=,2.732260, id=,B07, PRDE,actvstrat=,0.412891, actvprof=,4.512702, id=,S01, PRDE,actvstrat=,0.630005, actvprof=,2.690037, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.262393, id=,S03, PRDE,actvstrat=,0.790864, actvprof=,0.445840, id=,S08, PRDE,actvstrat=,0.603758, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.172422, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.512702, best_B_strat=,0.412891, best_S_id=,S01, best_S_prof=,2.690037, best_S_strat=,0.630005, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.262702, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.366409, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.725096, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.371854, id=,S01, PRDE,actvstrat=,0.192709, actvprof=,3.036280, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.061892, id=,S03, PRDE,actvstrat=,0.341010, actvprof=,1.048114, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.371854, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,4.061892, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.262702, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.371677, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.742132, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.346621, id=,S01, PRDE,actvstrat=,0.192709, actvprof=,3.170088, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.091225, id=,S03, PRDE,actvstrat=,0.341010, actvprof=,1.053918, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.346621, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,4.091225, best_S_strat=,-1.000000, 
