t=,43200, id=,B01, PRDE,actvstrat=,0.468141, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.808021, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,-0.267233, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.245561, id=,B07, PRDE,actvstrat=,0.214684, actvprof=,3.789662, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.152767, id=,S04, PRDE,actvstrat=,0.827975, actvprof=,0.042362, id=,S07, PRDE,actvstrat=,-0.156378, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432467, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.789662, best_B_strat=,0.214684, best_S_id=,S00, best_S_prof=,6.152767, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.269208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.160384, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.689628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.345123, actvprof=,0.055558, id=,B07, PRDE,actvstrat=,0.499845, actvprof=,4.018779, id=,S00, PRDE,actvstrat=,-0.481762, actvprof=,0.849202, id=,S04, PRDE,actvstrat=,0.699701, actvprof=,0.036946, id=,S07, PRDE,actvstrat=,-0.843231, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432467, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.018779, best_B_strat=,0.499845, best_S_id=,S00, best_S_prof=,0.849202, best_S_strat=,-0.481762, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.269208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.160384, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.689628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.345123, actvprof=,0.112919, id=,B07, PRDE,actvstrat=,0.499845, actvprof=,4.291478, id=,S00, PRDE,actvstrat=,-0.481762, actvprof=,0.774461, id=,S04, PRDE,actvstrat=,0.699701, actvprof=,0.028056, id=,S07, PRDE,actvstrat=,-0.843231, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432467, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.291478, best_B_strat=,0.499845, best_S_id=,S00, best_S_prof=,0.774461, best_S_strat=,-0.481762, 
t=,54000, id=,B01, PRDE,actvstrat=,0.816617, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.086778, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.505371, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.214620, id=,S00, PRDE,actvstrat=,0.492528, actvprof=,4.418795, id=,S04, PRDE,actvstrat=,-0.712246, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.191979, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.214620, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.418795, best_S_strat=,0.492528, 
t=,57600, id=,B01, PRDE,actvstrat=,0.816617, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.086778, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.505371, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.005417, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.248115, id=,S00, PRDE,actvstrat=,0.492528, actvprof=,4.316588, id=,S04, PRDE,actvstrat=,-0.712246, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.191979, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.248115, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.316588, best_S_strat=,0.492528, 
t=,61200, id=,B01, PRDE,actvstrat=,0.709098, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882107, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.364852, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.692619, actvprof=,0.260566, id=,B07, PRDE,actvstrat=,-0.911304, actvprof=,0.890593, id=,S00, PRDE,actvstrat=,-0.670437, actvprof=,0.733919, id=,S04, PRDE,actvstrat=,-0.711042, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.535641, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.913982, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.653283, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.890593, best_B_strat=,-0.911304, best_S_id=,S00, best_S_prof=,0.733919, best_S_strat=,-0.670437, 
t=,64800, id=,B01, PRDE,actvstrat=,0.709098, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882107, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.364852, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.692619, actvprof=,0.293895, id=,B07, PRDE,actvstrat=,-0.911304, actvprof=,0.976131, id=,S00, PRDE,actvstrat=,-0.670437, actvprof=,0.734321, id=,S04, PRDE,actvstrat=,-0.711042, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.535641, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.913982, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.653283, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.976131, best_B_strat=,-0.911304, best_S_id=,S00, best_S_prof=,0.734321, best_S_strat=,-0.670437, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.418153, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.455056, actvprof=,0.331116, id=,B07, PRDE,actvstrat=,0.923493, actvprof=,5.353963, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.143683, id=,S04, PRDE,actvstrat=,-0.982200, actvprof=,0.044167, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.744344, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.234067, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.353963, best_B_strat=,0.923493, best_S_id=,S00, best_S_prof=,5.143683, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.418153, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,B04, PRDE,actvstrat=,0.455056, actvprof=,0.286950, id=,B07, PRDE,actvstrat=,0.923493, actvprof=,5.308583, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.169413, id=,S04, PRDE,actvstrat=,-0.982200, actvprof=,0.052501, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-0.744344, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.234067, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.308583, best_B_strat=,0.923493, best_S_id=,S00, best_S_prof=,5.169413, best_S_strat=,-1.000000, 
t=,75600, id=,B01, PRDE,actvstrat=,0.227829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.008135, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.407752, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.502088, actvprof=,0.205011, id=,B07, PRDE,actvstrat=,0.639291, actvprof=,5.823379, id=,S00, PRDE,actvstrat=,-0.088834, actvprof=,0.935052, id=,S04, PRDE,actvstrat=,0.827975, actvprof=,0.008334, id=,S07, PRDE,actvstrat=,0.596166, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.473417, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.522476, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.823379, best_B_strat=,0.639291, best_S_id=,S00, best_S_prof=,0.935052, best_S_strat=,-0.088834, 
