t=,39600, id=,B00, PRDE,actvstrat=,-0.959510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.410978, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.077853, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.440725, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.208209, id=,S02, PRDE,actvstrat=,0.298541, actvprof=,1.902077, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.907910, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.049170, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.440725, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.208209, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.959510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.410978, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.988784, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.378416, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.233411, id=,S02, PRDE,actvstrat=,0.298541, actvprof=,1.915344, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.953123, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.058196, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.378416, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.233411, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.959510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.566468, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.136348, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.643359, actvprof=,0.296132, id=,B06, PRDE,actvstrat=,0.333879, actvprof=,1.053406, id=,S00, PRDE,actvstrat=,0.022797, actvprof=,4.688937, id=,S02, PRDE,actvstrat=,-0.623868, actvprof=,0.623932, id=,S03, PRDE,actvstrat=,0.924250, actvprof=,2.378776, id=,S05, PRDE,actvstrat=,0.608691, actvprof=,0.037225, id=,S07, PRDE,actvstrat=,-0.671604, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.053406, best_B_strat=,0.333879, best_S_id=,S00, best_S_prof=,4.688937, best_S_strat=,0.022797, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.959510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.566468, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.136348, actvprof=,0.002361, id=,B05, PRDE,actvstrat=,0.643359, actvprof=,0.316263, id=,B06, PRDE,actvstrat=,0.333879, actvprof=,1.126436, id=,S00, PRDE,actvstrat=,0.022797, actvprof=,4.448380, id=,S02, PRDE,actvstrat=,-0.623868, actvprof=,0.675861, id=,S03, PRDE,actvstrat=,0.924250, actvprof=,2.385655, id=,S05, PRDE,actvstrat=,0.608691, actvprof=,0.027640, id=,S07, PRDE,actvstrat=,-0.671604, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.126436, best_B_strat=,0.333879, best_S_id=,S00, best_S_prof=,4.448380, best_S_strat=,0.022797, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.532059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.560384, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.602289, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,-0.386020, actvprof=,0.265578, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.038031, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.152735, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.599939, id=,S03, PRDE,actvstrat=,-0.537236, actvprof=,0.062505, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.041115, id=,S07, PRDE,actvstrat=,-0.753362, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.038031, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.152735, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.532059, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.560384, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.602289, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,-0.386020, actvprof=,0.288068, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.083462, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.098587, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.557190, id=,S03, PRDE,actvstrat=,-0.537236, actvprof=,0.066114, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.053613, id=,S07, PRDE,actvstrat=,-0.753362, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.083462, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.098587, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.513066, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.560384, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.511049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.569407, actvprof=,0.015557, id=,B06, PRDE,actvstrat=,0.926189, actvprof=,1.389005, id=,S00, PRDE,actvstrat=,-0.182032, actvprof=,3.637248, id=,S02, PRDE,actvstrat=,0.328127, actvprof=,2.667445, id=,S03, PRDE,actvstrat=,-0.672213, actvprof=,0.352807, id=,S05, PRDE,actvstrat=,0.742337, actvprof=,0.115010, id=,S07, PRDE,actvstrat=,-0.540082, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.389005, best_B_strat=,0.926189, best_S_id=,S00, best_S_prof=,3.637248, best_S_strat=,-0.182032, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.513066, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.560384, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.511049, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.569407, actvprof=,0.015695, id=,B06, PRDE,actvstrat=,0.926189, actvprof=,1.331167, id=,S00, PRDE,actvstrat=,-0.182032, actvprof=,3.553759, id=,S02, PRDE,actvstrat=,0.328127, actvprof=,2.851230, id=,S03, PRDE,actvstrat=,-0.672213, actvprof=,0.349598, id=,S05, PRDE,actvstrat=,0.742337, actvprof=,0.131394, id=,S07, PRDE,actvstrat=,-0.540082, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.331167, best_B_strat=,0.926189, best_S_id=,S00, best_S_prof=,3.553759, best_S_strat=,-0.182032, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.447730, actvprof=,0.293084, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.097148, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.914839, id=,S02, PRDE,actvstrat=,-0.837526, actvprof=,0.181407, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.971025, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.056672, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.097148, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.914839, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.005834, id=,B05, PRDE,actvstrat=,0.447730, actvprof=,0.318904, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.090240, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.889502, id=,S02, PRDE,actvstrat=,-0.837526, actvprof=,0.187370, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.986624, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.071531, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.090240, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.889502, best_S_strat=,1.000000, 
