t=,39600, id=,B00, PRDE,actvstrat=,-0.022213, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.995053, actvprof=,0.066948, id=,B06, PRDE,actvstrat=,0.512616, actvprof=,2.249014, id=,S00, PRDE,actvstrat=,0.208689, actvprof=,3.716873, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.223790, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.487502, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.249014, best_B_strat=,0.512616, best_S_id=,S00, best_S_prof=,3.716873, best_S_strat=,0.208689, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.022213, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.995053, actvprof=,0.066390, id=,B06, PRDE,actvstrat=,0.512616, actvprof=,2.272408, id=,S00, PRDE,actvstrat=,0.208689, actvprof=,3.817996, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.245623, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.003472, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.487502, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.272408, best_B_strat=,0.512616, best_S_id=,S00, best_S_prof=,3.817996, best_S_strat=,0.208689, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.789796, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.584352, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.609703, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.021541, actvprof=,0.222509, id=,B06, PRDE,actvstrat=,-0.802628, actvprof=,0.987263, id=,S00, PRDE,actvstrat=,-0.437115, actvprof=,1.173104, id=,S02, PRDE,actvstrat=,0.137276, actvprof=,0.678917, id=,S05, PRDE,actvstrat=,-0.292159, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.814972, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251151, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.987263, best_B_strat=,-0.802628, best_S_id=,S00, best_S_prof=,1.173104, best_S_strat=,-0.437115, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.789796, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.584352, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.609703, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.021541, actvprof=,0.175005, id=,B06, PRDE,actvstrat=,-0.802628, actvprof=,0.912942, id=,S00, PRDE,actvstrat=,-0.437115, actvprof=,1.233923, id=,S02, PRDE,actvstrat=,0.137276, actvprof=,0.795300, id=,S05, PRDE,actvstrat=,-0.292159, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.814972, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251151, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.912942, best_B_strat=,-0.802628, best_S_id=,S00, best_S_prof=,1.233923, best_S_strat=,-0.437115, 
t=,54000, id=,B00, PRDE,actvstrat=,0.659062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.250847, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.870437, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.670871, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.332685, id=,S05, PRDE,actvstrat=,0.143700, actvprof=,0.010834, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.870437, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.670871, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,0.659062, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.203617, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.754104, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.842801, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.390650, id=,S05, PRDE,actvstrat=,0.143700, actvprof=,0.011250, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.754104, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.842801, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.386859, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.965742, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.435441, actvprof=,0.057225, id=,B06, PRDE,actvstrat=,0.848771, actvprof=,3.409634, id=,S00, PRDE,actvstrat=,-0.773037, actvprof=,0.785321, id=,S02, PRDE,actvstrat=,0.719592, actvprof=,1.853714, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.006111, id=,S06, PRDE,actvstrat=,-0.965844, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.487502, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.409634, best_B_strat=,0.848771, best_S_id=,S02, best_S_prof=,1.853714, best_S_strat=,0.719592, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.386859, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.815696, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.965742, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.435441, actvprof=,0.056668, id=,B06, PRDE,actvstrat=,0.848771, actvprof=,3.443429, id=,S00, PRDE,actvstrat=,-0.773037, actvprof=,0.897108, id=,S02, PRDE,actvstrat=,0.719592, actvprof=,1.780883, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,S06, PRDE,actvstrat=,-0.965844, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.487502, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.443429, best_B_strat=,0.848771, best_S_id=,S02, best_S_prof=,1.780883, best_S_strat=,0.719592, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.741607, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,-0.752944, actvprof=,0.613923, id=,S00, PRDE,actvstrat=,-0.446796, actvprof=,1.992611, id=,S02, PRDE,actvstrat=,-0.816123, actvprof=,0.121118, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.613923, best_B_strat=,-0.752944, best_S_id=,S00, best_S_prof=,1.992611, best_S_strat=,-0.446796, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.741607, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014445, id=,B06, PRDE,actvstrat=,-0.752944, actvprof=,0.613073, id=,S00, PRDE,actvstrat=,-0.446796, actvprof=,1.926442, id=,S02, PRDE,actvstrat=,-0.816123, actvprof=,0.148337, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.613073, best_B_strat=,-0.752944, best_S_id=,S00, best_S_prof=,1.926442, best_S_strat=,-0.446796, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.955857, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.666133, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.852546, actvprof=,0.271126, id=,B06, PRDE,actvstrat=,-0.273931, actvprof=,1.461470, id=,S00, PRDE,actvstrat=,0.524123, actvprof=,4.235513, id=,S02, PRDE,actvstrat=,0.719592, actvprof=,1.778710, id=,S05, PRDE,actvstrat=,0.783209, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.958755, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.461470, best_B_strat=,-0.273931, best_S_id=,S00, best_S_prof=,4.235513, best_S_strat=,0.524123, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.955857, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.666133, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.852546, actvprof=,0.293064, id=,B06, PRDE,actvstrat=,-0.273931, actvprof=,1.465735, id=,S00, PRDE,actvstrat=,0.524123, actvprof=,4.157893, id=,S02, PRDE,actvstrat=,0.719592, actvprof=,1.783522, id=,S05, PRDE,actvstrat=,0.783209, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.958755, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.465735, best_B_strat=,-0.273931, best_S_id=,S00, best_S_prof=,4.157893, best_S_strat=,0.524123, 
t=,82800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.200698, actvprof=,0.023612, id=,B04, PRDE,actvstrat=,0.494808, actvprof=,0.694761, id=,B06, PRDE,actvstrat=,0.213201, actvprof=,3.281849, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.431357, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.722318, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.854510, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.281849, best_B_strat=,0.213201, best_S_id=,S00, best_S_prof=,4.431357, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.200698, actvprof=,0.034585, id=,B04, PRDE,actvstrat=,0.494808, actvprof=,0.747387, id=,B06, PRDE,actvstrat=,0.213201, actvprof=,3.434703, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.361263, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,1.664086, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.854510, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.434703, best_B_strat=,0.213201, best_S_id=,S00, best_S_prof=,4.361263, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.419168, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.755916, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.566257, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.627109, actvprof=,0.073337, id=,B06, PRDE,actvstrat=,-0.491115, actvprof=,1.650647, id=,S00, PRDE,actvstrat=,0.279905, actvprof=,2.811823, id=,S02, PRDE,actvstrat=,-0.146115, actvprof=,0.146119, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.942165, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.650647, best_B_strat=,-0.491115, best_S_id=,S00, best_S_prof=,2.811823, best_S_strat=,0.279905, 
