t=,39600, id=,B01, PRDE,actvstrat=,-0.671253, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.013321, actvprof=,0.920329, id=,B06, PRDE,actvstrat=,0.296350, actvprof=,2.415968, id=,B07, PRDE,actvstrat=,0.002569, actvprof=,3.778821, id=,B09, PRDE,actvstrat=,-0.069202, actvprof=,6.705928, id=,S00, PRDE,actvstrat=,0.815249, actvprof=,5.071671, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.172232, id=,S06, PRDE,actvstrat=,-0.283043, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.053847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.705928, best_B_strat=,-0.069202, best_S_id=,S00, best_S_prof=,5.071671, best_S_strat=,0.815249, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.671253, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.013321, actvprof=,0.889330, id=,B06, PRDE,actvstrat=,0.296350, actvprof=,2.486319, id=,B07, PRDE,actvstrat=,0.002569, actvprof=,3.656768, id=,B09, PRDE,actvstrat=,-0.069202, actvprof=,6.804911, id=,S00, PRDE,actvstrat=,0.815249, actvprof=,5.006250, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.175005, id=,S06, PRDE,actvstrat=,-0.283043, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.053847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.804911, best_B_strat=,-0.069202, best_S_id=,S00, best_S_prof=,5.006250, best_S_strat=,0.815249, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.812680, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.013321, actvprof=,0.363076, id=,B06, PRDE,actvstrat=,0.296350, actvprof=,1.755653, id=,B07, PRDE,actvstrat=,0.002569, actvprof=,2.589866, id=,B09, PRDE,actvstrat=,-0.906691, actvprof=,2.291238, id=,S00, PRDE,actvstrat=,-0.707819, actvprof=,1.021168, id=,S04, PRDE,actvstrat=,-0.331288, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,0.104106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.875522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.589866, best_B_strat=,0.002569, best_S_id=,S00, best_S_prof=,1.021168, best_S_strat=,-0.707819, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.812680, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.013321, actvprof=,0.345979, id=,B06, PRDE,actvstrat=,0.296350, actvprof=,1.733369, id=,B07, PRDE,actvstrat=,0.002569, actvprof=,2.745752, id=,B09, PRDE,actvstrat=,-0.906691, actvprof=,2.153239, id=,S00, PRDE,actvstrat=,-0.707819, actvprof=,0.999187, id=,S04, PRDE,actvstrat=,-0.331288, actvprof=,0.004167, id=,S06, PRDE,actvstrat=,0.104106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.875522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.745752, best_B_strat=,0.002569, best_S_id=,S00, best_S_prof=,0.999187, best_S_strat=,-0.707819, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.326864, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.150094, actvprof=,0.091394, id=,B06, PRDE,actvstrat=,0.627454, actvprof=,1.866770, id=,B07, PRDE,actvstrat=,0.565275, actvprof=,3.374354, id=,B09, PRDE,actvstrat=,-0.505731, actvprof=,4.633591, id=,S00, PRDE,actvstrat=,-0.601488, actvprof=,1.173676, id=,S04, PRDE,actvstrat=,0.412961, actvprof=,0.087783, id=,S06, PRDE,actvstrat=,-0.261251, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.679893, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.985769, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.633591, best_B_strat=,-0.505731, best_S_id=,S00, best_S_prof=,1.173676, best_S_strat=,-0.601488, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.326864, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.150094, actvprof=,0.086530, id=,B06, PRDE,actvstrat=,0.627454, actvprof=,1.852690, id=,B07, PRDE,actvstrat=,0.565275, actvprof=,3.413706, id=,B09, PRDE,actvstrat=,-0.505731, actvprof=,4.675824, id=,S00, PRDE,actvstrat=,-0.601488, actvprof=,1.235590, id=,S04, PRDE,actvstrat=,0.412961, actvprof=,0.120976, id=,S06, PRDE,actvstrat=,-0.261251, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.679893, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.985769, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.675824, best_B_strat=,-0.505731, best_S_id=,S00, best_S_prof=,1.235590, best_S_strat=,-0.601488, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.419286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.075821, actvprof=,0.063337, id=,B06, PRDE,actvstrat=,0.410355, actvprof=,1.384521, id=,B07, PRDE,actvstrat=,0.807393, actvprof=,3.708539, id=,B09, PRDE,actvstrat=,-0.198053, actvprof=,4.670537, id=,S00, PRDE,actvstrat=,-0.944201, actvprof=,0.310295, id=,S04, PRDE,actvstrat=,0.119205, actvprof=,0.079449, id=,S06, PRDE,actvstrat=,-0.265054, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.679893, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.583026, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.670537, best_B_strat=,-0.198053, best_S_id=,S00, best_S_prof=,0.310295, best_S_strat=,-0.944201, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.419286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.075821, actvprof=,0.070141, id=,B06, PRDE,actvstrat=,0.410355, actvprof=,1.382677, id=,B07, PRDE,actvstrat=,0.807393, actvprof=,3.704686, id=,B09, PRDE,actvstrat=,-0.198053, actvprof=,4.741659, id=,S00, PRDE,actvstrat=,-0.944201, actvprof=,0.310286, id=,S04, PRDE,actvstrat=,0.119205, actvprof=,0.084586, id=,S06, PRDE,actvstrat=,-0.265054, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.679893, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.583026, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.741659, best_B_strat=,-0.198053, best_S_id=,S00, best_S_prof=,0.310286, best_S_strat=,-0.944201, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.678859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.217545, actvprof=,1.079504, id=,B06, PRDE,actvstrat=,-0.972009, actvprof=,0.545864, id=,B07, PRDE,actvstrat=,-0.062104, actvprof=,4.419412, id=,B09, PRDE,actvstrat=,0.233363, actvprof=,8.280182, id=,S00, PRDE,actvstrat=,0.610663, actvprof=,3.307128, id=,S04, PRDE,actvstrat=,0.992399, actvprof=,0.047503, id=,S06, PRDE,actvstrat=,-0.190047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518496, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.282131, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.280182, best_B_strat=,0.233363, best_S_id=,S00, best_S_prof=,3.307128, best_S_strat=,0.610663, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.678859, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.217545, actvprof=,0.946409, id=,B06, PRDE,actvstrat=,-0.972009, actvprof=,0.524733, id=,B07, PRDE,actvstrat=,-0.062104, actvprof=,4.271200, id=,B09, PRDE,actvstrat=,0.233363, actvprof=,8.297951, id=,S00, PRDE,actvstrat=,0.610663, actvprof=,3.252012, id=,S04, PRDE,actvstrat=,0.992399, actvprof=,0.059862, id=,S06, PRDE,actvstrat=,-0.190047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518496, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.282131, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.297951, best_B_strat=,0.233363, best_S_id=,S00, best_S_prof=,3.252012, best_S_strat=,0.610663, 
