t=,39600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.470588, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.927426, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.702827, id=,B09, PRDE,actvstrat=,-0.588063, actvprof=,3.621918, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.619349, id=,S03, PRDE,actvstrat=,0.814684, actvprof=,2.291548, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.425377, id=,S05, PRDE,actvstrat=,-0.468009, actvprof=,0.021668, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.702827, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.619349, best_S_strat=,-1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.479044, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.980937, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.770721, id=,B09, PRDE,actvstrat=,-0.588063, actvprof=,3.725268, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.559394, id=,S03, PRDE,actvstrat=,0.814684, actvprof=,2.254523, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.371992, id=,S05, PRDE,actvstrat=,-0.468009, actvprof=,0.029307, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.770721, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,6.559394, best_S_strat=,-1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.055777, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.090919, actvprof=,0.103896, id=,B07, PRDE,actvstrat=,0.659805, actvprof=,2.916869, id=,B08, PRDE,actvstrat=,0.837875, actvprof=,4.794222, id=,B09, PRDE,actvstrat=,-0.588063, actvprof=,3.983054, id=,S00, PRDE,actvstrat=,-0.562232, actvprof=,2.802972, id=,S03, PRDE,actvstrat=,0.263581, actvprof=,1.097854, id=,S04, PRDE,actvstrat=,0.824194, actvprof=,0.847281, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.115841, id=,S09, PRDE,actvstrat=,-0.436538, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.794222, best_B_strat=,0.837875, best_S_id=,S00, best_S_prof=,2.802972, best_S_strat=,-0.562232, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.055777, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.090919, actvprof=,0.113475, id=,B07, PRDE,actvstrat=,0.659805, actvprof=,2.938693, id=,B08, PRDE,actvstrat=,0.837875, actvprof=,4.736243, id=,B09, PRDE,actvstrat=,-0.588063, actvprof=,3.926081, id=,S00, PRDE,actvstrat=,-0.562232, actvprof=,2.829384, id=,S03, PRDE,actvstrat=,0.263581, actvprof=,1.083086, id=,S04, PRDE,actvstrat=,0.824194, actvprof=,0.884469, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.108753, id=,S09, PRDE,actvstrat=,-0.436538, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.736243, best_B_strat=,0.837875, best_S_id=,S00, best_S_prof=,2.829384, best_S_strat=,-0.562232, 
t=,54000, id=,B02, PRDE,actvstrat=,0.012750, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.430585, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.672686, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.858046, id=,B09, PRDE,actvstrat=,-0.149469, actvprof=,3.829710, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.776860, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.785471, id=,S04, PRDE,actvstrat=,-0.513734, actvprof=,0.166400, id=,S05, PRDE,actvstrat=,-0.389209, actvprof=,0.024724, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.858046, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.776860, best_S_strat=,-1.000000, 
t=,57600, id=,B02, PRDE,actvstrat=,0.012750, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.424317, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.657018, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.944415, id=,B09, PRDE,actvstrat=,-0.149469, actvprof=,3.760382, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.698103, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.809106, id=,S04, PRDE,actvstrat=,-0.513734, actvprof=,0.174449, id=,S05, PRDE,actvstrat=,-0.389209, actvprof=,0.030279, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.944415, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.698103, best_S_strat=,-1.000000, 
t=,61200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.483096, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.898019, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.684001, id=,B09, PRDE,actvstrat=,0.951076, actvprof=,6.555268, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.647221, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.364364, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.374837, id=,S05, PRDE,actvstrat=,0.374055, actvprof=,0.069728, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.555268, best_B_strat=,0.951076, best_S_id=,S00, best_S_prof=,6.647221, best_S_strat=,-1.000000, 
t=,64800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.470572, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.930796, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.636272, id=,B09, PRDE,actvstrat=,0.951076, actvprof=,6.498142, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.666481, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.384249, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.378103, id=,S05, PRDE,actvstrat=,0.374055, actvprof=,0.051668, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.498142, best_B_strat=,0.951076, best_S_id=,S00, best_S_prof=,6.666481, best_S_strat=,-1.000000, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.247367, actvprof=,0.022502, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.251886, id=,B08, PRDE,actvstrat=,0.646531, actvprof=,3.605351, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.579154, id=,S00, PRDE,actvstrat=,0.229158, actvprof=,3.668412, id=,S03, PRDE,actvstrat=,-0.476980, actvprof=,0.188629, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.088259, id=,S05, PRDE,actvstrat=,-0.337379, actvprof=,0.024725, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.579154, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.668412, best_S_strat=,0.229158, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.247367, actvprof=,0.027640, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.215941, id=,B08, PRDE,actvstrat=,0.646531, actvprof=,3.525310, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,5.501517, id=,S00, PRDE,actvstrat=,0.229158, actvprof=,3.702958, id=,S03, PRDE,actvstrat=,-0.476980, actvprof=,0.182092, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.130381, id=,S05, PRDE,actvstrat=,-0.337379, actvprof=,0.023890, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.501517, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.702958, best_S_strat=,0.229158, 
