B00, 0
B01, 2
B01, Trade, 819608.500, 67, S00, B01, 1
B01, Trade, 1737243.401, 67, B01, S00, 1
B02, 100
B02, Trade, 4264555.393, 74, B02, S01, 1
B02, Trade, 4265117.693, 74, B02, S01, 1
B02, Trade, 4266206.943, 76, B02, S01, 1
B02, Trade, 4266729.093, 76, B02, S01, 1
B02, Trade, 4266905.593, 76, B02, S01, 1
B02, Trade, 4267144.243, 68, S01, B02, 1
B02, Trade, 4267379.493, 74, B02, S01, 1
B02, Trade, 4267749.493, 76, B02, S01, 1
B02, Trade, 4268067.593, 75, B02, S01, 1
B02, Trade, 4268680.493, 75, B02, S01, 1
B02, Trade, 4268864.493, 75, B02, S01, 1
B02, Trade, 4269193.143, 75, B02, S01, 1
B02, Trade, 4270080.643, 76, B02, S01, 1
B02, Trade, 4270261.443, 76, B02, S01, 1
B02, Trade, 4270655.143, 75, B02, S01, 1
B02, Trade, 4272295.343, 76, B02, S01, 1
B02, Trade, 4272541.293, 76, B02, S01, 1
B02, Trade, 4272716.293, 76, B02, S01, 1
B02, Trade, 4273748.593, 76, B02, S01, 1
B02, Trade, 4274078.343, 75, B02, S01, 1
B02, Trade, 4274669.343, 76, B02, S01, 1
B02, Trade, 4274737.793, 76, B02, S01, 1
B02, Trade, 4274959.793, 76, B02, S01, 1
B02, Trade, 4275267.243, 75, B02, S01, 1
B02, Trade, 4275357.893, 75, B02, S01, 1
B02, Trade, 4275758.493, 76, B02, S01, 1
B02, Trade, 4275957.043, 76, B02, S01, 1
B02, Trade, 4276421.543, 75, B02, S01, 1
B02, Trade, 4276463.193, 74, B02, S01, 1
B02, Trade, 4277136.943, 76, B02, S01, 1
B02, Trade, 4277344.043, 76, B02, S01, 1
B02, Trade, 4277431.993, 76, B02, S01, 1
B02, Trade, 4277438.093, 76, B02, S01, 1
B02, Trade, 4278629.293, 76, B02, S01, 1
B02, Trade, 4279032.843, 76, B02, S01, 1
B02, Trade, 4279152.543, 75, B02, S01, 1
B02, Trade, 4279632.993, 76, B02, S01, 1
B02, Trade, 4280666.143, 76, B02, S01, 1
B02, Trade, 4281222.143, 75, B02, S01, 1
B02, Trade, 4281641.793, 75, B02, S01, 1
B02, Trade, 4281957.043, 70, S01, B02, 1
B02, Trade, 4282104.693, 75, B02, S01, 1
B02, Trade, 4282198.993, 75, B02, S01, 1
B02, Trade, 4283395.743, 76, B02, S01, 1
B02, Trade, 4283579.493, 76, B02, S01, 1
B02, Trade, 4284088.793, 76, B02, S01, 1
