t=,39600, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.023890, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.039446, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.083615, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,0.637527, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,6.580274, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,3.481256, id=,S03, PRDE,actvstrat=,-0.753085, actvprof=,0.181674, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.215842, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.039446, id=,S09, PRDE,actvstrat=,-0.223048, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.580274, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,3.481256, best_S_strat=,-0.067003, 
t=,43200, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.017778, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.047640, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.116253, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,0.645296, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,6.583933, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,3.479402, id=,S03, PRDE,actvstrat=,-0.753085, actvprof=,0.176810, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.229034, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.036112, id=,S09, PRDE,actvstrat=,-0.223048, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.583933, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,3.479402, best_S_strat=,-0.067003, 
t=,46800, id=,B03, PRDE,actvstrat=,0.122636, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.266434, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.671599, actvprof=,0.011667, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,0.292516, id=,B09, PRDE,actvstrat=,0.900093, actvprof=,6.657037, id=,S00, PRDE,actvstrat=,-0.928836, actvprof=,0.694483, id=,S03, PRDE,actvstrat=,-0.825688, actvprof=,0.093616, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.330852, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.029724, id=,S09, PRDE,actvstrat=,-0.223048, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.657037, best_B_strat=,0.900093, best_S_id=,S00, best_S_prof=,0.694483, best_S_strat=,-0.928836, 
t=,50400, id=,B03, PRDE,actvstrat=,0.122636, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.266434, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.671599, actvprof=,0.016945, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,0.350982, id=,B09, PRDE,actvstrat=,0.900093, actvprof=,6.792828, id=,S00, PRDE,actvstrat=,-0.928836, actvprof=,0.799189, id=,S03, PRDE,actvstrat=,-0.825688, actvprof=,0.118614, id=,S04, PRDE,actvstrat=,0.443727, actvprof=,0.302925, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.025140, id=,S09, PRDE,actvstrat=,-0.223048, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.792828, best_B_strat=,0.900093, best_S_id=,S00, best_S_prof=,0.799189, best_S_strat=,-0.928836, 
t=,54000, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.090561, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.312240, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,1.322018, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,7.863215, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,2.074282, id=,S03, PRDE,actvstrat=,0.465089, actvprof=,0.418357, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.149453, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.007223, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.863215, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,2.074282, best_S_strat=,-0.169190, 
t=,57600, id=,B03, PRDE,actvstrat=,0.706740, actvprof=,0.016945, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.090697, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.310148, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,1.386011, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,7.778966, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,2.150199, id=,S03, PRDE,actvstrat=,0.465089, actvprof=,0.449040, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.148754, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.004861, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.778966, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,2.150199, best_S_strat=,-0.169190, 
t=,61200, id=,B03, PRDE,actvstrat=,-0.637101, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.203900, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.491972, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,1.749542, id=,B09, PRDE,actvstrat=,0.774721, actvprof=,8.471304, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,1.818434, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,0.682260, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.125840, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.014167, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.471304, best_B_strat=,0.774721, best_S_id=,S00, best_S_prof=,1.818434, best_S_strat=,-0.169190, 
t=,64800, id=,B03, PRDE,actvstrat=,-0.637101, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.212089, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.523903, id=,B06, PRDE,actvstrat=,-0.314657, actvprof=,1.687547, id=,B09, PRDE,actvstrat=,0.774721, actvprof=,8.487180, id=,S00, PRDE,actvstrat=,-0.169190, actvprof=,1.873524, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,0.681130, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.117503, id=,S05, PRDE,actvstrat=,0.409233, actvprof=,0.009722, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.487180, best_B_strat=,0.774721, best_S_id=,S00, best_S_prof=,1.873524, best_S_strat=,-0.169190, 
t=,68400, id=,B03, PRDE,actvstrat=,0.824624, actvprof=,0.025002, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.033058, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.092784, id=,B06, PRDE,actvstrat=,-0.303662, actvprof=,0.556705, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,6.362108, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,3.511077, id=,S03, PRDE,actvstrat=,-0.753085, actvprof=,0.185013, id=,S04, PRDE,actvstrat=,0.616051, actvprof=,0.356691, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.009445, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.362108, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,3.511077, best_S_strat=,-0.067003, 
t=,72000, id=,B03, PRDE,actvstrat=,0.824624, actvprof=,0.021251, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.027917, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.105281, id=,B06, PRDE,actvstrat=,-0.303662, actvprof=,0.623628, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,6.449762, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,3.616212, id=,S03, PRDE,actvstrat=,-0.753085, actvprof=,0.182088, id=,S04, PRDE,actvstrat=,0.616051, actvprof=,0.329037, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.009722, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.449762, best_B_strat=,0.585765, best_S_id=,S00, best_S_prof=,3.616212, best_S_strat=,-0.067003, 
