t=,39600, id=,B02, PRDE,actvstrat=,0.186040, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.699779, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.018334, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.481131, id=,B09, PRDE,actvstrat=,0.737794, actvprof=,7.356973, id=,S00, PRDE,actvstrat=,0.527561, actvprof=,4.338792, id=,S01, PRDE,actvstrat=,-0.467224, actvprof=,0.619192, id=,S04, PRDE,actvstrat=,0.879654, actvprof=,0.345292, id=,S07, PRDE,actvstrat=,-0.719882, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.356973, best_B_strat=,0.737794, best_S_id=,S00, best_S_prof=,4.338792, best_S_strat=,0.527561, 
t=,43200, id=,B02, PRDE,actvstrat=,0.186040, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,-0.699779, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.023334, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.461673, id=,B09, PRDE,actvstrat=,0.737794, actvprof=,7.211072, id=,S00, PRDE,actvstrat=,0.527561, actvprof=,4.365755, id=,S01, PRDE,actvstrat=,-0.467224, actvprof=,0.632787, id=,S04, PRDE,actvstrat=,0.879654, actvprof=,0.324032, id=,S07, PRDE,actvstrat=,-0.719882, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.211072, best_B_strat=,0.737794, best_S_id=,S00, best_S_prof=,4.365755, best_S_strat=,0.527561, 
t=,46800, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,-0.060895, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.103224, actvprof=,0.026945, id=,B05, PRDE,actvstrat=,0.810445, actvprof=,0.485569, id=,B09, PRDE,actvstrat=,0.776788, actvprof=,6.839634, id=,S00, PRDE,actvstrat=,-0.072318, actvprof=,2.098669, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,2.043390, id=,S04, PRDE,actvstrat=,0.936731, actvprof=,0.685297, id=,S07, PRDE,actvstrat=,0.879773, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.867234, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.839634, best_B_strat=,0.776788, best_S_id=,S00, best_S_prof=,2.098669, best_S_strat=,-0.072318, 
t=,50400, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.060895, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.103224, actvprof=,0.021528, id=,B05, PRDE,actvstrat=,0.810445, actvprof=,0.494455, id=,B09, PRDE,actvstrat=,0.776788, actvprof=,6.870421, id=,S00, PRDE,actvstrat=,-0.072318, actvprof=,2.088238, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.981430, id=,S04, PRDE,actvstrat=,0.936731, actvprof=,0.680431, id=,S07, PRDE,actvstrat=,0.879773, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.867234, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.870421, best_B_strat=,0.776788, best_S_id=,S00, best_S_prof=,2.088238, best_S_strat=,-0.072318, 
t=,54000, id=,B02, PRDE,actvstrat=,0.452368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.423769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.337630, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.136396, id=,B09, PRDE,actvstrat=,-0.141333, actvprof=,4.619979, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.273737, id=,S01, PRDE,actvstrat=,-0.492590, actvprof=,0.804767, id=,S04, PRDE,actvstrat=,-0.077182, actvprof=,0.014723, id=,S07, PRDE,actvstrat=,-0.719882, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.619979, best_B_strat=,-0.141333, best_S_id=,S00, best_S_prof=,2.273737, best_S_strat=,-0.074443, 
t=,57600, id=,B02, PRDE,actvstrat=,0.452368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.423769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.337630, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.132504, id=,B09, PRDE,actvstrat=,-0.141333, actvprof=,4.640546, id=,S00, PRDE,actvstrat=,-0.074443, actvprof=,2.304231, id=,S01, PRDE,actvstrat=,-0.492590, actvprof=,0.808634, id=,S04, PRDE,actvstrat=,-0.077182, actvprof=,0.025001, id=,S07, PRDE,actvstrat=,-0.719882, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.640546, best_B_strat=,-0.141333, best_S_id=,S00, best_S_prof=,2.304231, best_S_strat=,-0.074443, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.376893, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.423769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.827828, actvprof=,0.037224, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.331685, id=,B09, PRDE,actvstrat=,0.371961, actvprof=,6.364798, id=,S00, PRDE,actvstrat=,0.726800, actvprof=,5.642536, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.748153, id=,S04, PRDE,actvstrat=,0.449623, actvprof=,0.093339, id=,S07, PRDE,actvstrat=,0.873642, actvprof=,0.003334, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.364798, best_B_strat=,0.371961, best_S_id=,S00, best_S_prof=,5.642536, best_S_strat=,0.726800, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.376893, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.423769, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.827828, actvprof=,0.044585, id=,B05, PRDE,actvstrat=,0.460479, actvprof=,0.332509, id=,B09, PRDE,actvstrat=,0.371961, actvprof=,6.309064, id=,S00, PRDE,actvstrat=,0.726800, actvprof=,5.700297, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.809911, id=,S04, PRDE,actvstrat=,0.449623, actvprof=,0.089030, id=,S07, PRDE,actvstrat=,0.873642, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.309064, best_B_strat=,0.371961, best_S_id=,S00, best_S_prof=,5.700297, best_S_strat=,0.726800, 
t=,68400, id=,B02, PRDE,actvstrat=,0.183187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.699779, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.337630, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,-0.712269, actvprof=,0.032779, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,6.001917, id=,S00, PRDE,actvstrat=,-0.216571, actvprof=,1.442282, id=,S01, PRDE,actvstrat=,-0.492590, actvprof=,0.745864, id=,S04, PRDE,actvstrat=,-0.683426, actvprof=,0.006111, id=,S07, PRDE,actvstrat=,-0.141995, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.001917, best_B_strat=,0.252421, best_S_id=,S00, best_S_prof=,1.442282, best_S_strat=,-0.216571, 
t=,72000, id=,B02, PRDE,actvstrat=,0.183187, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.699779, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.337630, actvprof=,0.003750, id=,B05, PRDE,actvstrat=,-0.712269, actvprof=,0.030973, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,6.035862, id=,S00, PRDE,actvstrat=,-0.216571, actvprof=,1.549765, id=,S01, PRDE,actvstrat=,-0.492590, actvprof=,0.771549, id=,S04, PRDE,actvstrat=,-0.683426, actvprof=,0.004306, id=,S07, PRDE,actvstrat=,-0.141995, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.035862, best_B_strat=,0.252421, best_S_id=,S00, best_S_prof=,1.549765, best_S_strat=,-0.216571, 
