t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.631761, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.831991, id=,B08, PRDE,actvstrat=,0.575658, actvprof=,3.450747, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.932218, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.239569, id=,S01, PRDE,actvstrat=,-0.573037, actvprof=,1.482027, id=,S04, PRDE,actvstrat=,0.427719, actvprof=,0.586421, id=,S05, PRDE,actvstrat=,0.817112, actvprof=,0.271682, id=,S08, PRDE,actvstrat=,0.235154, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.932218, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.239569, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.631761, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.841551, id=,B08, PRDE,actvstrat=,0.575658, actvprof=,3.457735, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.918609, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.282008, id=,S01, PRDE,actvstrat=,-0.573037, actvprof=,1.469485, id=,S04, PRDE,actvstrat=,0.427719, actvprof=,0.647935, id=,S05, PRDE,actvstrat=,0.817112, actvprof=,0.270563, id=,S08, PRDE,actvstrat=,0.235154, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.918609, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.282008, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.338288, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.270811, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.695097, actvprof=,0.447247, id=,B08, PRDE,actvstrat=,0.494214, actvprof=,4.266070, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.166176, id=,S00, PRDE,actvstrat=,0.869579, actvprof=,6.766765, id=,S01, PRDE,actvstrat=,0.760338, actvprof=,4.903884, id=,S04, PRDE,actvstrat=,-0.367173, actvprof=,0.048336, id=,S05, PRDE,actvstrat=,-0.108299, actvprof=,0.009167, id=,S08, PRDE,actvstrat=,0.451631, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.166176, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.766765, best_S_strat=,0.869579, 
t=,50400, id=,B00, PRDE,actvstrat=,0.338288, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.270811, actvprof=,0.007361, id=,B06, PRDE,actvstrat=,-0.695097, actvprof=,0.438207, id=,B08, PRDE,actvstrat=,0.494214, actvprof=,4.335954, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.082808, id=,S00, PRDE,actvstrat=,0.869579, actvprof=,6.877969, id=,S01, PRDE,actvstrat=,0.760338, actvprof=,4.884025, id=,S04, PRDE,actvstrat=,-0.367173, actvprof=,0.042918, id=,S05, PRDE,actvstrat=,-0.108299, actvprof=,0.005972, id=,S08, PRDE,actvstrat=,0.451631, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.082808, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.877969, best_S_strat=,0.869579, 
t=,54000, id=,B00, PRDE,actvstrat=,0.033084, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.404847, actvprof=,0.014168, id=,B06, PRDE,actvstrat=,-0.157771, actvprof=,0.457260, id=,B08, PRDE,actvstrat=,0.780360, actvprof=,4.503153, id=,B09, PRDE,actvstrat=,0.569333, actvprof=,5.725755, id=,S00, PRDE,actvstrat=,0.723540, actvprof=,6.036336, id=,S01, PRDE,actvstrat=,0.595990, actvprof=,4.157013, id=,S04, PRDE,actvstrat=,-0.063524, actvprof=,0.101120, id=,S05, PRDE,actvstrat=,0.764741, actvprof=,0.135845, id=,S08, PRDE,actvstrat=,0.812554, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,5.725755, best_B_strat=,0.569333, best_S_id=,S00, best_S_prof=,6.036336, best_S_strat=,0.723540, 
t=,57600, id=,B00, PRDE,actvstrat=,0.033084, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.404847, actvprof=,0.013334, id=,B06, PRDE,actvstrat=,-0.157771, actvprof=,0.451269, id=,B08, PRDE,actvstrat=,0.780360, actvprof=,4.457964, id=,B09, PRDE,actvstrat=,0.569333, actvprof=,5.761212, id=,S00, PRDE,actvstrat=,0.723540, actvprof=,6.050391, id=,S01, PRDE,actvstrat=,0.595990, actvprof=,4.058364, id=,S04, PRDE,actvstrat=,-0.063524, actvprof=,0.100282, id=,S05, PRDE,actvstrat=,0.764741, actvprof=,0.128894, id=,S08, PRDE,actvstrat=,0.812554, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,5.761212, best_B_strat=,0.569333, best_S_id=,S00, best_S_prof=,6.050391, best_S_strat=,0.723540, 
t=,61200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.119558, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.871321, actvprof=,0.064450, id=,B08, PRDE,actvstrat=,0.290655, actvprof=,3.372503, id=,B09, PRDE,actvstrat=,0.246616, actvprof=,4.824847, id=,S00, PRDE,actvstrat=,-0.384002, actvprof=,2.122121, id=,S01, PRDE,actvstrat=,0.188629, actvprof=,3.345557, id=,S04, PRDE,actvstrat=,-0.063524, actvprof=,0.078618, id=,S05, PRDE,actvstrat=,-0.482220, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.235154, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.824847, best_B_strat=,0.246616, best_S_id=,S01, best_S_prof=,3.345557, best_S_strat=,0.188629, 
t=,64800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.119558, actvprof=,0.001806, id=,B06, PRDE,actvstrat=,-0.871321, actvprof=,0.054863, id=,B08, PRDE,actvstrat=,0.290655, actvprof=,3.380835, id=,B09, PRDE,actvstrat=,0.246616, actvprof=,4.874509, id=,S00, PRDE,actvstrat=,-0.384002, actvprof=,2.045502, id=,S01, PRDE,actvstrat=,0.188629, actvprof=,3.197494, id=,S04, PRDE,actvstrat=,-0.063524, actvprof=,0.079726, id=,S05, PRDE,actvstrat=,-0.482220, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.235154, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.874509, best_B_strat=,0.246616, best_S_id=,S01, best_S_prof=,3.197494, best_S_strat=,0.188629, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.086951, actvprof=,0.004723, id=,B06, PRDE,actvstrat=,-0.316961, actvprof=,0.547823, id=,B08, PRDE,actvstrat=,0.935102, actvprof=,5.381560, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.522210, id=,S00, PRDE,actvstrat=,0.025867, actvprof=,3.231103, id=,S01, PRDE,actvstrat=,-0.632412, actvprof=,0.948968, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.765619, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.096119, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.522210, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.231103, best_S_strat=,0.025867, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.086951, actvprof=,0.002917, id=,B06, PRDE,actvstrat=,-0.316961, actvprof=,0.529605, id=,B08, PRDE,actvstrat=,0.935102, actvprof=,5.407725, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.525133, id=,S00, PRDE,actvstrat=,0.025867, actvprof=,3.387363, id=,S01, PRDE,actvstrat=,-0.632412, actvprof=,0.867953, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.783088, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.100143, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.525133, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.387363, best_S_strat=,0.025867, 
