t=,39600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.282341, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.010001, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.299465, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.075700, id=,S04, PRDE,actvstrat=,0.420299, actvprof=,0.060004, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.703365, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.075700, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.060004, best_S_strat=,0.420299, 
t=,43200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.282341, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.005834, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.430293, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.193548, id=,S04, PRDE,actvstrat=,0.420299, actvprof=,0.045835, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.703365, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.193548, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.045835, best_S_strat=,0.420299, 
t=,46800, id=,B02, PRDE,actvstrat=,-0.481808, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.381581, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.474949, actvprof=,0.142232, id=,B07, PRDE,actvstrat=,0.039679, actvprof=,3.319675, id=,B08, PRDE,actvstrat=,0.928334, actvprof=,6.604903, id=,S04, PRDE,actvstrat=,-0.176131, actvprof=,0.016390, id=,S06, PRDE,actvstrat=,-0.751006, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,0.614808, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.773600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.022095, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.604903, best_B_strat=,0.928334, best_S_id=,S04, best_S_prof=,0.016390, best_S_strat=,-0.176131, 
t=,50400, id=,B02, PRDE,actvstrat=,-0.481808, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.381581, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,0.474949, actvprof=,0.112643, id=,B07, PRDE,actvstrat=,0.039679, actvprof=,3.214417, id=,B08, PRDE,actvstrat=,0.928334, actvprof=,6.460363, id=,S04, PRDE,actvstrat=,-0.176131, actvprof=,0.015139, id=,S06, PRDE,actvstrat=,-0.751006, actvprof=,0.001528, id=,S07, PRDE,actvstrat=,0.614808, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,-0.773600, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.022095, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.460363, best_B_strat=,0.928334, best_S_id=,S04, best_S_prof=,0.015139, best_S_strat=,-0.176131, 
t=,54000, id=,B02, PRDE,actvstrat=,-0.234119, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.816088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.631414, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.449065, id=,S04, PRDE,actvstrat=,-0.782580, actvprof=,0.022780, id=,S06, PRDE,actvstrat=,-0.918741, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.883510, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.449065, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.022780, best_S_strat=,-0.782580, 
t=,57600, id=,B02, PRDE,actvstrat=,-0.234119, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.816088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.655430, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.439949, id=,S04, PRDE,actvstrat=,-0.782580, actvprof=,0.020973, id=,S06, PRDE,actvstrat=,-0.918741, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,-0.883510, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.439949, best_B_strat=,1.000000, best_S_id=,S04, best_S_prof=,0.020973, best_S_strat=,-0.782580, 
t=,61200, id=,B02, PRDE,actvstrat=,0.142343, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011139, actvprof=,0.004723, id=,B04, PRDE,actvstrat=,0.086145, actvprof=,0.344473, id=,B07, PRDE,actvstrat=,-0.591245, actvprof=,3.425841, id=,B08, PRDE,actvstrat=,0.201396, actvprof=,6.098008, id=,S04, PRDE,actvstrat=,-0.671954, actvprof=,0.003334, id=,S06, PRDE,actvstrat=,-0.799085, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.657907, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.651028, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.357102, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.098008, best_B_strat=,0.201396, best_S_id=,S04, best_S_prof=,0.003334, best_S_strat=,-0.671954, 
t=,64800, id=,B02, PRDE,actvstrat=,0.142343, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.011139, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,0.086145, actvprof=,0.287095, id=,B07, PRDE,actvstrat=,-0.591245, actvprof=,3.252219, id=,B08, PRDE,actvstrat=,0.201396, actvprof=,5.981638, id=,S04, PRDE,actvstrat=,-0.671954, actvprof=,0.008611, id=,S06, PRDE,actvstrat=,-0.799085, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.657907, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.651028, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.357102, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.981638, best_B_strat=,0.201396, best_S_id=,S04, best_S_prof=,0.008611, best_S_strat=,-0.671954, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.848713, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.033059, id=,B07, PRDE,actvstrat=,-0.787731, actvprof=,1.649327, id=,B08, PRDE,actvstrat=,0.711899, actvprof=,6.013362, id=,S04, PRDE,actvstrat=,-0.774178, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.817708, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.013362, best_B_strat=,0.711899, best_S_id=,S06, best_S_prof=,0.002778, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.848713, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.054725, id=,B07, PRDE,actvstrat=,-0.787731, actvprof=,1.607439, id=,B08, PRDE,actvstrat=,0.711899, actvprof=,6.065295, id=,S04, PRDE,actvstrat=,-0.774178, actvprof=,0.000278, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.817708, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.065295, best_B_strat=,0.711899, best_S_id=,S06, best_S_prof=,0.001945, best_S_strat=,1.000000, 
