t=,39600, id=,B00, PRDE,actvstrat=,0.325602, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.979107, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.405967, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.880771, id=,B09, PRDE,actvstrat=,0.030546, actvprof=,5.931441, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.675871, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.038224, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.909828, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.465026, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.032780, best_B_id=,B09, best_B_prof=,5.931441, best_B_strat=,0.030546, best_S_id=,S00, best_S_prof=,5.675871, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,0.325602, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.979107, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.465624, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.833301, id=,B09, PRDE,actvstrat=,0.030546, actvprof=,6.023778, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.650435, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.025917, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.911720, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.478486, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.029306, best_B_id=,B09, best_B_prof=,6.023778, best_B_strat=,0.030546, best_S_id=,S00, best_S_prof=,5.650435, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.242712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.017443, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.023838, actvprof=,0.386410, id=,B07, PRDE,actvstrat=,0.876758, actvprof=,2.289016, id=,B09, PRDE,actvstrat=,0.030546, actvprof=,4.096061, id=,S00, PRDE,actvstrat=,0.883166, actvprof=,7.475415, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.012167, id=,S03, PRDE,actvstrat=,0.514463, actvprof=,1.930385, id=,S04, PRDE,actvstrat=,-0.541400, actvprof=,0.113062, id=,S05, PRDE,actvstrat=,-0.748878, actvprof=,0.015001, best_B_id=,B09, best_B_prof=,4.096061, best_B_strat=,0.030546, best_S_id=,S00, best_S_prof=,7.475415, best_S_strat=,0.883166, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.242712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.017443, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.023838, actvprof=,0.372788, id=,B07, PRDE,actvstrat=,0.876758, actvprof=,2.314787, id=,B09, PRDE,actvstrat=,0.030546, actvprof=,4.109003, id=,S00, PRDE,actvstrat=,0.883166, actvprof=,7.580488, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.107475, id=,S03, PRDE,actvstrat=,0.514463, actvprof=,1.859079, id=,S04, PRDE,actvstrat=,-0.541400, actvprof=,0.101114, id=,S05, PRDE,actvstrat=,-0.748878, actvprof=,0.013750, best_B_id=,B09, best_B_prof=,4.109003, best_B_strat=,0.030546, best_S_id=,S00, best_S_prof=,7.580488, best_S_strat=,0.883166, 
t=,54000, id=,B00, PRDE,actvstrat=,0.804051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.125078, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.593791, id=,B09, PRDE,actvstrat=,0.080957, actvprof=,4.138065, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.052226, id=,S02, PRDE,actvstrat=,-0.292230, actvprof=,1.398986, id=,S03, PRDE,actvstrat=,-0.701225, actvprof=,0.427807, id=,S04, PRDE,actvstrat=,0.294725, actvprof=,0.546427, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.334745, best_B_id=,B09, best_B_prof=,4.138065, best_B_strat=,0.080957, best_S_id=,S00, best_S_prof=,8.052226, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,0.804051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.108511, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.576062, id=,B09, PRDE,actvstrat=,0.080957, actvprof=,4.042224, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.130560, id=,S02, PRDE,actvstrat=,-0.292230, actvprof=,1.295045, id=,S03, PRDE,actvstrat=,-0.701225, actvprof=,0.417792, id=,S04, PRDE,actvstrat=,0.294725, actvprof=,0.572798, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.365707, best_B_id=,B09, best_B_prof=,4.042224, best_B_strat=,0.080957, best_S_id=,S00, best_S_prof=,8.130560, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.758051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.366316, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.044470, actvprof=,0.203625, id=,B07, PRDE,actvstrat=,-0.983186, actvprof=,0.663935, id=,B09, PRDE,actvstrat=,0.134166, actvprof=,4.408917, id=,S00, PRDE,actvstrat=,-0.584385, actvprof=,3.000208, id=,S02, PRDE,actvstrat=,-0.581551, actvprof=,1.011459, id=,S03, PRDE,actvstrat=,-0.390162, actvprof=,0.414195, id=,S04, PRDE,actvstrat=,0.519982, actvprof=,0.683936, id=,S05, PRDE,actvstrat=,-0.509659, actvprof=,0.007778, best_B_id=,B09, best_B_prof=,4.408917, best_B_strat=,0.134166, best_S_id=,S00, best_S_prof=,3.000208, best_S_strat=,-0.584385, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.758051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.366316, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.044470, actvprof=,0.198340, id=,B07, PRDE,actvstrat=,-0.983186, actvprof=,0.620994, id=,B09, PRDE,actvstrat=,0.134166, actvprof=,4.286538, id=,S00, PRDE,actvstrat=,-0.584385, actvprof=,3.037883, id=,S02, PRDE,actvstrat=,-0.581551, actvprof=,0.981006, id=,S03, PRDE,actvstrat=,-0.390162, actvprof=,0.431404, id=,S04, PRDE,actvstrat=,0.519982, actvprof=,0.701969, id=,S05, PRDE,actvstrat=,-0.509659, actvprof=,0.010834, best_B_id=,B09, best_B_prof=,4.286538, best_B_strat=,0.134166, best_S_id=,S00, best_S_prof=,3.037883, best_S_strat=,-0.584385, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.837237, actvprof=,0.490590, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.549760, id=,B09, PRDE,actvstrat=,-0.902263, actvprof=,2.753802, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.377040, id=,S02, PRDE,actvstrat=,-0.739910, actvprof=,0.139454, id=,S03, PRDE,actvstrat=,0.514463, actvprof=,0.573373, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.181957, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.047503, best_B_id=,B07, best_B_prof=,4.549760, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.377040, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.837237, actvprof=,0.421814, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.501066, id=,B09, PRDE,actvstrat=,-0.902263, actvprof=,2.848532, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.368723, id=,S02, PRDE,actvstrat=,-0.739910, actvprof=,0.184448, id=,S03, PRDE,actvstrat=,0.514463, actvprof=,0.577373, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.193476, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.051251, best_B_id=,B07, best_B_prof=,4.501066, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.368723, best_S_strat=,-1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.979107, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.837237, actvprof=,0.199183, id=,B07, PRDE,actvstrat=,0.676464, actvprof=,3.385838, id=,B09, PRDE,actvstrat=,-0.593972, actvprof=,4.025058, id=,S00, PRDE,actvstrat=,-0.130169, actvprof=,2.982749, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.291385, id=,S03, PRDE,actvstrat=,0.792669, actvprof=,1.694030, id=,S04, PRDE,actvstrat=,-0.354796, actvprof=,0.012779, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.101675, best_B_id=,B09, best_B_prof=,4.025058, best_B_strat=,-0.593972, best_S_id=,S02, best_S_prof=,3.291385, best_S_strat=,-1.000000, 
t=,79200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.979107, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.837237, actvprof=,0.205425, id=,B07, PRDE,actvstrat=,0.676464, actvprof=,3.328472, id=,B09, PRDE,actvstrat=,-0.593972, actvprof=,4.149756, id=,S00, PRDE,actvstrat=,-0.130169, actvprof=,2.867203, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.204300, id=,S03, PRDE,actvstrat=,0.792669, actvprof=,1.658680, id=,S04, PRDE,actvstrat=,-0.354796, actvprof=,0.016390, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.094448, best_B_id=,B09, best_B_prof=,4.149756, best_B_strat=,-0.593972, best_S_id=,S02, best_S_prof=,3.204300, best_S_strat=,-1.000000, 
t=,82800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.026469, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.189266, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.176015, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.197378, id=,S00, PRDE,actvstrat=,0.656057, actvprof=,7.268106, id=,S02, PRDE,actvstrat=,-0.408503, actvprof=,1.189266, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.217213, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.846821, id=,S05, PRDE,actvstrat=,-0.875040, actvprof=,0.008334, best_B_id=,B09, best_B_prof=,5.197378, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.268106, best_S_strat=,0.656057, 
t=,86400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.026469, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.227412, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.204814, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.205772, id=,S00, PRDE,actvstrat=,0.656057, actvprof=,7.182938, id=,S02, PRDE,actvstrat=,-0.408503, actvprof=,1.144075, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.176799, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.784797, id=,S05, PRDE,actvstrat=,-0.875040, actvprof=,0.006250, best_B_id=,B09, best_B_prof=,5.205772, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.182938, best_S_strat=,0.656057, 
t=,90000, id=,B00, PRDE,actvstrat=,0.804051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.745347, actvprof=,1.573764, id=,B07, PRDE,actvstrat=,0.398328, actvprof=,2.439126, id=,B09, PRDE,actvstrat=,-0.126283, actvprof=,4.517661, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.457294, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.923437, id=,S03, PRDE,actvstrat=,0.356784, actvprof=,1.156779, id=,S04, PRDE,actvstrat=,-0.127381, actvprof=,0.051949, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.180018, best_B_id=,B09, best_B_prof=,4.517661, best_B_strat=,-0.126283, best_S_id=,S00, best_S_prof=,6.457294, best_S_strat=,-1.000000, 
t=,93600, id=,B00, PRDE,actvstrat=,0.804051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.745347, actvprof=,1.541720, id=,B07, PRDE,actvstrat=,0.398328, actvprof=,2.428557, id=,B09, PRDE,actvstrat=,-0.126283, actvprof=,4.557658, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.456752, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.877635, id=,S03, PRDE,actvstrat=,0.356784, actvprof=,1.207125, id=,S04, PRDE,actvstrat=,-0.127381, actvprof=,0.073753, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.171117, best_B_id=,B09, best_B_prof=,4.557658, best_B_strat=,-0.126283, best_S_id=,S00, best_S_prof=,6.456752, best_S_strat=,-1.000000, 
t=,97200, id=,B00, PRDE,actvstrat=,0.443283, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.959220, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.506235, actvprof=,1.566797, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.210545, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.590549, id=,S00, PRDE,actvstrat=,0.853148, actvprof=,6.548879, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.298886, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.982110, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.696725, id=,S05, PRDE,actvstrat=,-0.001638, actvprof=,0.019168, best_B_id=,B09, best_B_prof=,6.590549, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.548879, best_S_strat=,0.853148, 
