t=,39600, id=,B00, PRDE,actvstrat=,0.164744, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.456986, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.891819, actvprof=,0.855349, id=,B06, PRDE,actvstrat=,0.412934, actvprof=,1.729311, id=,B08, PRDE,actvstrat=,-0.049989, actvprof=,3.913104, id=,S00, PRDE,actvstrat=,0.824050, actvprof=,6.128011, id=,S03, PRDE,actvstrat=,0.393698, actvprof=,0.492819, id=,S06, PRDE,actvstrat=,-0.545755, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.666873, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.913104, best_B_strat=,-0.049989, best_S_id=,S00, best_S_prof=,6.128011, best_S_strat=,0.824050, 
t=,43200, id=,B00, PRDE,actvstrat=,0.164744, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.456986, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.891819, actvprof=,0.850452, id=,B06, PRDE,actvstrat=,0.412934, actvprof=,1.717572, id=,B08, PRDE,actvstrat=,-0.049989, actvprof=,3.890857, id=,S00, PRDE,actvstrat=,0.824050, actvprof=,6.168868, id=,S03, PRDE,actvstrat=,0.393698, actvprof=,0.513910, id=,S06, PRDE,actvstrat=,-0.545755, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,S08, PRDE,actvstrat=,0.666873, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.890857, best_B_strat=,-0.049989, best_S_id=,S00, best_S_prof=,6.168868, best_S_strat=,0.824050, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.401771, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.000483, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.435426, actvprof=,0.186129, id=,B06, PRDE,actvstrat=,0.851986, actvprof=,1.929354, id=,B08, PRDE,actvstrat=,0.387293, actvprof=,4.400706, id=,S00, PRDE,actvstrat=,-0.125348, actvprof=,1.998528, id=,S03, PRDE,actvstrat=,-0.976166, actvprof=,0.171683, id=,S06, PRDE,actvstrat=,0.278959, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,0.712585, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.852152, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.400706, best_B_strat=,0.387293, best_S_id=,S00, best_S_prof=,1.998528, best_S_strat=,-0.125348, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.401771, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.000483, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.435426, actvprof=,0.202232, id=,B06, PRDE,actvstrat=,0.851986, actvprof=,1.994958, id=,B08, PRDE,actvstrat=,0.387293, actvprof=,4.533554, id=,S00, PRDE,actvstrat=,-0.125348, actvprof=,2.091768, id=,S03, PRDE,actvstrat=,-0.976166, actvprof=,0.145840, id=,S06, PRDE,actvstrat=,0.278959, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,0.712585, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.852152, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.533554, best_B_strat=,0.387293, best_S_id=,S00, best_S_prof=,2.091768, best_S_strat=,-0.125348, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.686525, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.474173, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.863465, actvprof=,0.822013, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.143512, id=,B08, PRDE,actvstrat=,0.728548, actvprof=,5.295441, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.639164, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.825708, id=,S06, PRDE,actvstrat=,0.301526, actvprof=,0.004723, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.007778, id=,S08, PRDE,actvstrat=,0.505696, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.295441, best_B_strat=,0.728548, best_S_id=,S00, best_S_prof=,6.639164, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.686525, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.474173, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.863465, actvprof=,0.816290, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.144271, id=,B08, PRDE,actvstrat=,0.728548, actvprof=,5.245394, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.582959, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.848007, id=,S06, PRDE,actvstrat=,0.301526, actvprof=,0.003750, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.010139, id=,S08, PRDE,actvstrat=,0.505696, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.245394, best_B_strat=,0.728548, best_S_id=,S00, best_S_prof=,6.582959, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.553625, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.261887, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.756304, actvprof=,0.651156, id=,B06, PRDE,actvstrat=,0.480040, actvprof=,1.620668, id=,B08, PRDE,actvstrat=,0.935499, actvprof=,5.489270, id=,S00, PRDE,actvstrat=,-0.531748, actvprof=,1.338148, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.920133, id=,S06, PRDE,actvstrat=,-0.204735, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.822145, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.264783, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.489270, best_B_strat=,0.935499, best_S_id=,S03, best_S_prof=,1.920133, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.553625, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.261887, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.756304, actvprof=,0.628225, id=,B06, PRDE,actvstrat=,0.480040, actvprof=,1.623551, id=,B08, PRDE,actvstrat=,0.935499, actvprof=,5.393318, id=,S00, PRDE,actvstrat=,-0.531748, actvprof=,1.387706, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.963845, id=,S06, PRDE,actvstrat=,-0.204735, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,0.822145, actvprof=,0.008334, id=,S08, PRDE,actvstrat=,0.264783, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.393318, best_B_strat=,0.935499, best_S_id=,S03, best_S_prof=,1.963845, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.177849, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.980469, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.464370, id=,B06, PRDE,actvstrat=,-0.487510, actvprof=,1.160439, id=,B08, PRDE,actvstrat=,0.597652, actvprof=,5.921100, id=,S00, PRDE,actvstrat=,0.488152, actvprof=,3.733574, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.372968, id=,S06, PRDE,actvstrat=,0.594526, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,-0.013917, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.075145, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.921100, best_B_strat=,0.597652, best_S_id=,S00, best_S_prof=,3.733574, best_S_strat=,0.488152, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.177849, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.980469, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.503438, id=,B06, PRDE,actvstrat=,-0.487510, actvprof=,1.157164, id=,B08, PRDE,actvstrat=,0.597652, actvprof=,5.974304, id=,S00, PRDE,actvstrat=,0.488152, actvprof=,3.686228, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.383291, id=,S06, PRDE,actvstrat=,0.594526, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.013917, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,0.075145, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.974304, best_B_strat=,0.597652, best_S_id=,S00, best_S_prof=,3.686228, best_S_strat=,0.488152, 
t=,75600, id=,B00, PRDE,actvstrat=,-0.822906, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.456986, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.454275, actvprof=,0.311154, id=,B06, PRDE,actvstrat=,-0.487510, actvprof=,1.174885, id=,B08, PRDE,actvstrat=,-0.297442, actvprof=,4.241978, id=,S00, PRDE,actvstrat=,0.134501, actvprof=,2.376163, id=,S03, PRDE,actvstrat=,-0.254002, actvprof=,0.019447, id=,S06, PRDE,actvstrat=,0.301526, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.548794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.091317, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.241978, best_B_strat=,-0.297442, best_S_id=,S00, best_S_prof=,2.376163, best_S_strat=,0.134501, 
t=,79200, id=,B00, PRDE,actvstrat=,-0.822906, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.456986, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.454275, actvprof=,0.321550, id=,B06, PRDE,actvstrat=,-0.487510, actvprof=,1.224529, id=,B08, PRDE,actvstrat=,-0.297442, actvprof=,4.225293, id=,S00, PRDE,actvstrat=,0.134501, actvprof=,2.306688, id=,S03, PRDE,actvstrat=,-0.254002, actvprof=,0.014168, id=,S06, PRDE,actvstrat=,0.301526, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.548794, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.091317, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.225293, best_B_strat=,-0.297442, best_S_id=,S00, best_S_prof=,2.306688, best_S_strat=,0.134501, 
t=,82800, id=,B00, PRDE,actvstrat=,-0.382425, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.534371, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.832338, id=,B06, PRDE,actvstrat=,-0.251749, actvprof=,0.649812, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.266565, id=,S00, PRDE,actvstrat=,-0.676909, actvprof=,1.255730, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.059453, id=,S06, PRDE,actvstrat=,-0.398696, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.200444, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.232872, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.266565, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,2.059453, best_S_strat=,1.000000, 
