t=,39600, id=,B00, PRDE,actvstrat=,0.166911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.985429, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.633709, actvprof=,0.053059, id=,B06, PRDE,actvstrat=,-0.267773, actvprof=,0.602811, id=,B09, PRDE,actvstrat=,-0.050418, actvprof=,5.330296, id=,S00, PRDE,actvstrat=,-0.873328, actvprof=,0.363076, id=,S01, PRDE,actvstrat=,-0.489686, actvprof=,0.808934, id=,S02, PRDE,actvstrat=,0.604757, actvprof=,2.151231, id=,S03, PRDE,actvstrat=,0.712727, actvprof=,1.039780, id=,S09, PRDE,actvstrat=,0.549284, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.330296, best_B_strat=,-0.050418, best_S_id=,S02, best_S_prof=,2.151231, best_S_strat=,0.604757, 
t=,43200, id=,B00, PRDE,actvstrat=,0.166911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.985429, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.633709, actvprof=,0.050835, id=,B06, PRDE,actvstrat=,-0.267773, actvprof=,0.557099, id=,B09, PRDE,actvstrat=,-0.050418, actvprof=,5.317648, id=,S00, PRDE,actvstrat=,-0.873328, actvprof=,0.351954, id=,S01, PRDE,actvstrat=,-0.489686, actvprof=,0.831829, id=,S02, PRDE,actvstrat=,0.604757, actvprof=,2.154643, id=,S03, PRDE,actvstrat=,0.712727, actvprof=,1.057390, id=,S09, PRDE,actvstrat=,0.549284, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.317648, best_B_strat=,-0.050418, best_S_id=,S02, best_S_prof=,2.154643, best_S_strat=,0.604757, 
t=,46800, id=,B00, PRDE,actvstrat=,0.166911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.441921, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.838311, actvprof=,0.148619, id=,B06, PRDE,actvstrat=,-0.060140, actvprof=,0.319184, id=,B09, PRDE,actvstrat=,0.512326, actvprof=,5.598644, id=,S00, PRDE,actvstrat=,-0.082732, actvprof=,3.401300, id=,S01, PRDE,actvstrat=,-0.296340, actvprof=,1.431746, id=,S02, PRDE,actvstrat=,0.157447, actvprof=,2.043447, id=,S03, PRDE,actvstrat=,-0.631211, actvprof=,0.224457, id=,S09, PRDE,actvstrat=,-0.110659, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.598644, best_B_strat=,0.512326, best_S_id=,S00, best_S_prof=,3.401300, best_S_strat=,-0.082732, 
t=,50400, id=,B00, PRDE,actvstrat=,0.166911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.441921, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.838311, actvprof=,0.139865, id=,B06, PRDE,actvstrat=,-0.060140, actvprof=,0.313342, id=,B09, PRDE,actvstrat=,0.512326, actvprof=,5.642379, id=,S00, PRDE,actvstrat=,-0.082732, actvprof=,3.391344, id=,S01, PRDE,actvstrat=,-0.296340, actvprof=,1.448929, id=,S02, PRDE,actvstrat=,0.157447, actvprof=,2.057974, id=,S03, PRDE,actvstrat=,-0.631211, actvprof=,0.212923, id=,S09, PRDE,actvstrat=,-0.110659, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.642379, best_B_strat=,0.512326, best_S_id=,S00, best_S_prof=,3.391344, best_S_strat=,-0.082732, 
t=,54000, id=,B00, PRDE,actvstrat=,0.724076, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.764479, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.158304, actvprof=,0.255573, id=,B06, PRDE,actvstrat=,-0.947359, actvprof=,0.112508, id=,B09, PRDE,actvstrat=,-0.993541, actvprof=,4.185291, id=,S00, PRDE,actvstrat=,-0.873328, actvprof=,0.161956, id=,S01, PRDE,actvstrat=,-0.589189, actvprof=,0.612543, id=,S02, PRDE,actvstrat=,0.517186, actvprof=,1.346760, id=,S03, PRDE,actvstrat=,0.871655, actvprof=,0.898674, id=,S09, PRDE,actvstrat=,0.549284, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.185291, best_B_strat=,-0.993541, best_S_id=,S02, best_S_prof=,1.346760, best_S_strat=,0.517186, 
t=,57600, id=,B00, PRDE,actvstrat=,0.724076, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.764479, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.158304, actvprof=,0.269037, id=,B06, PRDE,actvstrat=,-0.947359, actvprof=,0.113476, id=,B09, PRDE,actvstrat=,-0.993541, actvprof=,4.275010, id=,S00, PRDE,actvstrat=,-0.873328, actvprof=,0.210285, id=,S01, PRDE,actvstrat=,-0.589189, actvprof=,0.605854, id=,S02, PRDE,actvstrat=,0.517186, actvprof=,1.410049, id=,S03, PRDE,actvstrat=,0.871655, actvprof=,0.949755, id=,S09, PRDE,actvstrat=,0.549284, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.275010, best_B_strat=,-0.993541, best_S_id=,S02, best_S_prof=,1.410049, best_S_strat=,0.517186, 
t=,61200, id=,B00, PRDE,actvstrat=,0.012815, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.542200, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.158304, actvprof=,0.183902, id=,B06, PRDE,actvstrat=,-0.203065, actvprof=,0.881172, id=,B09, PRDE,actvstrat=,0.359011, actvprof=,6.668241, id=,S00, PRDE,actvstrat=,-0.129890, actvprof=,2.007084, id=,S01, PRDE,actvstrat=,0.578484, actvprof=,3.275783, id=,S02, PRDE,actvstrat=,0.872487, actvprof=,2.839642, id=,S03, PRDE,actvstrat=,0.659966, actvprof=,0.706716, id=,S09, PRDE,actvstrat=,-0.814432, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.668241, best_B_strat=,0.359011, best_S_id=,S01, best_S_prof=,3.275783, best_S_strat=,0.578484, 
t=,64800, id=,B00, PRDE,actvstrat=,0.012815, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.542200, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.158304, actvprof=,0.175283, id=,B06, PRDE,actvstrat=,-0.203065, actvprof=,0.903081, id=,B09, PRDE,actvstrat=,0.359011, actvprof=,6.566155, id=,S00, PRDE,actvstrat=,-0.129890, actvprof=,1.869357, id=,S01, PRDE,actvstrat=,0.578484, actvprof=,3.285091, id=,S02, PRDE,actvstrat=,0.872487, actvprof=,2.825217, id=,S03, PRDE,actvstrat=,0.659966, actvprof=,0.682380, id=,S09, PRDE,actvstrat=,-0.814432, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.566155, best_B_strat=,0.359011, best_S_id=,S01, best_S_prof=,3.285091, best_S_strat=,0.578484, 
t=,68400, id=,B00, PRDE,actvstrat=,0.053087, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.721748, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.163702, actvprof=,0.091117, id=,B06, PRDE,actvstrat=,0.754545, actvprof=,1.353150, id=,B09, PRDE,actvstrat=,-0.050418, actvprof=,4.647823, id=,S00, PRDE,actvstrat=,-0.755381, actvprof=,1.560108, id=,S01, PRDE,actvstrat=,0.852949, actvprof=,5.579832, id=,S02, PRDE,actvstrat=,0.431914, actvprof=,2.376832, id=,S03, PRDE,actvstrat=,-0.583399, actvprof=,0.120008, id=,S09, PRDE,actvstrat=,0.900614, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.647823, best_B_strat=,-0.050418, best_S_id=,S01, best_S_prof=,5.579832, best_S_strat=,0.852949, 
t=,72000, id=,B00, PRDE,actvstrat=,0.053087, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.721748, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.163702, actvprof=,0.092087, id=,B06, PRDE,actvstrat=,0.754545, actvprof=,1.358380, id=,B09, PRDE,actvstrat=,-0.050418, actvprof=,4.615577, id=,S00, PRDE,actvstrat=,-0.755381, actvprof=,1.596583, id=,S01, PRDE,actvstrat=,0.852949, actvprof=,5.633807, id=,S02, PRDE,actvstrat=,0.431914, actvprof=,2.427445, id=,S03, PRDE,actvstrat=,-0.583399, actvprof=,0.136255, id=,S09, PRDE,actvstrat=,0.900614, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.615577, best_B_strat=,-0.050418, best_S_id=,S01, best_S_prof=,5.633807, best_S_strat=,0.852949, 
t=,75600, id=,B00, PRDE,actvstrat=,0.502752, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.897092, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.239557, actvprof=,0.236683, id=,B06, PRDE,actvstrat=,-0.594186, actvprof=,0.456421, id=,B09, PRDE,actvstrat=,-0.813298, actvprof=,3.244114, id=,S00, PRDE,actvstrat=,-0.791493, actvprof=,0.888951, id=,S01, PRDE,actvstrat=,0.572548, actvprof=,3.528856, id=,S02, PRDE,actvstrat=,-0.511938, actvprof=,0.301132, id=,S03, PRDE,actvstrat=,0.712727, actvprof=,1.080631, id=,S09, PRDE,actvstrat=,0.149912, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.244114, best_B_strat=,-0.813298, best_S_id=,S01, best_S_prof=,3.528856, best_S_strat=,0.572548, 
t=,79200, id=,B00, PRDE,actvstrat=,0.502752, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.897092, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.239557, actvprof=,0.210146, id=,B06, PRDE,actvstrat=,-0.594186, actvprof=,0.460016, id=,B09, PRDE,actvstrat=,-0.813298, actvprof=,3.313587, id=,S00, PRDE,actvstrat=,-0.791493, actvprof=,0.911143, id=,S01, PRDE,actvstrat=,0.572548, actvprof=,3.588041, id=,S02, PRDE,actvstrat=,-0.511938, actvprof=,0.368902, id=,S03, PRDE,actvstrat=,0.712727, actvprof=,1.058509, id=,S09, PRDE,actvstrat=,0.149912, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.313587, best_B_strat=,-0.813298, best_S_id=,S01, best_S_prof=,3.588041, best_S_strat=,0.572548, 
