B00, 5
B02, Trade, 4273868.343, 75, B02, S00, 1
B02, Trade, 4274113.393, 74, B02, S00, 1
B02, Trade, 4274319.593, 76, B02, S00, 1
B02, Trade, 4274447.793, 76, B02, S00, 1
B02, Trade, 4274581.543, 76, B02, S00, 1
B02, Trade, 4274689.893, 76, B02, S00, 1
B02, Trade, 4274702.793, 76, B02, S00, 1
B02, Trade, 4274842.943, 75, B02, S00, 1
B02, Trade, 4274927.693, 74, B02, S00, 1
B02, Trade, 4274991.893, 73, B02, S00, 1
B02, Trade, 4275173.293, 73, B02, S00, 1
B02, Trade, 4275228.843, 73, B02, S00, 1
B02, Trade, 4275276.243, 75, B02, S00, 1
B02, Trade, 4275567.293, 74, B02, S00, 1
B02, Trade, 4275812.443, 76, B02, S00, 1
B02, Trade, 4276253.493, 75, B02, S00, 1
B02, Trade, 4276301.043, 74, B02, S00, 1
B02, Trade, 4276364.843, 74, B02, S00, 1
B02, Trade, 4276400.943, 76, B02, S00, 1
B02, Trade, 4276448.443, 76, B02, S00, 1
B02, Trade, 4279414.143, 76, B02, S00, 1
B02, Trade, 4280724.343, 74, B02, S00, 1
B02, Trade, 4284219.543, 75, B02, S00, 1
B02, Trade, 4284507.493, 76, B02, S00, 1
B02, Trade, 4285554.593, 76, B02, S00, 1
B02, Trade, 4285895.493, 75, B02, S00, 1
B02, Trade, 4286291.793, 74, B02, S00, 1
B02, Trade, 4286397.193, 74, B02, S00, 1
B02, Trade, 4286458.543, 74, B02, S00, 1
B02, Trade, 4286504.643, 72, B02, S00, 1
B02, Trade, 4286772.443, 75, B02, S00, 1
B02, Trade, 4287158.693, 75, B02, S00, 1
B02, Trade, 4288864.543, 76, B02, S00, 1
B02, Trade, 4288900.443, 76, B02, S00, 1
B02, Trade, 4289630.543, 75, B02, S00, 1
B02, Trade, 4289713.643, 75, B02, S00, 1
B02, Trade, 4290207.793, 74, B02, S00, 1
B02, Trade, 4291021.443, 72, B02, S00, 1
B02, Trade, 4292172.893, 71, B02, S00, 1
B02, Trade, 4294239.193, 76, B02, S00, 1
B02, Trade, 4294682.893, 75, B02, S00, 1
B02, Trade, 4294774.243, 74, B02, S00, 1
B02, Trade, 4295838.593, 74, B02, S00, 1
B02, Trade, 4296391.343, 64, S00, B02, 1
B02, Trade, 4296893.743, 76, B02, S00, 1
B02, Trade, 4297013.693, 75, B02, S00, 1
B02, Trade, 4299394.243, 75, B02, S00, 1
B02, Trade, 4299598.543, 75, B02, S00, 1
B02, Trade, 4300015.343, 74, B02, S00, 1
B02, Trade, 4302402.243, 74, B02, S00, 1
B02, Trade, 4302920.793, 76, B02, S00, 1
B02, Trade, 4304315.643, 75, B02, S00, 1
B02, Trade, 4305237.643, 75, B02, S00, 1
B02, Trade, 4305602.793, 75, B02, S00, 1
B02, Trade, 4305749.893, 74, B02, S00, 1
B02, Trade, 4305776.893, 74, B02, S00, 1
B02, Trade, 4306567.593, 76, B02, S00, 1
