t=,39600, id=,B01, PRDE,actvstrat=,-0.628847, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.016389, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.942248, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.487569, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.042335, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.455152, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.501125, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.436129, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.042335, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.455152, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.628847, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.014306, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.994174, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.487934, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.067250, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.478649, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.471948, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.006806, id=,S07, PRDE,actvstrat=,0.436129, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.067250, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.478649, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.518165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.551817, actvprof=,0.037225, id=,B05, PRDE,actvstrat=,-0.893774, actvprof=,0.081950, id=,B06, PRDE,actvstrat=,-0.405141, actvprof=,1.488714, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.588096, id=,S01, PRDE,actvstrat=,0.457450, actvprof=,1.689284, id=,S04, PRDE,actvstrat=,-0.749775, actvprof=,0.001111, id=,S05, PRDE,actvstrat=,0.468882, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,-0.200305, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.110135, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.588096, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.689284, best_S_strat=,0.457450, 
t=,50400, id=,B01, PRDE,actvstrat=,0.518165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.551817, actvprof=,0.037223, id=,B05, PRDE,actvstrat=,-0.893774, actvprof=,0.094447, id=,B06, PRDE,actvstrat=,-0.405141, actvprof=,1.445596, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.649018, id=,S01, PRDE,actvstrat=,0.457450, actvprof=,1.741715, id=,S04, PRDE,actvstrat=,-0.749775, actvprof=,0.000556, id=,S05, PRDE,actvstrat=,0.468882, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,-0.200305, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.110135, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.649018, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.741715, best_S_strat=,0.457450, 
t=,54000, id=,B01, PRDE,actvstrat=,0.708376, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.086950, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.821724, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.466560, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.863879, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.384818, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.581707, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,-0.745279, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.608578, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.863879, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.384818, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.708376, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.082920, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.841974, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.442724, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.866662, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.330741, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.561131, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,-0.745279, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.608578, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.866662, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.330741, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.880240, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.670509, actvprof=,0.108341, id=,B05, PRDE,actvstrat=,0.235587, actvprof=,0.843947, id=,B06, PRDE,actvstrat=,-0.501211, actvprof=,1.099799, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.466421, id=,S01, PRDE,actvstrat=,0.047150, actvprof=,1.175359, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.083617, id=,S05, PRDE,actvstrat=,0.472628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.890250, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.853459, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.466421, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.175359, best_S_strat=,0.047150, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.880240, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.670509, actvprof=,0.078892, id=,B05, PRDE,actvstrat=,0.235587, actvprof=,0.825306, id=,B06, PRDE,actvstrat=,-0.501211, actvprof=,1.080315, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.547658, id=,S01, PRDE,actvstrat=,0.047150, actvprof=,1.235737, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.088892, id=,S05, PRDE,actvstrat=,0.472628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.890250, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.853459, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.547658, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.235737, best_S_strat=,0.047150, 
t=,68400, id=,B01, PRDE,actvstrat=,0.247770, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.096951, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.122856, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.614070, id=,B07, PRDE,actvstrat=,0.149040, actvprof=,3.039933, id=,S01, PRDE,actvstrat=,0.918919, actvprof=,4.846170, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.365859, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.036391, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.039764, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.039933, best_B_strat=,0.149040, best_S_id=,S01, best_S_prof=,4.846170, best_S_strat=,0.918919, 
t=,72000, id=,B01, PRDE,actvstrat=,0.247770, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.110698, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.094475, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.595489, id=,B07, PRDE,actvstrat=,0.149040, actvprof=,3.015917, id=,S01, PRDE,actvstrat=,0.918919, actvprof=,4.837495, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.378205, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.037223, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.039764, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.015917, best_B_strat=,0.149040, best_S_id=,S01, best_S_prof=,4.837495, best_S_strat=,0.918919, 
