t=,39600, id=,B01, PRDE,actvstrat=,-0.053733, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.933969, actvprof=,0.043057, id=,B05, PRDE,actvstrat=,0.085843, actvprof=,0.274456, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.323152, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.922788, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.898621, id=,S03, PRDE,actvstrat=,-0.038657, actvprof=,0.210009, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.597185, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.922788, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.898621, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.053733, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.933969, actvprof=,0.058057, id=,B05, PRDE,actvstrat=,0.085843, actvprof=,0.253479, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.289786, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.779911, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.951304, id=,S03, PRDE,actvstrat=,-0.038657, actvprof=,0.219034, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.597185, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.779911, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.951304, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.985731, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.316397, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.952553, actvprof=,0.379754, id=,B06, PRDE,actvstrat=,0.984327, actvprof=,1.775981, id=,B09, PRDE,actvstrat=,-0.601850, actvprof=,3.618079, id=,S00, PRDE,actvstrat=,-0.070706, actvprof=,2.754118, id=,S03, PRDE,actvstrat=,0.003326, actvprof=,0.671167, id=,S07, PRDE,actvstrat=,0.422079, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.002348, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.309439, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.618079, best_B_strat=,-0.601850, best_S_id=,S00, best_S_prof=,2.754118, best_S_strat=,-0.070706, 
t=,50400, id=,B01, PRDE,actvstrat=,0.985731, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.316397, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,0.952553, actvprof=,0.420434, id=,B06, PRDE,actvstrat=,0.984327, actvprof=,1.784241, id=,B09, PRDE,actvstrat=,-0.601850, actvprof=,3.800575, id=,S00, PRDE,actvstrat=,-0.070706, actvprof=,2.719974, id=,S03, PRDE,actvstrat=,0.003326, actvprof=,0.658639, id=,S07, PRDE,actvstrat=,0.422079, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.002348, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.309439, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.800575, best_B_strat=,-0.601850, best_S_id=,S00, best_S_prof=,2.719974, best_S_strat=,-0.070706, 
t=,54000, id=,B01, PRDE,actvstrat=,0.736637, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.387775, actvprof=,0.011946, id=,B05, PRDE,actvstrat=,-0.091892, actvprof=,0.350604, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.870399, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.079039, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.222809, id=,S03, PRDE,actvstrat=,0.649066, actvprof=,0.466731, id=,S07, PRDE,actvstrat=,-0.758153, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.079039, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.222809, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.736637, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.387775, actvprof=,0.014723, id=,B05, PRDE,actvstrat=,-0.091892, actvprof=,0.374470, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.914786, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,7.205361, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.130426, id=,S03, PRDE,actvstrat=,0.649066, actvprof=,0.475311, id=,S07, PRDE,actvstrat=,-0.758153, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.205361, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.130426, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.542628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.378892, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,0.950183, actvprof=,1.149604, id=,B06, PRDE,actvstrat=,0.065919, actvprof=,1.499097, id=,B09, PRDE,actvstrat=,-0.717193, actvprof=,4.684262, id=,S00, PRDE,actvstrat=,-0.139269, actvprof=,1.532157, id=,S03, PRDE,actvstrat=,0.766217, actvprof=,0.908182, id=,S07, PRDE,actvstrat=,0.228672, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.272709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.684262, best_B_strat=,-0.717193, best_S_id=,S00, best_S_prof=,1.532157, best_S_strat=,-0.139269, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.542628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.378892, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.950183, actvprof=,1.121745, id=,B06, PRDE,actvstrat=,0.065919, actvprof=,1.510938, id=,B09, PRDE,actvstrat=,-0.717193, actvprof=,4.685742, id=,S00, PRDE,actvstrat=,-0.139269, actvprof=,1.587749, id=,S03, PRDE,actvstrat=,0.766217, actvprof=,0.936454, id=,S07, PRDE,actvstrat=,0.228672, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.272709, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.685742, best_B_strat=,-0.717193, best_S_id=,S00, best_S_prof=,1.587749, best_S_strat=,-0.139269, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.816426, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.011113, id=,B05, PRDE,actvstrat=,0.667156, actvprof=,0.400056, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.167245, id=,B09, PRDE,actvstrat=,-0.555296, actvprof=,4.353660, id=,S00, PRDE,actvstrat=,0.984430, actvprof=,6.990971, id=,S03, PRDE,actvstrat=,-0.463495, actvprof=,0.058619, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.824275, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.067334, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.353660, best_B_strat=,-0.555296, best_S_id=,S00, best_S_prof=,6.990971, best_S_strat=,0.984430, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.816426, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.013890, id=,B05, PRDE,actvstrat=,0.667156, actvprof=,0.406417, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.139454, id=,B09, PRDE,actvstrat=,-0.555296, actvprof=,4.440864, id=,S00, PRDE,actvstrat=,0.984430, actvprof=,6.968123, id=,S03, PRDE,actvstrat=,-0.463495, actvprof=,0.071672, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.824275, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.067334, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.440864, best_B_strat=,-0.555296, best_S_id=,S00, best_S_prof=,6.968123, best_S_strat=,0.984430, 
t=,75600, id=,B01, PRDE,actvstrat=,-0.942207, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.523739, actvprof=,0.034171, id=,B05, PRDE,actvstrat=,-0.412842, actvprof=,0.374219, id=,B06, PRDE,actvstrat=,0.704710, actvprof=,3.213224, id=,B09, PRDE,actvstrat=,-0.193677, actvprof=,6.392277, id=,S00, PRDE,actvstrat=,0.803607, actvprof=,4.964301, id=,S03, PRDE,actvstrat=,0.649066, actvprof=,0.313377, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.080239, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.466425, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.392277, best_B_strat=,-0.193677, best_S_id=,S00, best_S_prof=,4.964301, best_S_strat=,0.803607, 
t=,79200, id=,B01, PRDE,actvstrat=,-0.942207, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.523739, actvprof=,0.035558, id=,B05, PRDE,actvstrat=,-0.412842, actvprof=,0.390444, id=,B06, PRDE,actvstrat=,0.704710, actvprof=,3.196750, id=,B09, PRDE,actvstrat=,-0.193677, actvprof=,6.430585, id=,S00, PRDE,actvstrat=,0.803607, actvprof=,4.949233, id=,S03, PRDE,actvstrat=,0.649066, actvprof=,0.296409, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.080239, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.466425, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.430585, best_B_strat=,-0.193677, best_S_id=,S00, best_S_prof=,4.949233, best_S_strat=,0.803607, 
t=,82800, id=,B01, PRDE,actvstrat=,-0.888842, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.016391, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.972079, id=,B06, PRDE,actvstrat=,-0.266306, actvprof=,0.858453, id=,B09, PRDE,actvstrat=,-0.894981, actvprof=,2.682595, id=,S00, PRDE,actvstrat=,0.345947, actvprof=,3.773857, id=,S03, PRDE,actvstrat=,0.462441, actvprof=,0.541464, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.839109, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.101344, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.682595, best_B_strat=,-0.894981, best_S_id=,S00, best_S_prof=,3.773857, best_S_strat=,0.345947, 
t=,86400, id=,B01, PRDE,actvstrat=,-0.888842, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.019724, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.922842, id=,B06, PRDE,actvstrat=,-0.266306, actvprof=,0.844086, id=,B09, PRDE,actvstrat=,-0.894981, actvprof=,2.527814, id=,S00, PRDE,actvstrat=,0.345947, actvprof=,3.774845, id=,S03, PRDE,actvstrat=,0.462441, actvprof=,0.587957, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.839109, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.101344, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,2.527814, best_B_strat=,-0.894981, best_S_id=,S00, best_S_prof=,3.774845, best_S_strat=,0.345947, 
t=,90000, id=,B01, PRDE,actvstrat=,0.525881, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.110493, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.841601, actvprof=,0.625365, id=,B06, PRDE,actvstrat=,-0.447255, actvprof=,0.564801, id=,B09, PRDE,actvstrat=,-0.177701, actvprof=,4.736213, id=,S00, PRDE,actvstrat=,-0.688799, actvprof=,1.366301, id=,S03, PRDE,actvstrat=,-0.920011, actvprof=,0.005556, id=,S07, PRDE,actvstrat=,-0.990653, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.947118, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.899511, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.736213, best_B_strat=,-0.177701, best_S_id=,S00, best_S_prof=,1.366301, best_S_strat=,-0.688799, 
t=,93600, id=,B01, PRDE,actvstrat=,0.525881, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.110493, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.841601, actvprof=,0.587680, id=,B06, PRDE,actvstrat=,-0.447255, actvprof=,0.536009, id=,B09, PRDE,actvstrat=,-0.177701, actvprof=,4.823252, id=,S00, PRDE,actvstrat=,-0.688799, actvprof=,1.315508, id=,S03, PRDE,actvstrat=,-0.920011, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.990653, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-0.947118, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.899511, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.823252, best_B_strat=,-0.177701, best_S_id=,S00, best_S_prof=,1.315508, best_S_strat=,-0.688799, 
t=,97200, id=,B01, PRDE,actvstrat=,-0.888615, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.019241, actvprof=,0.050007, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.423531, id=,B06, PRDE,actvstrat=,0.630029, actvprof=,2.482845, id=,B09, PRDE,actvstrat=,-0.361004, actvprof=,5.608001, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.104459, id=,S03, PRDE,actvstrat=,0.803992, actvprof=,0.864287, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.687030, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.608001, best_B_strat=,-0.361004, best_S_id=,S00, best_S_prof=,6.104459, best_S_strat=,1.000000, 
t=,100800, id=,B01, PRDE,actvstrat=,-0.888615, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.019241, actvprof=,0.049865, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.454684, id=,B06, PRDE,actvstrat=,0.630029, actvprof=,2.482811, id=,B09, PRDE,actvstrat=,-0.361004, actvprof=,5.695118, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.100146, id=,S03, PRDE,actvstrat=,0.803992, actvprof=,0.860893, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.687030, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.695118, best_B_strat=,-0.361004, best_S_id=,S00, best_S_prof=,6.100146, best_S_strat=,1.000000, 
