t=,39600, id=,B02, PRDE,actvstrat=,-0.857164, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.004723, id=,B06, PRDE,actvstrat=,-0.744548, actvprof=,0.449198, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.765261, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.172859, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.649559, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.867491, id=,S04, PRDE,actvstrat=,-0.825860, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.234568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.172859, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.649559, best_S_strat=,1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.857164, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.004028, id=,B06, PRDE,actvstrat=,-0.744548, actvprof=,0.416959, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.796243, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.246571, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.599500, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.864440, id=,S04, PRDE,actvstrat=,-0.825860, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.234568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.246571, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.599500, best_S_strat=,1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,0.935276, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.966634, actvprof=,0.000833, id=,B06, PRDE,actvstrat=,0.840119, actvprof=,1.530106, id=,B07, PRDE,actvstrat=,-0.187149, actvprof=,1.184249, id=,B08, PRDE,actvstrat=,0.302948, actvprof=,3.800264, id=,S01, PRDE,actvstrat=,0.033021, actvprof=,2.746024, id=,S02, PRDE,actvstrat=,0.436267, actvprof=,2.358775, id=,S04, PRDE,actvstrat=,-0.931959, actvprof=,0.024168, id=,S08, PRDE,actvstrat=,-0.441373, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.207129, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.800264, best_B_strat=,0.302948, best_S_id=,S01, best_S_prof=,2.746024, best_S_strat=,0.033021, 
t=,50400, id=,B02, PRDE,actvstrat=,0.935276, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.966634, actvprof=,0.003195, id=,B06, PRDE,actvstrat=,0.840119, actvprof=,1.531025, id=,B07, PRDE,actvstrat=,-0.187149, actvprof=,1.216292, id=,B08, PRDE,actvstrat=,0.302948, actvprof=,3.841383, id=,S01, PRDE,actvstrat=,0.033021, actvprof=,2.781069, id=,S02, PRDE,actvstrat=,0.436267, actvprof=,2.385361, id=,S04, PRDE,actvstrat=,-0.931959, actvprof=,0.030140, id=,S08, PRDE,actvstrat=,-0.441373, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.207129, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.841383, best_B_strat=,0.302948, best_S_id=,S01, best_S_prof=,2.781069, best_S_strat=,0.033021, 
t=,54000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.632613, id=,B07, PRDE,actvstrat=,0.064009, actvprof=,1.810404, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.578651, id=,S01, PRDE,actvstrat=,-0.366984, actvprof=,1.435100, id=,S02, PRDE,actvstrat=,-0.155528, actvprof=,0.685325, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.218974, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.578651, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.435100, best_S_strat=,-0.366984, 
t=,57600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.670752, id=,B07, PRDE,actvstrat=,0.064009, actvprof=,1.893538, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.520713, id=,S01, PRDE,actvstrat=,-0.366984, actvprof=,1.371853, id=,S02, PRDE,actvstrat=,-0.155528, actvprof=,0.740303, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.174624, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.520713, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.371853, best_S_strat=,-0.366984, 
t=,61200, id=,B02, PRDE,actvstrat=,0.515044, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,0.535538, actvprof=,0.029724, id=,B06, PRDE,actvstrat=,0.773305, actvprof=,1.594000, id=,B07, PRDE,actvstrat=,-0.233599, actvprof=,1.268144, id=,B08, PRDE,actvstrat=,0.870453, actvprof=,5.056740, id=,S01, PRDE,actvstrat=,0.967617, actvprof=,5.557886, id=,S02, PRDE,actvstrat=,0.244451, actvprof=,1.761511, id=,S04, PRDE,actvstrat=,-0.579476, actvprof=,0.024724, id=,S08, PRDE,actvstrat=,0.394922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.345934, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.056740, best_B_strat=,0.870453, best_S_id=,S01, best_S_prof=,5.557886, best_S_strat=,0.967617, 
t=,64800, id=,B02, PRDE,actvstrat=,0.515044, actvprof=,0.004583, id=,B03, PRDE,actvstrat=,0.535538, actvprof=,0.025973, id=,B06, PRDE,actvstrat=,0.773305, actvprof=,1.574916, id=,B07, PRDE,actvstrat=,-0.233599, actvprof=,1.326574, id=,B08, PRDE,actvstrat=,0.870453, actvprof=,5.019063, id=,S01, PRDE,actvstrat=,0.967617, actvprof=,5.519636, id=,S02, PRDE,actvstrat=,0.244451, actvprof=,1.724088, id=,S04, PRDE,actvstrat=,-0.579476, actvprof=,0.027223, id=,S08, PRDE,actvstrat=,0.394922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.345934, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.019063, best_B_strat=,0.870453, best_S_id=,S01, best_S_prof=,5.519636, best_S_strat=,0.967617, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,-0.381438, actvprof=,1.104243, id=,B07, PRDE,actvstrat=,0.951978, actvprof=,4.565317, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.347107, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.372248, id=,S02, PRDE,actvstrat=,0.111171, actvprof=,0.840058, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.348358, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.728500, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.347107, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.372248, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.009584, id=,B06, PRDE,actvstrat=,-0.381438, actvprof=,1.047397, id=,B07, PRDE,actvstrat=,0.951978, actvprof=,4.543352, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.365082, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.365568, id=,S02, PRDE,actvstrat=,0.111171, actvprof=,0.857113, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.359179, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.728500, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.365082, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.365568, best_S_strat=,1.000000, 
