t=,43200, id=,B00, PRDE,actvstrat=,-0.695487, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.877932, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.165281, id=,B08, PRDE,actvstrat=,0.825162, actvprof=,4.292173, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.409418, id=,S00, PRDE,actvstrat=,0.582159, actvprof=,6.404717, id=,S02, PRDE,actvstrat=,0.278449, actvprof=,2.424773, id=,S04, PRDE,actvstrat=,-0.667617, actvprof=,0.050696, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.203861, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.409418, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.404717, best_S_strat=,0.582159, 
t=,46800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.032775, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.683362, id=,B08, PRDE,actvstrat=,0.021007, actvprof=,3.732378, id=,B09, PRDE,actvstrat=,-0.467627, actvprof=,4.551023, id=,S00, PRDE,actvstrat=,0.576316, actvprof=,5.259941, id=,S02, PRDE,actvstrat=,0.574363, actvprof=,2.339264, id=,S04, PRDE,actvstrat=,0.778395, actvprof=,0.480298, id=,S07, PRDE,actvstrat=,-0.143767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.073346, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.551023, best_B_strat=,-0.467627, best_S_id=,S00, best_S_prof=,5.259941, best_S_strat=,0.576316, 
t=,50400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.032775, actvprof=,0.006945, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.722654, id=,B08, PRDE,actvstrat=,0.021007, actvprof=,3.823830, id=,B09, PRDE,actvstrat=,-0.467627, actvprof=,4.499538, id=,S00, PRDE,actvstrat=,0.576316, actvprof=,5.230665, id=,S02, PRDE,actvstrat=,0.574363, actvprof=,2.328660, id=,S04, PRDE,actvstrat=,0.778395, actvprof=,0.455148, id=,S07, PRDE,actvstrat=,-0.143767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.073346, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.499538, best_B_strat=,-0.467627, best_S_id=,S00, best_S_prof=,5.230665, best_S_strat=,0.576316, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.241995, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.425443, actvprof=,0.003889, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.698210, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.147159, id=,S00, PRDE,actvstrat=,-0.891483, actvprof=,0.518077, id=,S02, PRDE,actvstrat=,-0.367289, actvprof=,0.752809, id=,S04, PRDE,actvstrat=,0.512263, actvprof=,0.690307, id=,S07, PRDE,actvstrat=,-0.958471, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.147159, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,0.752809, best_S_strat=,-0.367289, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.241995, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.425443, actvprof=,0.005139, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.754662, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.139552, id=,S00, PRDE,actvstrat=,-0.891483, actvprof=,0.491677, id=,S02, PRDE,actvstrat=,-0.367289, actvprof=,0.835017, id=,S04, PRDE,actvstrat=,0.512263, actvprof=,0.674320, id=,S07, PRDE,actvstrat=,-0.958471, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.139552, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,0.835017, best_S_strat=,-0.367289, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.411538, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.404031, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.903920, actvprof=,0.023057, id=,B08, PRDE,actvstrat=,0.910190, actvprof=,4.932428, id=,B09, PRDE,actvstrat=,0.354126, actvprof=,5.622179, id=,S00, PRDE,actvstrat=,-0.097850, actvprof=,2.716780, id=,S02, PRDE,actvstrat=,-0.622636, actvprof=,0.557523, id=,S04, PRDE,actvstrat=,-0.976152, actvprof=,0.174452, id=,S07, PRDE,actvstrat=,-0.221654, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.360122, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.622179, best_B_strat=,0.354126, best_S_id=,S00, best_S_prof=,2.716780, best_S_strat=,-0.097850, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.411538, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.404031, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,-0.903920, actvprof=,0.015278, id=,B08, PRDE,actvstrat=,0.910190, actvprof=,4.926769, id=,B09, PRDE,actvstrat=,0.354126, actvprof=,5.712202, id=,S00, PRDE,actvstrat=,-0.097850, actvprof=,2.713945, id=,S02, PRDE,actvstrat=,-0.622636, actvprof=,0.530011, id=,S04, PRDE,actvstrat=,-0.976152, actvprof=,0.198337, id=,S07, PRDE,actvstrat=,-0.221654, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.360122, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.712202, best_B_strat=,0.354126, best_S_id=,S00, best_S_prof=,2.713945, best_S_strat=,-0.097850, 
t=,68400, id=,B00, PRDE,actvstrat=,0.215016, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.612252, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.529866, actvprof=,0.095836, id=,B08, PRDE,actvstrat=,0.231890, actvprof=,3.599544, id=,B09, PRDE,actvstrat=,-0.013506, actvprof=,4.586516, id=,S00, PRDE,actvstrat=,-0.335803, actvprof=,2.024501, id=,S02, PRDE,actvstrat=,-0.426225, actvprof=,0.540848, id=,S04, PRDE,actvstrat=,0.362264, actvprof=,0.267507, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.104771, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.586516, best_B_strat=,-0.013506, best_S_id=,S00, best_S_prof=,2.024501, best_S_strat=,-0.335803, 
t=,72000, id=,B00, PRDE,actvstrat=,0.215016, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.612252, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.529866, actvprof=,0.104030, id=,B08, PRDE,actvstrat=,0.231890, actvprof=,3.593686, id=,B09, PRDE,actvstrat=,-0.013506, actvprof=,4.684403, id=,S00, PRDE,actvstrat=,-0.335803, actvprof=,1.989208, id=,S02, PRDE,actvstrat=,-0.426225, actvprof=,0.525705, id=,S04, PRDE,actvstrat=,0.362264, actvprof=,0.279589, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.104771, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.684403, best_B_strat=,-0.013506, best_S_id=,S00, best_S_prof=,1.989208, best_S_strat=,-0.335803, 
t=,75600, id=,B00, PRDE,actvstrat=,0.792805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.877932, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.529866, actvprof=,0.080280, id=,B08, PRDE,actvstrat=,0.477498, actvprof=,4.056224, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.596267, id=,S00, PRDE,actvstrat=,-0.335803, actvprof=,2.213395, id=,S02, PRDE,actvstrat=,0.278449, actvprof=,2.080336, id=,S04, PRDE,actvstrat=,0.517492, actvprof=,0.418067, id=,S07, PRDE,actvstrat=,-0.831774, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.609433, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.596267, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,2.213395, best_S_strat=,-0.335803, 
t=,79200, id=,B00, PRDE,actvstrat=,0.792805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.877932, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.529866, actvprof=,0.093891, id=,B08, PRDE,actvstrat=,0.477498, actvprof=,4.021889, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.634979, id=,S00, PRDE,actvstrat=,-0.335803, actvprof=,2.153795, id=,S02, PRDE,actvstrat=,0.278449, actvprof=,2.079210, id=,S04, PRDE,actvstrat=,0.517492, actvprof=,0.403897, id=,S07, PRDE,actvstrat=,-0.831774, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.609433, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.634979, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,2.153795, best_S_strat=,-0.335803, 
