t=,39600, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.394174, actvprof=,0.060006, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.374953, id=,B07, PRDE,actvstrat=,-0.902122, actvprof=,0.803134, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.818538, id=,S01, PRDE,actvstrat=,-0.840467, actvprof=,0.181129, id=,S06, PRDE,actvstrat=,-0.267911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.379589, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.818538, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,0.181129, best_S_strat=,-0.840467, 
t=,43200, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.394174, actvprof=,0.068198, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.315962, id=,B07, PRDE,actvstrat=,-0.902122, actvprof=,0.860048, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.783071, id=,S01, PRDE,actvstrat=,-0.840467, actvprof=,0.197650, id=,S06, PRDE,actvstrat=,-0.267911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.379589, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.783071, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,0.197650, best_S_strat=,-0.840467, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.832953, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.683045, actvprof=,0.030003, id=,B06, PRDE,actvstrat=,0.788131, actvprof=,3.407323, id=,B07, PRDE,actvstrat=,-0.570693, actvprof=,2.722525, id=,B09, PRDE,actvstrat=,-0.667282, actvprof=,5.980665, id=,S01, PRDE,actvstrat=,0.025930, actvprof=,1.659629, id=,S06, PRDE,actvstrat=,-0.133209, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.649998, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.596698, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.980665, best_B_strat=,-0.667282, best_S_id=,S01, best_S_prof=,1.659629, best_S_strat=,0.025930, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.832953, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.683045, actvprof=,0.033335, id=,B06, PRDE,actvstrat=,0.788131, actvprof=,3.432274, id=,B07, PRDE,actvstrat=,-0.570693, actvprof=,2.792933, id=,B09, PRDE,actvstrat=,-0.667282, actvprof=,5.979499, id=,S01, PRDE,actvstrat=,0.025930, actvprof=,1.587727, id=,S06, PRDE,actvstrat=,-0.133209, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.649998, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.596698, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.979499, best_B_strat=,-0.667282, best_S_id=,S01, best_S_prof=,1.587727, best_S_strat=,0.025930, 
t=,54000, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.045561, id=,B06, PRDE,actvstrat=,0.700826, actvprof=,3.556228, id=,B07, PRDE,actvstrat=,-0.666583, actvprof=,2.980053, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,8.194799, id=,S01, PRDE,actvstrat=,0.851800, actvprof=,3.542338, id=,S06, PRDE,actvstrat=,0.483468, actvprof=,0.006112, id=,S07, PRDE,actvstrat=,-0.610394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.379589, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.194799, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,3.542338, best_S_strat=,0.851800, 
t=,57600, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.042502, id=,B06, PRDE,actvstrat=,0.700826, actvprof=,3.591033, id=,B07, PRDE,actvstrat=,-0.666583, actvprof=,3.068365, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,8.127118, id=,S01, PRDE,actvstrat=,0.851800, actvprof=,3.443802, id=,S06, PRDE,actvstrat=,0.483468, actvprof=,0.004167, id=,S07, PRDE,actvstrat=,-0.610394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.120775, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.379589, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.127118, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,3.443802, best_S_strat=,0.851800, 
t=,61200, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.051950, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,3.202022, id=,B07, PRDE,actvstrat=,-0.577016, actvprof=,3.284809, id=,B09, PRDE,actvstrat=,0.039026, actvprof=,7.692799, id=,S01, PRDE,actvstrat=,0.921852, actvprof=,3.482331, id=,S06, PRDE,actvstrat=,0.483468, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.077695, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.951775, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.692799, best_B_strat=,0.039026, best_S_id=,S01, best_S_prof=,3.482331, best_S_strat=,0.921852, 
t=,64800, id=,B00, PRDE,actvstrat=,0.838384, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.055558, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,3.204739, id=,B07, PRDE,actvstrat=,-0.577016, actvprof=,3.277937, id=,B09, PRDE,actvstrat=,0.039026, actvprof=,7.691902, id=,S01, PRDE,actvstrat=,0.921852, actvprof=,3.450029, id=,S06, PRDE,actvstrat=,0.483468, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.002361, id=,S08, PRDE,actvstrat=,0.077695, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.951775, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.691902, best_B_strat=,0.039026, best_S_id=,S01, best_S_prof=,3.450029, best_S_strat=,0.921852, 
t=,68400, id=,B00, PRDE,actvstrat=,0.531812, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.112230, id=,B06, PRDE,actvstrat=,-0.763150, actvprof=,0.963956, id=,B07, PRDE,actvstrat=,0.802018, actvprof=,5.105355, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,7.810542, id=,S01, PRDE,actvstrat=,0.089100, actvprof=,1.811237, id=,S06, PRDE,actvstrat=,0.483468, actvprof=,0.017501, id=,S07, PRDE,actvstrat=,0.192589, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.193256, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.541286, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.810542, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,1.811237, best_S_strat=,0.089100, 
t=,72000, id=,B00, PRDE,actvstrat=,0.531812, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.047495, actvprof=,0.100840, id=,B06, PRDE,actvstrat=,-0.763150, actvprof=,0.954782, id=,B07, PRDE,actvstrat=,0.802018, actvprof=,5.143655, id=,B09, PRDE,actvstrat=,0.443445, actvprof=,8.003834, id=,S01, PRDE,actvstrat=,0.089100, actvprof=,1.788167, id=,S06, PRDE,actvstrat=,0.483468, actvprof=,0.008751, id=,S07, PRDE,actvstrat=,0.192589, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.193256, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.541286, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.003834, best_B_strat=,0.443445, best_S_id=,S01, best_S_prof=,1.788167, best_S_strat=,0.089100, 
t=,75600, id=,B00, PRDE,actvstrat=,0.531812, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.646696, actvprof=,0.006390, id=,B06, PRDE,actvstrat=,0.075615, actvprof=,2.108012, id=,B07, PRDE,actvstrat=,-0.577016, actvprof=,2.243860, id=,B09, PRDE,actvstrat=,0.858836, actvprof=,8.319258, id=,S01, PRDE,actvstrat=,-0.840467, actvprof=,0.337815, id=,S06, PRDE,actvstrat=,-0.554745, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.160049, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.193256, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318431, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.319258, best_B_strat=,0.858836, best_S_id=,S01, best_S_prof=,0.337815, best_S_strat=,-0.840467, 
