t=,39600, id=,B00, PRDE,actvstrat=,-0.189899, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.744486, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.850492, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.677704, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.864215, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.787301, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.850492, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.677704, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.189899, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.725020, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,3.831079, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.723298, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.911692, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.787301, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.831079, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.723298, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.373847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.066700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.903875, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.629227, actvprof=,0.054169, id=,B06, PRDE,actvstrat=,0.145948, actvprof=,2.065919, id=,S01, PRDE,actvstrat=,0.005311, actvprof=,2.092865, id=,S03, PRDE,actvstrat=,-0.231923, actvprof=,0.082781, id=,S06, PRDE,actvstrat=,0.536465, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.822678, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.065919, best_B_strat=,0.145948, best_S_id=,S01, best_S_prof=,2.092865, best_S_strat=,0.005311, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.373847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.066700, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.903875, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.629227, actvprof=,0.045696, id=,B06, PRDE,actvstrat=,0.145948, actvprof=,1.989222, id=,S01, PRDE,actvstrat=,0.005311, actvprof=,2.052140, id=,S03, PRDE,actvstrat=,-0.231923, actvprof=,0.060696, id=,S06, PRDE,actvstrat=,0.536465, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.822678, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.989222, best_B_strat=,0.145948, best_S_id=,S01, best_S_prof=,2.052140, best_S_strat=,0.005311, 
t=,54000, id=,B00, PRDE,actvstrat=,0.615740, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.281291, actvprof=,0.532252, id=,B06, PRDE,actvstrat=,0.527349, actvprof=,3.855492, id=,S01, PRDE,actvstrat=,0.300572, actvprof=,1.559531, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.380854, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.855492, best_B_strat=,0.527349, best_S_id=,S01, best_S_prof=,1.559531, best_S_strat=,0.300572, 
t=,57600, id=,B00, PRDE,actvstrat=,0.615740, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.281291, actvprof=,0.407234, id=,B06, PRDE,actvstrat=,0.527349, actvprof=,3.521348, id=,S01, PRDE,actvstrat=,0.300572, actvprof=,1.723103, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.583211, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.521348, best_B_strat=,0.527349, best_S_id=,S01, best_S_prof=,1.723103, best_S_strat=,0.300572, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.931010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.768778, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.279875, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.800117, actvprof=,0.063892, id=,B06, PRDE,actvstrat=,-0.341457, actvprof=,2.068170, id=,S01, PRDE,actvstrat=,0.286331, actvprof=,1.835935, id=,S03, PRDE,actvstrat=,-0.078612, actvprof=,0.014445, id=,S06, PRDE,actvstrat=,0.639441, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.033982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.337691, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.068170, best_B_strat=,-0.341457, best_S_id=,S01, best_S_prof=,1.835935, best_S_strat=,0.286331, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.931010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.768778, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.279875, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.800117, actvprof=,0.058335, id=,B06, PRDE,actvstrat=,-0.341457, actvprof=,1.932554, id=,S01, PRDE,actvstrat=,0.286331, actvprof=,1.740326, id=,S03, PRDE,actvstrat=,-0.078612, actvprof=,0.019167, id=,S06, PRDE,actvstrat=,0.639441, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.033982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.337691, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.932554, best_B_strat=,-0.341457, best_S_id=,S01, best_S_prof=,1.740326, best_S_strat=,0.286331, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.250358, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.030832, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.899642, id=,S01, PRDE,actvstrat=,0.761831, actvprof=,4.462932, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.818561, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.364646, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.899642, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.462932, best_S_strat=,0.761831, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.250358, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.030278, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.889921, id=,S01, PRDE,actvstrat=,0.761831, actvprof=,4.454259, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.788926, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.364646, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.889921, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.454259, best_S_strat=,0.761831, 
