t=,39600, id=,B02, PRDE,actvstrat=,-0.386366, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003334, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.900161, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.706095, id=,B09, PRDE,actvstrat=,-0.318374, actvprof=,3.861048, id=,S00, PRDE,actvstrat=,-0.718776, actvprof=,2.594866, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.156953, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.621535, id=,S05, PRDE,actvstrat=,-0.046616, actvprof=,0.010001, id=,S08, PRDE,actvstrat=,-0.441395, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.706095, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.156953, best_S_strat=,-1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.386366, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.952443, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.808467, id=,B09, PRDE,actvstrat=,-0.318374, actvprof=,3.977333, id=,S00, PRDE,actvstrat=,-0.718776, actvprof=,2.559099, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.265285, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.580905, id=,S05, PRDE,actvstrat=,-0.046616, actvprof=,0.017362, id=,S08, PRDE,actvstrat=,-0.441395, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.808467, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.265285, best_S_strat=,-1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,0.729260, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.593821, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,-0.087776, actvprof=,1.158675, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.254959, id=,B09, PRDE,actvstrat=,-0.318374, actvprof=,3.492972, id=,S00, PRDE,actvstrat=,-0.705544, actvprof=,2.850714, id=,S01, PRDE,actvstrat=,0.085800, actvprof=,3.817990, id=,S03, PRDE,actvstrat=,-0.123373, actvprof=,0.688094, id=,S05, PRDE,actvstrat=,0.517725, actvprof=,0.092227, id=,S08, PRDE,actvstrat=,0.127565, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.254959, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.817990, best_S_strat=,0.085800, 
t=,50400, id=,B02, PRDE,actvstrat=,0.729260, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,-0.593821, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,-0.087776, actvprof=,1.160866, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.347760, id=,B09, PRDE,actvstrat=,-0.318374, actvprof=,3.518848, id=,S00, PRDE,actvstrat=,-0.705544, actvprof=,2.748687, id=,S01, PRDE,actvstrat=,0.085800, actvprof=,3.780105, id=,S03, PRDE,actvstrat=,-0.123373, actvprof=,0.685436, id=,S05, PRDE,actvstrat=,0.517725, actvprof=,0.086530, id=,S08, PRDE,actvstrat=,0.127565, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.347760, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,3.780105, best_S_strat=,0.085800, 
t=,54000, id=,B02, PRDE,actvstrat=,-0.961929, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.075320, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.422839, id=,B09, PRDE,actvstrat=,-0.399728, actvprof=,3.706163, id=,S00, PRDE,actvstrat=,-0.771747, actvprof=,2.466423, id=,S01, PRDE,actvstrat=,0.598388, actvprof=,5.144794, id=,S03, PRDE,actvstrat=,0.900166, actvprof=,2.696426, id=,S05, PRDE,actvstrat=,0.302407, actvprof=,0.034445, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.422839, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.144794, best_S_strat=,0.598388, 
t=,57600, id=,B02, PRDE,actvstrat=,-0.961929, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001528, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.107426, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.496760, id=,B09, PRDE,actvstrat=,-0.399728, actvprof=,3.639937, id=,S00, PRDE,actvstrat=,-0.771747, actvprof=,2.483246, id=,S01, PRDE,actvstrat=,0.598388, actvprof=,5.096356, id=,S03, PRDE,actvstrat=,0.900166, actvprof=,2.715612, id=,S05, PRDE,actvstrat=,0.302407, actvprof=,0.035140, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.496760, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.096356, best_S_strat=,0.598388, 
t=,61200, id=,B02, PRDE,actvstrat=,0.729260, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.103918, actvprof=,0.001667, id=,B07, PRDE,actvstrat=,-0.664969, actvprof=,0.885327, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.416912, id=,B09, PRDE,actvstrat=,0.788171, actvprof=,6.507306, id=,S00, PRDE,actvstrat=,-0.031324, actvprof=,4.398022, id=,S01, PRDE,actvstrat=,-0.407100, actvprof=,2.005389, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.359576, id=,S05, PRDE,actvstrat=,0.120634, actvprof=,0.017501, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.507306, best_B_strat=,0.788171, best_S_id=,S00, best_S_prof=,4.398022, best_S_strat=,-0.031324, 
t=,64800, id=,B02, PRDE,actvstrat=,0.729260, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.103918, actvprof=,0.001944, id=,B07, PRDE,actvstrat=,-0.664969, actvprof=,0.984187, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.342729, id=,B09, PRDE,actvstrat=,0.788171, actvprof=,6.484857, id=,S00, PRDE,actvstrat=,-0.031324, actvprof=,4.498010, id=,S01, PRDE,actvstrat=,-0.407100, actvprof=,2.081710, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.472552, id=,S05, PRDE,actvstrat=,0.120634, actvprof=,0.025417, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000417, best_B_id=,B09, best_B_prof=,6.484857, best_B_strat=,0.788171, best_S_id=,S00, best_S_prof=,4.498010, best_S_strat=,-0.031324, 
t=,68400, id=,B02, PRDE,actvstrat=,0.643664, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.430651, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.879024, id=,B09, PRDE,actvstrat=,0.201394, actvprof=,5.978499, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.112392, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.982361, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.102003, id=,S05, PRDE,actvstrat=,-0.950859, actvprof=,0.037779, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.978499, best_B_strat=,0.201394, best_S_id=,S00, best_S_prof=,6.112392, best_S_strat=,-1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,0.643664, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.415674, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.880586, id=,B09, PRDE,actvstrat=,0.201394, actvprof=,6.002431, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.160908, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.889336, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.154797, id=,S05, PRDE,actvstrat=,-0.950859, actvprof=,0.027501, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.002431, best_B_strat=,0.201394, best_S_id=,S00, best_S_prof=,6.160908, best_S_strat=,-1.000000, 
