t=,39600, id=,B01, PRDE,actvstrat=,-0.163070, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.211995, id=,B06, PRDE,actvstrat=,0.297911, actvprof=,1.719238, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.887745, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.106046, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.314583, id=,S05, PRDE,actvstrat=,-0.763856, actvprof=,0.008611, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.041668, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.887745, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.106046, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.163070, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.221970, id=,B06, PRDE,actvstrat=,0.297911, actvprof=,1.709480, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.799149, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.056633, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.305208, id=,S05, PRDE,actvstrat=,-0.763856, actvprof=,0.004306, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.046807, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.799149, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.056633, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.136958, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.723000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.620915, actvprof=,0.595319, id=,B06, PRDE,actvstrat=,0.218179, actvprof=,1.479547, id=,B08, PRDE,actvstrat=,-0.755245, actvprof=,2.700465, id=,S01, PRDE,actvstrat=,0.239161, actvprof=,2.292937, id=,S02, PRDE,actvstrat=,0.397507, actvprof=,1.358428, id=,S05, PRDE,actvstrat=,0.911812, actvprof=,0.015557, id=,S06, PRDE,actvstrat=,0.595537, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.370083, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.700465, best_B_strat=,-0.755245, best_S_id=,S01, best_S_prof=,2.292937, best_S_strat=,0.239161, 
t=,50400, id=,B01, PRDE,actvstrat=,0.136958, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.723000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.620915, actvprof=,0.569742, id=,B06, PRDE,actvstrat=,0.218179, actvprof=,1.467273, id=,B08, PRDE,actvstrat=,-0.755245, actvprof=,2.734262, id=,S01, PRDE,actvstrat=,0.239161, actvprof=,2.292441, id=,S02, PRDE,actvstrat=,0.397507, actvprof=,1.348241, id=,S05, PRDE,actvstrat=,0.911812, actvprof=,0.025418, id=,S06, PRDE,actvstrat=,0.595537, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.370083, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.734262, best_B_strat=,-0.755245, best_S_id=,S01, best_S_prof=,2.292441, best_S_strat=,0.239161, 
t=,54000, id=,B01, PRDE,actvstrat=,0.127548, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.527505, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.750551, actvprof=,0.769498, id=,B06, PRDE,actvstrat=,0.032813, actvprof=,1.407320, id=,B08, PRDE,actvstrat=,-0.833926, actvprof=,2.164317, id=,S01, PRDE,actvstrat=,-0.279156, actvprof=,0.647545, id=,S02, PRDE,actvstrat=,0.188795, actvprof=,1.089520, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,S06, PRDE,actvstrat=,0.217818, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258615, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.164317, best_B_strat=,-0.833926, best_S_id=,S02, best_S_prof=,1.089520, best_S_strat=,0.188795, 
t=,57600, id=,B01, PRDE,actvstrat=,0.127548, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.527505, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.750551, actvprof=,0.783916, id=,B06, PRDE,actvstrat=,0.032813, actvprof=,1.369075, id=,B08, PRDE,actvstrat=,-0.833926, actvprof=,2.136046, id=,S01, PRDE,actvstrat=,-0.279156, actvprof=,0.611410, id=,S02, PRDE,actvstrat=,0.188795, actvprof=,1.100177, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.002917, id=,S06, PRDE,actvstrat=,0.217818, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258615, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.136046, best_B_strat=,-0.833926, best_S_id=,S02, best_S_prof=,1.100177, best_S_strat=,0.188795, 
t=,61200, id=,B01, PRDE,actvstrat=,0.975927, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.637720, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.539940, actvprof=,0.121673, id=,B06, PRDE,actvstrat=,0.032813, actvprof=,1.372854, id=,B08, PRDE,actvstrat=,0.013942, actvprof=,4.269959, id=,S01, PRDE,actvstrat=,0.087612, actvprof=,1.855659, id=,S02, PRDE,actvstrat=,-0.066216, actvprof=,0.526696, id=,S05, PRDE,actvstrat=,-0.457482, actvprof=,0.003611, id=,S06, PRDE,actvstrat=,0.228765, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.113518, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.269959, best_B_strat=,0.013942, best_S_id=,S01, best_S_prof=,1.855659, best_S_strat=,0.087612, 
t=,64800, id=,B01, PRDE,actvstrat=,0.975927, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.637720, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.539940, actvprof=,0.129588, id=,B06, PRDE,actvstrat=,0.032813, actvprof=,1.347269, id=,B08, PRDE,actvstrat=,0.013942, actvprof=,4.303344, id=,S01, PRDE,actvstrat=,0.087612, actvprof=,1.981458, id=,S02, PRDE,actvstrat=,-0.066216, actvprof=,0.534046, id=,S05, PRDE,actvstrat=,-0.457482, actvprof=,0.001806, id=,S06, PRDE,actvstrat=,0.228765, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.113518, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.303344, best_B_strat=,0.013942, best_S_id=,S01, best_S_prof=,1.981458, best_S_strat=,0.087612, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.838294, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.075126, actvprof=,0.725606, id=,B06, PRDE,actvstrat=,0.149906, actvprof=,2.014862, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.672963, id=,S01, PRDE,actvstrat=,-0.915478, actvprof=,0.014723, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.812695, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.047226, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.004445, id=,S09, PRDE,actvstrat=,0.120737, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.672963, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.812695, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.838294, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.075126, actvprof=,0.686691, id=,B06, PRDE,actvstrat=,0.149906, actvprof=,1.991875, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.608979, id=,S01, PRDE,actvstrat=,-0.915478, actvprof=,0.017917, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.849543, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.047779, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.007084, id=,S09, PRDE,actvstrat=,0.120737, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.608979, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,2.849543, best_S_strat=,-1.000000, 
