t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.346176, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273448, actvprof=,0.002083, id=,B05, PRDE,actvstrat=,0.691914, actvprof=,1.544487, id=,B08, PRDE,actvstrat=,-0.223349, actvprof=,4.740548, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.638823, id=,S04, PRDE,actvstrat=,-0.602602, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.017639, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.185213, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.740548, best_B_strat=,-0.223349, best_S_id=,S02, best_S_prof=,2.638823, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.768806, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.346176, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.097541, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.535311, actvprof=,1.003389, id=,B08, PRDE,actvstrat=,-0.269061, actvprof=,3.996333, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.064059, id=,S04, PRDE,actvstrat=,-0.139147, actvprof=,0.002500, id=,S05, PRDE,actvstrat=,-0.764533, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.817944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.956922, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.996333, best_B_strat=,-0.269061, best_S_id=,S02, best_S_prof=,3.064059, best_S_strat=,1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,0.768806, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.346176, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.097541, actvprof=,0.003195, id=,B05, PRDE,actvstrat=,0.535311, actvprof=,0.982111, id=,B08, PRDE,actvstrat=,-0.269061, actvprof=,3.949276, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.110364, id=,S04, PRDE,actvstrat=,-0.139147, actvprof=,0.011250, id=,S05, PRDE,actvstrat=,-0.764533, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.817944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.956922, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.949276, best_B_strat=,-0.269061, best_S_id=,S02, best_S_prof=,3.110364, best_S_strat=,1.000000, 
t=,54000, id=,B00, PRDE,actvstrat=,0.312323, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500083, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.587197, actvprof=,0.941441, id=,B08, PRDE,actvstrat=,0.517193, actvprof=,5.824768, id=,S02, PRDE,actvstrat=,0.356936, actvprof=,1.283960, id=,S04, PRDE,actvstrat=,0.174507, actvprof=,0.025835, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.027224, id=,S08, PRDE,actvstrat=,0.945878, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.583076, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.824768, best_B_strat=,0.517193, best_S_id=,S02, best_S_prof=,1.283960, best_S_strat=,0.356936, 
t=,57600, id=,B00, PRDE,actvstrat=,0.312323, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500083, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.587197, actvprof=,0.957804, id=,B08, PRDE,actvstrat=,0.517193, actvprof=,5.823773, id=,S02, PRDE,actvstrat=,0.356936, actvprof=,1.227256, id=,S04, PRDE,actvstrat=,0.174507, actvprof=,0.024723, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.027223, id=,S08, PRDE,actvstrat=,0.945878, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.583076, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.823773, best_B_strat=,0.517193, best_S_id=,S02, best_S_prof=,1.227256, best_S_strat=,0.356936, 
t=,61200, id=,B00, PRDE,actvstrat=,0.312323, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500083, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863750, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,0.587197, actvprof=,0.659481, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.908106, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.605756, id=,S04, PRDE,actvstrat=,0.174507, actvprof=,0.041669, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.003334, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.583076, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.908106, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.605756, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.312323, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500083, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.863750, actvprof=,0.003472, id=,B05, PRDE,actvstrat=,0.587197, actvprof=,0.685852, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.864191, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.581211, id=,S04, PRDE,actvstrat=,0.174507, actvprof=,0.033751, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.583076, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.864191, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.581211, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500083, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.591341, actvprof=,0.094450, id=,B05, PRDE,actvstrat=,-0.481816, actvprof=,1.664815, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,8.686594, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.844491, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.016668, id=,S05, PRDE,actvstrat=,0.774188, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.583076, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,8.686594, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,0.844491, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500083, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,-0.591341, actvprof=,0.084586, id=,B05, PRDE,actvstrat=,-0.481816, actvprof=,1.727548, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,8.757882, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.836690, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.025556, id=,S05, PRDE,actvstrat=,0.774188, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.583076, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,8.757882, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,0.836690, best_S_strat=,1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.677284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273448, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,-0.481816, actvprof=,0.515036, id=,B08, PRDE,actvstrat=,-0.223349, actvprof=,4.899229, id=,S02, PRDE,actvstrat=,-0.317064, actvprof=,0.140565, id=,S04, PRDE,actvstrat=,-0.831514, actvprof=,0.003889, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.010001, id=,S08, PRDE,actvstrat=,0.917115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.185213, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.899229, best_B_strat=,-0.223349, best_S_id=,S02, best_S_prof=,0.140565, best_S_strat=,-0.317064, 
