t=,39600, id=,B02, PRDE,actvstrat=,-0.976815, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.713643, actvprof=,0.020001, id=,B05, PRDE,actvstrat=,-0.810791, actvprof=,0.176674, id=,B06, PRDE,actvstrat=,-0.720485, actvprof=,1.066433, id=,B09, PRDE,actvstrat=,0.397519, actvprof=,7.977277, id=,S02, PRDE,actvstrat=,0.191935, actvprof=,0.607525, id=,S03, PRDE,actvstrat=,0.482582, actvprof=,0.183897, id=,S05, PRDE,actvstrat=,0.908979, actvprof=,0.043613, id=,S06, PRDE,actvstrat=,0.226688, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.977277, best_B_strat=,0.397519, best_S_id=,S02, best_S_prof=,0.607525, best_S_strat=,0.191935, 
t=,43200, id=,B02, PRDE,actvstrat=,-0.976815, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.713643, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,-0.810791, actvprof=,0.182782, id=,B06, PRDE,actvstrat=,-0.720485, actvprof=,1.110301, id=,B09, PRDE,actvstrat=,0.397519, actvprof=,7.809052, id=,S02, PRDE,actvstrat=,0.191935, actvprof=,0.649736, id=,S03, PRDE,actvstrat=,0.482582, actvprof=,0.191532, id=,S05, PRDE,actvstrat=,0.908979, actvprof=,0.040695, id=,S06, PRDE,actvstrat=,0.226688, actvprof=,0.002639, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.809052, best_B_strat=,0.397519, best_S_id=,S02, best_S_prof=,0.649736, best_S_strat=,0.191935, 
t=,46800, id=,B02, PRDE,actvstrat=,0.777157, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.352554, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,0.872607, actvprof=,0.444728, id=,B06, PRDE,actvstrat=,0.212707, actvprof=,0.848623, id=,B09, PRDE,actvstrat=,0.670735, actvprof=,5.655356, id=,S02, PRDE,actvstrat=,0.261647, actvprof=,1.934194, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,1.045848, id=,S05, PRDE,actvstrat=,0.652274, actvprof=,0.121391, id=,S06, PRDE,actvstrat=,0.680577, actvprof=,0.040834, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.045278, best_B_id=,B09, best_B_prof=,5.655356, best_B_strat=,0.670735, best_S_id=,S02, best_S_prof=,1.934194, best_S_strat=,0.261647, 
t=,50400, id=,B02, PRDE,actvstrat=,0.777157, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.352554, actvprof=,0.016389, id=,B05, PRDE,actvstrat=,0.872607, actvprof=,0.391397, id=,B06, PRDE,actvstrat=,0.212707, actvprof=,0.810295, id=,B09, PRDE,actvstrat=,0.670735, actvprof=,5.693591, id=,S02, PRDE,actvstrat=,0.261647, actvprof=,2.003097, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,1.040994, id=,S05, PRDE,actvstrat=,0.652274, actvprof=,0.132225, id=,S06, PRDE,actvstrat=,0.680577, actvprof=,0.038334, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.039862, best_B_id=,B09, best_B_prof=,5.693591, best_B_strat=,0.670735, best_S_id=,S02, best_S_prof=,2.003097, best_S_strat=,0.261647, 
t=,54000, id=,B02, PRDE,actvstrat=,0.158085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.013754, actvprof=,0.021946, id=,B05, PRDE,actvstrat=,-0.455192, actvprof=,0.156953, id=,B06, PRDE,actvstrat=,-0.043788, actvprof=,1.146730, id=,B09, PRDE,actvstrat=,0.420548, actvprof=,6.379799, id=,S02, PRDE,actvstrat=,-0.016713, actvprof=,0.883938, id=,S03, PRDE,actvstrat=,0.004452, actvprof=,0.336408, id=,S05, PRDE,actvstrat=,0.358199, actvprof=,0.069448, id=,S06, PRDE,actvstrat=,-0.821395, actvprof=,0.005556, id=,S07, PRDE,actvstrat=,0.043363, actvprof=,0.004722, best_B_id=,B09, best_B_prof=,6.379799, best_B_strat=,0.420548, best_S_id=,S02, best_S_prof=,0.883938, best_S_strat=,-0.016713, 
t=,57600, id=,B02, PRDE,actvstrat=,0.158085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.013754, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,-0.455192, actvprof=,0.155560, id=,B06, PRDE,actvstrat=,-0.043788, actvprof=,1.179616, id=,B09, PRDE,actvstrat=,0.420548, actvprof=,6.300869, id=,S02, PRDE,actvstrat=,-0.016713, actvprof=,0.815717, id=,S03, PRDE,actvstrat=,0.004452, actvprof=,0.359316, id=,S05, PRDE,actvstrat=,0.358199, actvprof=,0.082086, id=,S06, PRDE,actvstrat=,-0.821395, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,0.043363, actvprof=,0.005417, best_B_id=,B09, best_B_prof=,6.300869, best_B_strat=,0.420548, best_S_id=,S02, best_S_prof=,0.815717, best_S_strat=,-0.016713, 
t=,61200, id=,B02, PRDE,actvstrat=,0.158085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234921, actvprof=,0.040836, id=,B05, PRDE,actvstrat=,-0.068318, actvprof=,0.568087, id=,B06, PRDE,actvstrat=,-0.043788, actvprof=,1.693427, id=,B09, PRDE,actvstrat=,-0.135886, actvprof=,6.140619, id=,S02, PRDE,actvstrat=,0.734333, actvprof=,1.795655, id=,S03, PRDE,actvstrat=,0.233149, actvprof=,0.233069, id=,S05, PRDE,actvstrat=,0.908979, actvprof=,0.084171, id=,S06, PRDE,actvstrat=,-0.789626, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.529296, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.140619, best_B_strat=,-0.135886, best_S_id=,S02, best_S_prof=,1.795655, best_S_strat=,0.734333, 
t=,64800, id=,B02, PRDE,actvstrat=,0.158085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.234921, actvprof=,0.028056, id=,B05, PRDE,actvstrat=,-0.068318, actvprof=,0.571401, id=,B06, PRDE,actvstrat=,-0.043788, actvprof=,1.720869, id=,B09, PRDE,actvstrat=,-0.135886, actvprof=,6.120128, id=,S02, PRDE,actvstrat=,0.734333, actvprof=,1.751425, id=,S03, PRDE,actvstrat=,0.233149, actvprof=,0.227227, id=,S05, PRDE,actvstrat=,0.908979, actvprof=,0.080002, id=,S06, PRDE,actvstrat=,-0.789626, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.529296, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.120128, best_B_strat=,-0.135886, best_S_id=,S02, best_S_prof=,1.751425, best_S_strat=,0.734333, 
t=,68400, id=,B02, PRDE,actvstrat=,-0.797133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.165679, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.929631, actvprof=,0.011112, id=,B06, PRDE,actvstrat=,0.897233, actvprof=,0.577524, id=,B09, PRDE,actvstrat=,0.482864, actvprof=,4.572691, id=,S02, PRDE,actvstrat=,-0.133015, actvprof=,1.392558, id=,S03, PRDE,actvstrat=,-0.787074, actvprof=,0.231954, id=,S05, PRDE,actvstrat=,-0.601413, actvprof=,0.029723, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.114727, id=,S07, PRDE,actvstrat=,-0.068244, actvprof=,0.005556, best_B_id=,B09, best_B_prof=,4.572691, best_B_strat=,0.482864, best_S_id=,S02, best_S_prof=,1.392558, best_S_strat=,-0.133015, 
t=,72000, id=,B02, PRDE,actvstrat=,-0.797133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.165679, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.929631, actvprof=,0.015834, id=,B06, PRDE,actvstrat=,0.897233, actvprof=,0.570425, id=,B09, PRDE,actvstrat=,0.482864, actvprof=,4.602981, id=,S02, PRDE,actvstrat=,-0.133015, actvprof=,1.307518, id=,S03, PRDE,actvstrat=,-0.787074, actvprof=,0.269448, id=,S05, PRDE,actvstrat=,-0.601413, actvprof=,0.019722, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.093612, id=,S07, PRDE,actvstrat=,-0.068244, actvprof=,0.002778, best_B_id=,B09, best_B_prof=,4.602981, best_B_strat=,0.482864, best_S_id=,S02, best_S_prof=,1.307518, best_S_strat=,-0.133015, 
