t=,39600, id=,B00, PRDE,actvstrat=,0.639555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.338625, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.009250, id=,B07, PRDE,actvstrat=,0.318415, actvprof=,2.465103, id=,S00, PRDE,actvstrat=,0.764011, actvprof=,6.999458, id=,S01, PRDE,actvstrat=,0.810004, actvprof=,5.517730, id=,S02, PRDE,actvstrat=,-0.334352, actvprof=,1.322555, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.644700, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.465103, best_B_strat=,0.318415, best_S_id=,S00, best_S_prof=,6.999458, best_S_strat=,0.764011, 
t=,43200, id=,B00, PRDE,actvstrat=,0.639555, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.349176, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.004917, id=,B07, PRDE,actvstrat=,0.318415, actvprof=,2.439651, id=,S00, PRDE,actvstrat=,0.764011, actvprof=,7.035334, id=,S01, PRDE,actvstrat=,0.810004, actvprof=,5.570016, id=,S02, PRDE,actvstrat=,-0.334352, actvprof=,1.304064, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.644700, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.439651, best_B_strat=,0.318415, best_S_id=,S00, best_S_prof=,7.035334, best_S_strat=,0.764011, 
t=,46800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261992, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,-0.692172, actvprof=,0.241406, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.233280, id=,B07, PRDE,actvstrat=,-0.086909, actvprof=,3.049101, id=,S00, PRDE,actvstrat=,0.764011, actvprof=,5.723731, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.928328, id=,S02, PRDE,actvstrat=,0.012432, actvprof=,1.245920, id=,S08, PRDE,actvstrat=,-0.375876, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.089131, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.233280, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.723731, best_S_strat=,0.764011, 
t=,50400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261992, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.692172, actvprof=,0.232786, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.249835, id=,B07, PRDE,actvstrat=,-0.086909, actvprof=,3.124831, id=,S00, PRDE,actvstrat=,0.764011, actvprof=,5.738394, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.957082, id=,S02, PRDE,actvstrat=,0.012432, actvprof=,1.267405, id=,S08, PRDE,actvstrat=,-0.375876, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.089131, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.249835, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.738394, best_S_strat=,0.764011, 
t=,54000, id=,B00, PRDE,actvstrat=,0.994133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.418619, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.891451, id=,B06, PRDE,actvstrat=,-0.721080, actvprof=,0.655323, id=,B07, PRDE,actvstrat=,-0.743791, actvprof=,1.408153, id=,S00, PRDE,actvstrat=,-0.691774, actvprof=,2.626016, id=,S01, PRDE,actvstrat=,0.121336, actvprof=,3.221613, id=,S02, PRDE,actvstrat=,0.230385, actvprof=,1.885409, id=,S08, PRDE,actvstrat=,0.281209, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.408153, best_B_strat=,-0.743791, best_S_id=,S01, best_S_prof=,3.221613, best_S_strat=,0.121336, 
t=,57600, id=,B00, PRDE,actvstrat=,0.994133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.418619, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.907254, id=,B06, PRDE,actvstrat=,-0.721080, actvprof=,0.596132, id=,B07, PRDE,actvstrat=,-0.743791, actvprof=,1.435883, id=,S00, PRDE,actvstrat=,-0.691774, actvprof=,2.673148, id=,S01, PRDE,actvstrat=,0.121336, actvprof=,3.191916, id=,S02, PRDE,actvstrat=,0.230385, actvprof=,1.903261, id=,S08, PRDE,actvstrat=,0.281209, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.435883, best_B_strat=,-0.743791, best_S_id=,S01, best_S_prof=,3.191916, best_S_strat=,0.121336, 
t=,61200, id=,B00, PRDE,actvstrat=,0.994133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.141880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.090646, id=,B06, PRDE,actvstrat=,-0.735573, actvprof=,0.703670, id=,B07, PRDE,actvstrat=,-0.835861, actvprof=,1.435953, id=,S00, PRDE,actvstrat=,-0.210255, actvprof=,3.164708, id=,S01, PRDE,actvstrat=,0.671959, actvprof=,4.180904, id=,S02, PRDE,actvstrat=,0.213152, actvprof=,1.715421, id=,S08, PRDE,actvstrat=,-0.355445, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.435953, best_B_strat=,-0.835861, best_S_id=,S01, best_S_prof=,4.180904, best_S_strat=,0.671959, 
t=,64800, id=,B00, PRDE,actvstrat=,0.994133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.141880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.062128, id=,B06, PRDE,actvstrat=,-0.735573, actvprof=,0.713641, id=,B07, PRDE,actvstrat=,-0.835861, actvprof=,1.413809, id=,S00, PRDE,actvstrat=,-0.210255, actvprof=,3.025404, id=,S01, PRDE,actvstrat=,0.671959, actvprof=,4.168229, id=,S02, PRDE,actvstrat=,0.213152, actvprof=,1.743545, id=,S08, PRDE,actvstrat=,-0.355445, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.413809, best_B_strat=,-0.835861, best_S_id=,S01, best_S_prof=,4.168229, best_S_strat=,0.671959, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.647791, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.849904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.622561, actvprof=,0.064450, id=,B06, PRDE,actvstrat=,0.940505, actvprof=,2.496597, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.019224, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.020780, id=,S01, PRDE,actvstrat=,-0.291986, actvprof=,2.252132, id=,S02, PRDE,actvstrat=,-0.203980, actvprof=,1.151485, id=,S08, PRDE,actvstrat=,-0.868817, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.019224, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.020780, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.647791, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.849904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.622561, actvprof=,0.060975, id=,B06, PRDE,actvstrat=,0.940505, actvprof=,2.394822, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.816826, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.079142, id=,S01, PRDE,actvstrat=,-0.291986, actvprof=,1.968832, id=,S02, PRDE,actvstrat=,-0.203980, actvprof=,0.954762, id=,S08, PRDE,actvstrat=,-0.868817, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.816826, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.079142, best_S_strat=,-1.000000, 
