t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005000, id=,B07, PRDE,actvstrat=,0.865664, actvprof=,4.227398, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.761907, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.814645, id=,S02, PRDE,actvstrat=,0.883458, actvprof=,2.864842, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.627526, id=,S05, PRDE,actvstrat=,0.613483, actvprof=,0.035557, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.002222, best_B_id=,B08, best_B_prof=,5.761907, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.814645, best_S_strat=,1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005695, id=,B07, PRDE,actvstrat=,0.865664, actvprof=,4.139253, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.807621, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.879963, id=,S02, PRDE,actvstrat=,0.883458, actvprof=,2.936033, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.660153, id=,S05, PRDE,actvstrat=,0.613483, actvprof=,0.035001, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001111, best_B_id=,B08, best_B_prof=,5.807621, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.879963, best_S_strat=,1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.723651, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.514321, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.865664, actvprof=,2.626257, id=,B08, PRDE,actvstrat=,0.868081, actvprof=,4.327463, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.909773, id=,S02, PRDE,actvstrat=,-0.210784, actvprof=,0.950608, id=,S04, PRDE,actvstrat=,0.180607, actvprof=,0.410578, id=,S05, PRDE,actvstrat=,0.585888, actvprof=,0.085005, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.327463, best_B_strat=,0.868081, best_S_id=,S01, best_S_prof=,5.909773, best_S_strat=,-1.000000, 
t=,50400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.723651, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.514321, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.865664, actvprof=,2.657990, id=,B08, PRDE,actvstrat=,0.868081, actvprof=,4.330954, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.001972, id=,S02, PRDE,actvstrat=,-0.210784, actvprof=,0.940165, id=,S04, PRDE,actvstrat=,0.180607, actvprof=,0.408206, id=,S05, PRDE,actvstrat=,0.585888, actvprof=,0.095280, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.330954, best_B_strat=,0.868081, best_S_id=,S01, best_S_prof=,6.001972, best_S_strat=,-1.000000, 
t=,54000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702779, actvprof=,0.002500, id=,B07, PRDE,actvstrat=,0.787073, actvprof=,3.861101, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.625391, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.220085, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.480519, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.497257, id=,S05, PRDE,actvstrat=,0.668674, actvprof=,0.031113, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, best_B_id=,B08, best_B_prof=,5.625391, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.220085, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702779, actvprof=,0.003889, id=,B07, PRDE,actvstrat=,0.787073, actvprof=,3.889302, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.671864, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.190458, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.476787, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.507379, id=,S05, PRDE,actvstrat=,0.668674, actvprof=,0.027918, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000139, best_B_id=,B08, best_B_prof=,5.671864, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.190458, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.751882, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702779, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.787073, actvprof=,3.509508, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.198283, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.219119, id=,S02, PRDE,actvstrat=,-0.007382, actvprof=,1.204006, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.669232, id=,S05, PRDE,actvstrat=,0.613483, actvprof=,0.078897, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.023058, best_B_id=,B08, best_B_prof=,5.198283, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.219119, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.751882, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.702779, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.787073, actvprof=,3.629293, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.291434, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.088927, id=,S02, PRDE,actvstrat=,-0.007382, actvprof=,1.123095, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.620438, id=,S05, PRDE,actvstrat=,0.613483, actvprof=,0.068891, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.018334, best_B_id=,B08, best_B_prof=,5.291434, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,5.088927, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.860540, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.626847, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.139904, id=,S02, PRDE,actvstrat=,-0.037065, actvprof=,0.453106, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.235582, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.055284, id=,S07, PRDE,actvstrat=,-0.991117, actvprof=,0.000556, best_B_id=,B08, best_B_prof=,6.626847, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.139904, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,0.481392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.789988, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,6.447997, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.284544, id=,S02, PRDE,actvstrat=,-0.037065, actvprof=,0.398772, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.281127, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.062087, id=,S07, PRDE,actvstrat=,-0.991117, actvprof=,0.000694, best_B_id=,B08, best_B_prof=,6.447997, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.284544, best_S_strat=,1.000000, 
