t=,39600, id=,B00, PRDE,actvstrat=,-0.480274, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.415057, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.469775, actvprof=,0.294449, id=,B07, PRDE,actvstrat=,0.482506, actvprof=,2.571425, id=,B09, PRDE,actvstrat=,0.853505, actvprof=,6.458979, id=,S00, PRDE,actvstrat=,-0.453476, actvprof=,3.331435, id=,S01, PRDE,actvstrat=,0.912098, actvprof=,5.403131, id=,S03, PRDE,actvstrat=,0.463101, actvprof=,1.297240, id=,S05, PRDE,actvstrat=,-0.326117, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,-0.692577, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.458979, best_B_strat=,0.853505, best_S_id=,S01, best_S_prof=,5.403131, best_S_strat=,0.912098, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.480274, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.415057, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.469775, actvprof=,0.315284, id=,B07, PRDE,actvstrat=,0.482506, actvprof=,2.595610, id=,B09, PRDE,actvstrat=,0.853505, actvprof=,6.524580, id=,S00, PRDE,actvstrat=,-0.453476, actvprof=,3.196872, id=,S01, PRDE,actvstrat=,0.912098, actvprof=,5.389973, id=,S03, PRDE,actvstrat=,0.463101, actvprof=,1.300166, id=,S05, PRDE,actvstrat=,-0.326117, actvprof=,0.012639, id=,S08, PRDE,actvstrat=,-0.692577, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.524580, best_B_strat=,0.853505, best_S_id=,S01, best_S_prof=,5.389973, best_S_strat=,0.912098, 
t=,46800, id=,B00, PRDE,actvstrat=,0.565095, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.294901, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.491483, actvprof=,0.070558, id=,B07, PRDE,actvstrat=,0.681254, actvprof=,3.230412, id=,B09, PRDE,actvstrat=,0.434973, actvprof=,5.993305, id=,S00, PRDE,actvstrat=,0.516637, actvprof=,6.000250, id=,S01, PRDE,actvstrat=,-0.661173, actvprof=,1.820631, id=,S03, PRDE,actvstrat=,-0.660513, actvprof=,0.215287, id=,S05, PRDE,actvstrat=,0.856707, actvprof=,0.105560, id=,S08, PRDE,actvstrat=,-0.787967, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.993305, best_B_strat=,0.434973, best_S_id=,S00, best_S_prof=,6.000250, best_S_strat=,0.516637, 
t=,50400, id=,B00, PRDE,actvstrat=,0.565095, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.294901, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.491483, actvprof=,0.057362, id=,B07, PRDE,actvstrat=,0.681254, actvprof=,3.233262, id=,B09, PRDE,actvstrat=,0.434973, actvprof=,5.986930, id=,S00, PRDE,actvstrat=,0.516637, actvprof=,5.834427, id=,S01, PRDE,actvstrat=,-0.661173, actvprof=,1.861705, id=,S03, PRDE,actvstrat=,-0.660513, actvprof=,0.232366, id=,S05, PRDE,actvstrat=,0.856707, actvprof=,0.115836, id=,S08, PRDE,actvstrat=,-0.787967, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.986930, best_B_strat=,0.434973, best_S_id=,S00, best_S_prof=,5.834427, best_S_strat=,0.516637, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.935025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.566315, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.469775, actvprof=,0.470020, id=,B07, PRDE,actvstrat=,-0.892930, actvprof=,0.394739, id=,B09, PRDE,actvstrat=,0.132150, actvprof=,5.813853, id=,S00, PRDE,actvstrat=,-0.887162, actvprof=,0.686695, id=,S01, PRDE,actvstrat=,0.643585, actvprof=,4.348237, id=,S03, PRDE,actvstrat=,-0.179979, actvprof=,0.201119, id=,S05, PRDE,actvstrat=,-0.983133, actvprof=,0.058336, id=,S08, PRDE,actvstrat=,-0.692577, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.813853, best_B_strat=,0.132150, best_S_id=,S01, best_S_prof=,4.348237, best_S_strat=,0.643585, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.935025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.566315, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.469775, actvprof=,0.467093, id=,B07, PRDE,actvstrat=,-0.892930, actvprof=,0.461676, id=,B09, PRDE,actvstrat=,0.132150, actvprof=,5.828455, id=,S00, PRDE,actvstrat=,-0.887162, actvprof=,0.732793, id=,S01, PRDE,actvstrat=,0.643585, actvprof=,4.350230, id=,S03, PRDE,actvstrat=,-0.179979, actvprof=,0.181809, id=,S05, PRDE,actvstrat=,-0.983133, actvprof=,0.055001, id=,S08, PRDE,actvstrat=,-0.692577, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.828455, best_B_strat=,0.132150, best_S_id=,S01, best_S_prof=,4.350230, best_S_strat=,0.643585, 
t=,61200, id=,B00, PRDE,actvstrat=,0.306801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.257728, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,0.829695, actvprof=,0.432246, id=,B07, PRDE,actvstrat=,-0.428248, actvprof=,1.106173, id=,B09, PRDE,actvstrat=,0.984507, actvprof=,6.389244, id=,S00, PRDE,actvstrat=,0.112802, actvprof=,4.887494, id=,S01, PRDE,actvstrat=,-0.019650, actvprof=,3.146286, id=,S03, PRDE,actvstrat=,0.220438, actvprof=,1.156175, id=,S05, PRDE,actvstrat=,-0.564918, actvprof=,0.020001, id=,S08, PRDE,actvstrat=,-0.068265, actvprof=,0.002222, best_B_id=,B09, best_B_prof=,6.389244, best_B_strat=,0.984507, best_S_id=,S00, best_S_prof=,4.887494, best_S_strat=,0.112802, 
t=,64800, id=,B00, PRDE,actvstrat=,0.306801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.257728, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,0.829695, actvprof=,0.413345, id=,B07, PRDE,actvstrat=,-0.428248, actvprof=,1.147115, id=,B09, PRDE,actvstrat=,0.984507, actvprof=,6.435040, id=,S00, PRDE,actvstrat=,0.112802, actvprof=,4.883886, id=,S01, PRDE,actvstrat=,-0.019650, actvprof=,3.214117, id=,S03, PRDE,actvstrat=,0.220438, actvprof=,1.179199, id=,S05, PRDE,actvstrat=,-0.564918, actvprof=,0.020139, id=,S08, PRDE,actvstrat=,-0.068265, actvprof=,0.002361, best_B_id=,B09, best_B_prof=,6.435040, best_B_strat=,0.984507, best_S_id=,S00, best_S_prof=,4.883886, best_S_strat=,0.112802, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.079083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.382821, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.293796, actvprof=,0.258907, id=,B07, PRDE,actvstrat=,0.482506, actvprof=,2.898535, id=,B09, PRDE,actvstrat=,0.132150, actvprof=,5.342038, id=,S00, PRDE,actvstrat=,-0.776742, actvprof=,1.641225, id=,S01, PRDE,actvstrat=,0.394663, actvprof=,3.519967, id=,S03, PRDE,actvstrat=,0.942375, actvprof=,2.109869, id=,S05, PRDE,actvstrat=,-0.413175, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.308953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.342038, best_B_strat=,0.132150, best_S_id=,S01, best_S_prof=,3.519967, best_S_strat=,0.394663, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.079083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.382821, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.293796, actvprof=,0.224869, id=,B07, PRDE,actvstrat=,0.482506, actvprof=,2.703427, id=,B09, PRDE,actvstrat=,0.132150, actvprof=,5.226154, id=,S00, PRDE,actvstrat=,-0.776742, actvprof=,1.289628, id=,S01, PRDE,actvstrat=,0.394663, actvprof=,3.345533, id=,S03, PRDE,actvstrat=,0.942375, actvprof=,2.184659, id=,S05, PRDE,actvstrat=,-0.413175, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.308953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.226154, best_B_strat=,0.132150, best_S_id=,S01, best_S_prof=,3.345533, best_S_strat=,0.394663, 
