B01, Trade, 4319537.643, 123, S01, B01, 1
B01, Trade, 4319546.143, 79, S04, B01, 1
B01, Trade, 4319553.193, 77, B01, S09, 1
B01, Trade, 4319555.643, 95, S07, B01, 1
B01, Trade, 4319563.043, 130, B01, S08, 1
B01, Trade, 4319571.493, 99, S01, B01, 1
B01, Trade, 4319575.993, 85, B01, S01, 1
B01, Trade, 4319585.443, 80, S07, B01, 1
B01, Trade, 4319588.143, 61, S03, B01, 1
B01, Trade, 4319595.943, 121, B01, S09, 1
B01, Trade, 4319601.393, 77, S04, B01, 1
B01, Trade, 4319605.543, 84, S08, B01, 1
B01, Trade, 4319613.393, 69, S04, B01, 1
B01, Trade, 4319620.443, 107, S01, B01, 1
B01, Trade, 4319622.143, 115, B01, S00, 1
B01, Trade, 4319626.043, 105, S04, B01, 1
B01, Trade, 4319630.293, 60, S08, B01, 1
B01, Trade, 4319635.793, 78, S01, B01, 1
B01, Trade, 4319649.643, 100, B01, S03, 1
B01, Trade, 4319656.043, 61, S05, B01, 1
B01, Trade, 4319658.493, 96, S04, B01, 1
B01, Trade, 4319665.443, 66, S02, B01, 1
B01, Trade, 4319674.293, 73, B01, S03, 1
B01, Trade, 4319679.143, 119, B01, S01, 1
B01, Trade, 4319682.143, 97, B01, S02, 1
B01, Trade, 4319688.243, 125, B01, S08, 1
B01, Trade, 4319690.993, 126, B01, S03, 1
B01, Trade, 4319697.893, 68, S04, B01, 1
B01, Trade, 4319705.943, 139, B01, S09, 1
B01, Trade, 4319714.793, 67, S05, B01, 1
B01, Trade, 4319722.693, 137, B01, S01, 1
B01, Trade, 4319727.093, 89, B01, S02, 1
B01, Trade, 4319735.493, 105, S01, B01, 1
B01, Trade, 4319739.243, 92, B01, S00, 1
B01, Trade, 4319747.593, 136, B01, S08, 1
B01, Trade, 4319753.443, 136, B01, S03, 1
B01, Trade, 4319761.143, 103, B01, S02, 1
B01, Trade, 4319766.843, 131, B01, S00, 1
B01, Trade, 4319772.343, 125, B01, S01, 1
B01, Trade, 4319776.943, 120, B01, S07, 1
B01, Trade, 4319783.043, 116, B01, S01, 1
B01, Trade, 4319784.343, 126, B01, S02, 1
B01, Trade, 4319790.493, 137, B01, S09, 1
B01, Trade, 4319797.293, 96, B01, S08, 1
