B00, 100
B00, Trade, 4319433.693, 137, B00, S04, 1
B00, Trade, 4319439.893, 75, B00, S04, 1
B00, Trade, 4319447.793, 128, B00, S01, 1
B00, Trade, 4319452.143, 139, B00, S07, 1
B00, Trade, 4319458.043, 137, B00, S03, 1
B00, Trade, 4319465.743, 71, S08, B00, 1
B00, Trade, 4319469.093, 139, B00, S03, 1
B00, Trade, 4319478.693, 100, B00, S04, 1
B00, Trade, 4319482.193, 109, B00, S08, 1
B00, Trade, 4319487.943, 109, B00, S00, 1
B00, Trade, 4319494.993, 140, B00, S03, 1
B00, Trade, 4319497.893, 133, B00, S03, 1
B00, Trade, 4319503.443, 121, B00, S01, 1
B00, Trade, 4319511.543, 94, S01, B00, 1
B00, Trade, 4319511.893, 108, S02, B00, 1
B00, Trade, 4319519.943, 130, B00, S02, 1
B00, Trade, 4319523.493, 127, S01, B00, 1
B00, Trade, 4319529.593, 118, S00, B00, 1
B00, Trade, 4319536.143, 131, S08, B00, 1
B00, Trade, 4319536.943, 101, B00, S02, 1
B00, Trade, 4319545.793, 106, B00, S02, 1
B00, Trade, 4319550.393, 79, S06, B00, 1
B00, Trade, 4319558.743, 99, S01, B00, 1
B00, Trade, 4319565.743, 140, B00, S06, 1
B00, Trade, 4319571.293, 128, B00, S06, 1
B00, Trade, 4319580.793, 129, B00, S02, 1
B00, Trade, 4319589.393, 100, S01, B00, 1
B00, Trade, 4319592.893, 135, B00, S01, 1
B00, Trade, 4319595.193, 124, S07, B00, 1
B00, Trade, 4319603.393, 124, B00, S03, 1
B00, Trade, 4319613.043, 134, B00, S05, 1
B00, Trade, 4319616.693, 91, S09, B00, 1
B00, Trade, 4319623.743, 97, S02, B00, 1
B00, Trade, 4319625.293, 131, B00, S05, 1
B00, Trade, 4319632.543, 91, S02, B00, 1
B00, Trade, 4319639.893, 107, S08, B00, 1
B00, Trade, 4319645.093, 127, B00, S02, 1
B00, Trade, 4319648.293, 112, B00, S03, 1
B00, Trade, 4319650.943, 117, B00, S09, 1
B00, Trade, 4319657.093, 112, B00, S01, 1
B00, Trade, 4319661.193, 140, B00, S05, 1
B00, Trade, 4319665.643, 116, S09, B00, 1
B00, Trade, 4319670.793, 139, B00, S02, 1
B00, Trade, 4319681.293, 106, S06, B00, 1
B00, Trade, 4319685.643, 94, S00, B00, 1
B00, Trade, 4319693.643, 138, S08, B00, 1
B00, Trade, 4319698.443, 126, B00, S04, 1
B00, Trade, 4319706.293, 90, B00, S00, 1
B00, Trade, 4319709.293, 95, S06, B00, 1
B00, Trade, 4319713.493, 133, B00, S00, 1
B00, Trade, 4319721.893, 130, S00, B00, 1
B00, Trade, 4319726.493, 132, B00, S03, 1
B00, Trade, 4319730.893, 133, S05, B00, 1
B00, Trade, 4319738.043, 131, B00, S09, 1
B00, Trade, 4319744.743, 119, B00, S06, 1
B00, Trade, 4319750.893, 121, S01, B00, 1
B00, Trade, 4319754.193, 104, S03, B00, 1
B00, Trade, 4319763.593, 104, B00, S06, 1
B00, Trade, 4319773.043, 127, B00, S07, 1
B00, Trade, 4319774.693, 118, B00, S04, 1
B00, Trade, 4319779.393, 123, B00, S06, 1
B00, Trade, 4319783.143, 138, B00, S09, 1
B00, Trade, 4319789.493, 99, B00, S03, 1
B00, Trade, 4319793.643, 131, S07, B00, 1
B00, Trade, 4319798.643, 109, S04, B00, 1
B00, Trade, 4319802.443, 93, B00, S05, 1
B00, Trade, 4319809.043, 113, B00, S07, 1
B00, Trade, 4319815.593, 112, S01, B00, 1
B00, Trade, 4319824.293, 118, B00, S02, 1
B00, Trade, 4319826.143, 123, B00, S04, 1
B00, Trade, 4319832.443, 107, B00, S06, 1
B00, Trade, 4319834.543, 140, B00, S08, 1
B00, Trade, 4319840.993, 125, B00, S05, 1
B00, Trade, 4319847.043, 107, B00, S05, 1
B00, Trade, 4319852.493, 113, B00, S03, 1
B00, Trade, 4319856.593, 73, S06, B00, 1
B00, Trade, 4319864.993, 134, B00, S07, 1
B00, Trade, 4319868.493, 124, S08, B00, 1
B00, Trade, 4319877.943, 86, S07, B00, 1
B00, Trade, 4319881.043, 98, B00, S08, 1
B00, Trade, 4319890.593, 140, B00, S07, 1
B00, Trade, 4319895.943, 128, B00, S06, 1
B00, Trade, 4319901.093, 114, B00, S05, 1
B00, Trade, 4319909.443, 130, B00, S04, 1
B00, Trade, 4319911.943, 66, S02, B00, 1
B00, Trade, 4319919.793, 117, B00, S04, 1
B00, Trade, 4319922.943, 94, B00, S03, 1
B00, Trade, 4319927.443, 95, S05, B00, 1
B00, Trade, 4319935.243, 117, S08, B00, 1
B00, Trade, 4319943.893, 116, B00, S09, 1
B00, Trade, 4319948.793, 133, B00, S07, 1
B00, Trade, 4319955.243, 137, B00, S03, 1
B00, Trade, 4319958.643, 108, S03, B00, 1
B00, Trade, 4319964.893, 137, S01, B00, 1
B00, Trade, 4319971.493, 122, B00, S07, 1
B00, Trade, 4319974.143, 131, B00, S05, 1
B00, Trade, 4319977.593, 101, S05, B00, 1
B00, Trade, 4319985.843, 130, B00, S03, 1
B00, Trade, 4319987.043, 134, B00, S07, 1
B00, Trade, 4319995.343, 108, S04, B00, 1
B01, 100
B01, Trade, 4319457.843, 138, B01, S01, 1
B01, Trade, 4319463.093, 123, S04, B01, 1
B01, Trade, 4319470.843, 127, B01, S01, 1
B01, Trade, 4319472.743, 137, B01, S09, 1
B01, Trade, 4319481.943, 129, B01, S05, 1
B01, Trade, 4319484.343, 124, S06, B01, 1
B01, Trade, 4319490.843, 134, B01, S06, 1
B01, Trade, 4319493.343, 132, B01, S01, 1
B01, Trade, 4319499.243, 130, B01, S05, 1
B01, Trade, 4319502.593, 99, S09, B01, 1
B01, Trade, 4319508.093, 140, B01, S03, 1
B01, Trade, 4319514.793, 106, S08, B01, 1
B01, Trade, 4319518.443, 97, S05, B01, 1
B01, Trade, 4319525.693, 107, S07, B01, 1
B01, Trade, 4319530.793, 133, B01, S01, 1
B01, Trade, 4319533.043, 118, S05, B01, 1
B01, Trade, 4319540.543, 133, B01, S01, 1
B01, Trade, 4319545.643, 110, S00, B01, 1
B01, Trade, 4319549.543, 127, B01, S02, 1
B01, Trade, 4319553.243, 134, S07, B01, 1
B01, Trade, 4319561.093, 140, B01, S02, 1
B01, Trade, 4319563.893, 103, S09, B01, 1
B01, Trade, 4319570.043, 140, B01, S07, 1
B01, Trade, 4319574.743, 139, B01, S08, 1
B01, Trade, 4319581.743, 136, B01, S09, 1
B01, Trade, 4319583.343, 127, B01, S06, 1
B01, Trade, 4319590.243, 123, B01, S02, 1
B01, Trade, 4319598.343, 136, B01, S05, 1
B01, Trade, 4319604.993, 133, B01, S07, 1
B01, Trade, 4319613.243, 129, B01, S06, 1
B01, Trade, 4319624.693, 116, B01, S06, 1
B01, Trade, 4319635.043, 139, B01, S08, 1
B01, Trade, 4319637.143, 112, S06, B01, 1
B01, Trade, 4319646.843, 140, B01, S08, 1
B01, Trade, 4319647.593, 140, B01, S05, 1
B01, Trade, 4319654.343, 138, B01, S05, 1
B01, Trade, 4319656.943, 138, B01, S07, 1
B01, Trade, 4319661.993, 137, B01, S04, 1
B01, Trade, 4319668.293, 108, S05, B01, 1
B01, Trade, 4319669.543, 102, S03, B01, 1
B01, Trade, 4319674.243, 96, S07, B01, 1
B01, Trade, 4319684.143, 104, S01, B01, 1
B01, Trade, 4319686.143, 82, S05, B01, 1
B01, Trade, 4319694.343, 138, B01, S07, 1
B01, Trade, 4319696.343, 132, B01, S00, 1
B01, Trade, 4319704.143, 96, S08, B01, 1
B01, Trade, 4319705.693, 103, S01, B01, 1
B01, Trade, 4319715.243, 124, B01, S07, 1
B01, Trade, 4319716.793, 131, S04, B01, 1
B01, Trade, 4319721.543, 120, S02, B01, 1
B01, Trade, 4319725.793, 137, B01, S01, 1
B01, Trade, 4319733.243, 130, B01, S03, 1
B01, Trade, 4319741.093, 125, B01, S07, 1
B01, Trade, 4319745.843, 112, B01, S05, 1
B01, Trade, 4319748.343, 105, S04, B01, 1
B01, Trade, 4319753.593, 63, S08, B01, 1
B01, Trade, 4319761.743, 121, S03, B01, 1
B01, Trade, 4319762.893, 125, S00, B01, 1
B01, Trade, 4319771.743, 137, B01, S03, 1
B01, Trade, 4319774.643, 140, B01, S01, 1
B01, Trade, 4319780.343, 138, B01, S08, 1
B01, Trade, 4319788.243, 140, B01, S09, 1
B01, Trade, 4319789.393, 138, B01, S02, 1
B01, Trade, 4319793.793, 129, B01, S06, 1
B01, Trade, 4319799.643, 103, S08, B01, 1
B01, Trade, 4319806.943, 89, S06, B01, 1
B01, Trade, 4319813.943, 131, S00, B01, 1
B01, Trade, 4319817.643, 135, B01, S07, 1
B01, Trade, 4319825.193, 98, S05, B01, 1
B01, Trade, 4319831.243, 138, B01, S07, 1
B01, Trade, 4319837.093, 89, S03, B01, 1
B01, Trade, 4319841.293, 138, B01, S02, 1
B01, Trade, 4319849.443, 136, B01, S00, 1
B01, Trade, 4319853.043, 134, S07, B01, 1
B01, Trade, 4319858.193, 103, S01, B01, 1
B01, Trade, 4319862.193, 137, B01, S03, 1
B01, Trade, 4319869.443, 136, S04, B01, 1
B01, Trade, 4319871.943, 118, S07, B01, 1
B01, Trade, 4319877.843, 68, S02, B01, 1
B01, Trade, 4319884.143, 126, S02, B01, 1
B01, Trade, 4319886.843, 128, S08, B01, 1
B01, Trade, 4319892.993, 135, B01, S02, 1
B01, Trade, 4319893.993, 135, B01, S00, 1
B01, Trade, 4319902.093, 126, B01, S00, 1
B01, Trade, 4319907.593, 109, S00, B01, 1
B01, Trade, 4319913.943, 132, B01, S09, 1
B01, Trade, 4319915.393, 79, S01, B01, 1
B01, Trade, 4319923.843, 98, S08, B01, 1
B01, Trade, 4319933.793, 80, S07, B01, 1
B01, Trade, 4319939.543, 138, B01, S08, 1
B01, Trade, 4319942.843, 138, B01, S01, 1
B01, Trade, 4319950.043, 115, S08, B01, 1
B01, Trade, 4319959.943, 71, S06, B01, 1
B01, Trade, 4319963.743, 120, S04, B01, 1
B01, Trade, 4319967.143, 139, B01, S06, 1
B01, Trade, 4319973.543, 137, B01, S01, 1
B01, Trade, 4319978.593, 132, B01, S02, 1
B01, Trade, 4319983.643, 140, B01, S09, 1
B01, Trade, 4319986.493, 140, B01, S00, 1
B01, Trade, 4319992.343, 138, B01, S01, 1
B02, 100
B02, Trade, 4319138.243, 98, S04, B02, 1
B02, Trade, 4319142.243, 108, B02, S05, 1
B02, Trade, 4319152.693, 94, S05, B02, 1
B02, Trade, 4319156.343, 92, S09, B02, 1
B02, Trade, 4319178.443, 115, B02, S06, 1
B02, Trade, 4319197.893, 135, B02, S09, 1
B02, Trade, 4319206.393, 99, B02, S03, 1
B02, Trade, 4319210.193, 127, S06, B02, 1
B02, Trade, 4319214.243, 113, B02, S02, 1
B02, Trade, 4319227.343, 68, B02, S09, 1
B02, Trade, 4319242.643, 104, B02, S02, 1
B02, Trade, 4319251.243, 118, B02, S06, 1
B02, Trade, 4319258.393, 113, B02, S07, 1
B02, Trade, 4319282.643, 101, B02, S04, 1
B02, Trade, 4319290.043, 92, B02, S02, 1
B02, Trade, 4319308.093, 68, B02, S02, 1
B02, Trade, 4319310.393, 81, B02, S06, 1
B02, Trade, 4319320.943, 106, B02, S06, 1
B02, Trade, 4319328.643, 104, B02, S03, 1
B02, Trade, 4319332.393, 130, B02, S02, 1
B02, Trade, 4319340.493, 112, S09, B02, 1
B02, Trade, 4319344.643, 104, B02, S04, 1
B02, Trade, 4319354.993, 110, B02, S01, 1
B02, Trade, 4319359.793, 93, B02, S02, 1
B02, Trade, 4319367.843, 130, B02, S09, 1
B02, Trade, 4319372.293, 138, B02, S05, 1
B02, Trade, 4319385.643, 105, B02, S05, 1
B02, Trade, 4319389.493, 118, B02, S08, 1
B02, Trade, 4319401.843, 109, B02, S05, 1
B02, Trade, 4319442.443, 108, B02, S07, 1
B02, Trade, 4319455.393, 90, B02, S01, 1
B02, Trade, 4319461.093, 90, S07, B02, 1
B02, Trade, 4319468.343, 72, S05, B02, 1
B02, Trade, 4319476.943, 99, S05, B02, 1
B02, Trade, 4319479.593, 92, S03, B02, 1
B02, Trade, 4319488.343, 98, B02, S01, 1
B02, Trade, 4319511.093, 74, B02, S06, 1
B02, Trade, 4319517.993, 88, S04, B02, 1
B02, Trade, 4319529.343, 110, B02, S02, 1
B02, Trade, 4319532.743, 80, S04, B02, 1
B02, Trade, 4319548.093, 69, B02, S05, 1
B02, Trade, 4319555.243, 94, B02, S08, 1
B02, Trade, 4319561.343, 125, B02, S07, 1
B02, Trade, 4319563.193, 86, S09, B02, 1
B02, Trade, 4319575.643, 106, B02, S05, 1
B02, Trade, 4319578.843, 129, B02, S00, 1
B02, Trade, 4319585.343, 96, B02, S07, 1
B02, Trade, 4319595.343, 107, B02, S03, 1
B02, Trade, 4319599.343, 94, S06, B02, 1
B02, Trade, 4319608.993, 110, B02, S02, 1
B02, Trade, 4319617.493, 98, S01, B02, 1
B02, Trade, 4319627.343, 123, B02, S08, 1
B02, Trade, 4319632.593, 103, S05, B02, 1
B02, Trade, 4319639.493, 118, B02, S03, 1
B02, Trade, 4319642.693, 93, B02, S05, 1
B02, Trade, 4319657.693, 91, B02, S02, 1
B02, Trade, 4319663.843, 97, B02, S00, 1
B02, Trade, 4319667.193, 92, S04, B02, 1
B02, Trade, 4319672.893, 70, S06, B02, 1
B02, Trade, 4319679.343, 126, B02, S02, 1
B02, Trade, 4319682.443, 128, B02, S05, 1
B02, Trade, 4319694.943, 82, B02, S08, 1
B02, Trade, 4319701.943, 75, S02, B02, 1
B02, Trade, 4319707.993, 89, S05, B02, 1
B02, Trade, 4319716.293, 120, S09, B02, 1
B02, Trade, 4319718.443, 93, B02, S03, 1
B02, Trade, 4319722.343, 110, B02, S03, 1
B02, Trade, 4319735.043, 77, B02, S06, 1
B02, Trade, 4319740.143, 92, S03, B02, 1
B02, Trade, 4319745.343, 111, B02, S08, 1
B02, Trade, 4319757.943, 95, S02, B02, 1
B02, Trade, 4319772.893, 127, B02, S08, 1
B02, Trade, 4319783.393, 109, B02, S08, 1
B02, Trade, 4319800.943, 81, S01, B02, 1
B02, Trade, 4319803.893, 94, S02, B02, 1
B02, Trade, 4319811.793, 131, B02, S07, 1
B02, Trade, 4319815.543, 111, B02, S06, 1
B02, Trade, 4319823.043, 118, B02, S03, 1
B02, Trade, 4319829.293, 96, B02, S01, 1
B02, Trade, 4319829.793, 124, S09, B02, 1
B02, Trade, 4319833.893, 112, B02, S01, 1
B02, Trade, 4319846.493, 114, S01, B02, 1
B02, Trade, 4319851.743, 106, B02, S05, 1
B02, Trade, 4319858.393, 85, B02, S08, 1
B02, Trade, 4319867.493, 122, B02, S01, 1
B02, Trade, 4319871.493, 87, S05, B02, 1
B02, Trade, 4319882.843, 95, S01, B02, 1
