B00, 100
B00, Trade, 4319411.143, 135, B00, S07, 1
B00, Trade, 4319412.543, 140, B00, S03, 1
B00, Trade, 4319422.293, 65, S01, B00, 1
B00, Trade, 4319431.393, 140, B00, S07, 1
B00, Trade, 4319439.443, 140, B00, S07, 1
B00, Trade, 4319444.793, 140, B00, S00, 1
B00, Trade, 4319452.143, 140, B00, S01, 1
B00, Trade, 4319459.343, 140, B00, S06, 1
B00, Trade, 4319460.893, 140, B00, S00, 1
B00, Trade, 4319468.643, 138, B00, S07, 1
B00, Trade, 4319476.143, 140, B00, S06, 1
B00, Trade, 4319479.993, 140, B00, S05, 1
B00, Trade, 4319486.243, 140, B00, S00, 1
B00, Trade, 4319495.893, 139, B00, S03, 1
B00, Trade, 4319497.543, 130, S02, B00, 1
B00, Trade, 4319501.943, 140, B00, S03, 1
B00, Trade, 4319507.843, 134, S02, B00, 1
B00, Trade, 4319517.493, 139, B00, S08, 1
B00, Trade, 4319522.193, 140, B00, S00, 1
B00, Trade, 4319529.193, 140, B00, S03, 1
B00, Trade, 4319536.793, 139, B00, S01, 1
B00, Trade, 4319541.093, 140, B00, S01, 1
B00, Trade, 4319546.993, 140, B00, S03, 1
B00, Trade, 4319553.843, 140, B00, S07, 1
B00, Trade, 4319558.143, 139, B00, S09, 1
B00, Trade, 4319559.393, 140, B00, S01, 1
B00, Trade, 4319570.793, 139, B00, S03, 1
B00, Trade, 4319580.543, 140, B00, S00, 1
B00, Trade, 4319581.993, 140, B00, S07, 1
B00, Trade, 4319588.843, 140, B00, S09, 1
B00, Trade, 4319593.793, 140, B00, S01, 1
B00, Trade, 4319597.243, 140, B00, S03, 1
B00, Trade, 4319600.343, 140, B00, S03, 1
B00, Trade, 4319605.293, 140, B00, S03, 1
B00, Trade, 4319613.543, 140, B00, S07, 1
B00, Trade, 4319621.143, 140, B00, S09, 1
B00, Trade, 4319622.443, 138, B00, S08, 1
B00, Trade, 4319628.643, 139, B00, S01, 1
B00, Trade, 4319633.993, 140, B00, S03, 1
B00, Trade, 4319638.843, 140, B00, S07, 1
B00, Trade, 4319651.043, 140, B00, S07, 1
B00, Trade, 4319656.343, 139, B00, S03, 1
B00, Trade, 4319664.293, 140, B00, S01, 1
B00, Trade, 4319673.793, 139, B00, S01, 1
B00, Trade, 4319680.393, 139, B00, S07, 1
B00, Trade, 4319686.743, 140, B00, S09, 1
B00, Trade, 4319693.293, 138, B00, S02, 1
B00, Trade, 4319701.093, 140, B00, S07, 1
B00, Trade, 4319707.493, 140, B00, S01, 1
B00, Trade, 4319712.043, 140, B00, S07, 1
B00, Trade, 4319720.143, 140, B00, S05, 1
B00, Trade, 4319724.493, 140, B00, S03, 1
B00, Trade, 4319728.843, 137, B00, S09, 1
B00, Trade, 4319737.743, 140, B00, S07, 1
B00, Trade, 4319741.193, 60, S09, B00, 1
B00, Trade, 4319748.193, 138, B00, S01, 1
B00, Trade, 4319757.643, 140, B00, S01, 1
B00, Trade, 4319770.043, 140, B00, S00, 1
B00, Trade, 4319773.043, 140, B00, S07, 1
B00, Trade, 4319780.693, 140, B00, S04, 1
B00, Trade, 4319785.993, 140, B00, S07, 1
B00, Trade, 4319791.843, 140, B00, S01, 1
B00, Trade, 4319799.043, 138, B00, S03, 1
B00, Trade, 4319806.243, 140, B00, S00, 1
B00, Trade, 4319811.893, 139, B00, S09, 1
B00, Trade, 4319814.043, 140, B00, S02, 1
B00, Trade, 4319823.143, 140, B00, S07, 1
B00, Trade, 4319827.293, 140, B00, S03, 1
B00, Trade, 4319830.493, 140, B00, S04, 1
B00, Trade, 4319834.493, 138, B00, S00, 1
B00, Trade, 4319846.543, 139, B00, S08, 1
B00, Trade, 4319853.293, 140, B00, S03, 1
B00, Trade, 4319857.693, 140, B00, S06, 1
B00, Trade, 4319861.843, 140, B00, S07, 1
B00, Trade, 4319865.993, 139, B00, S01, 1
B00, Trade, 4319869.543, 140, B00, S09, 1
B00, Trade, 4319875.343, 139, B00, S03, 1
B00, Trade, 4319881.493, 140, B00, S08, 1
B00, Trade, 4319884.893, 140, B00, S03, 1
B00, Trade, 4319894.193, 137, B00, S07, 1
B00, Trade, 4319896.893, 76, S05, B00, 1
B00, Trade, 4319900.893, 140, B00, S09, 1
B00, Trade, 4319906.193, 135, S04, B00, 1
B00, Trade, 4319912.093, 65, S00, B00, 1
B00, Trade, 4319919.393, 140, B00, S01, 1
B00, Trade, 4319922.393, 138, B00, S03, 1
B00, Trade, 4319929.093, 140, B00, S00, 1
B00, Trade, 4319933.243, 125, S02, B00, 1
B00, Trade, 4319937.693, 140, B00, S01, 1
B00, Trade, 4319941.143, 138, B00, S08, 1
B00, Trade, 4319947.143, 138, B00, S09, 1
B00, Trade, 4319955.843, 140, B00, S00, 1
B00, Trade, 4319959.743, 138, B00, S08, 1
B00, Trade, 4319963.343, 140, B00, S08, 1
B00, Trade, 4319970.093, 140, B00, S00, 1
B00, Trade, 4319974.193, 140, B00, S01, 1
B00, Trade, 4319978.893, 139, B00, S08, 1
B00, Trade, 4319982.693, 140, B00, S09, 1
B00, Trade, 4319986.693, 139, B00, S08, 1
B00, Trade, 4319994.293, 138, B00, S09, 1
B01, 100
B01, Trade, 4319395.293, 136, B01, S04, 1
B01, Trade, 4319403.643, 140, B01, S06, 1
B01, Trade, 4319407.943, 62, S07, B01, 1
B01, Trade, 4319411.893, 139, B01, S09, 1
B01, Trade, 4319418.243, 134, S05, B01, 1
B01, Trade, 4319422.743, 60, S05, B01, 1
B01, Trade, 4319432.593, 140, B01, S01, 1
B01, Trade, 4319441.043, 139, B01, S00, 1
B01, Trade, 4319443.643, 140, B01, S09, 1
B01, Trade, 4319449.243, 140, B01, S00, 1
B01, Trade, 4319458.293, 140, B01, S02, 1
B01, Trade, 4319465.743, 134, B01, S02, 1
B01, Trade, 4319470.843, 140, B01, S09, 1
B01, Trade, 4319477.993, 139, B01, S07, 1
B01, Trade, 4319485.793, 138, B01, S07, 1
B01, Trade, 4319489.143, 139, B01, S03, 1
B01, Trade, 4319497.243, 138, B01, S06, 1
B01, Trade, 4319499.593, 140, B01, S08, 1
B01, Trade, 4319505.293, 139, B01, S01, 1
B01, Trade, 4319508.393, 61, S00, B01, 1
B01, Trade, 4319518.593, 140, B01, S01, 1
B01, Trade, 4319528.393, 140, B01, S06, 1
B01, Trade, 4319536.443, 140, B01, S07, 1
B01, Trade, 4319541.543, 133, B01, S00, 1
B01, Trade, 4319549.443, 140, B01, S09, 1
B01, Trade, 4319554.943, 133, B01, S01, 1
B01, Trade, 4319560.543, 140, B01, S00, 1
B01, Trade, 4319566.693, 139, S05, B01, 1
B01, Trade, 4319571.743, 140, B01, S00, 1
B01, Trade, 4319582.843, 139, B01, S02, 1
B01, Trade, 4319589.443, 140, B01, S08, 1
B01, Trade, 4319591.593, 140, B01, S00, 1
B01, Trade, 4319595.443, 140, B01, S08, 1
B01, Trade, 4319603.543, 140, B01, S09, 1
B01, Trade, 4319607.493, 139, S05, B01, 1
B01, Trade, 4319615.193, 138, B01, S00, 1
B01, Trade, 4319621.893, 140, B01, S01, 1
B01, Trade, 4319625.193, 140, B01, S00, 1
B01, Trade, 4319632.443, 140, B01, S03, 1
B01, Trade, 4319634.993, 140, B01, S04, 1
B01, Trade, 4319644.793, 139, B01, S01, 1
B01, Trade, 4319645.943, 139, B01, S04, 1
B01, Trade, 4319650.343, 140, B01, S00, 1
B01, Trade, 4319662.593, 139, B01, S07, 1
B01, Trade, 4319669.393, 138, B01, S09, 1
B01, Trade, 4319675.143, 139, B01, S06, 1
B01, Trade, 4319680.093, 140, B01, S03, 1
B01, Trade, 4319688.593, 139, B01, S01, 1
B01, Trade, 4319692.143, 140, B01, S07, 1
B01, Trade, 4319698.193, 140, B01, S08, 1
B01, Trade, 4319704.743, 140, B01, S03, 1
B01, Trade, 4319712.993, 139, B01, S03, 1
B01, Trade, 4319719.193, 140, B01, S06, 1
B01, Trade, 4319723.543, 139, B01, S04, 1
B01, Trade, 4319728.743, 139, B01, S06, 1
B01, Trade, 4319732.393, 140, B01, S00, 1
B01, Trade, 4319741.293, 60, S05, B01, 1
B01, Trade, 4319753.293, 138, B01, S09, 1
B01, Trade, 4319756.843, 140, B01, S04, 1
B01, Trade, 4319761.793, 140, B01, S03, 1
B01, Trade, 4319770.593, 139, B01, S01, 1
B01, Trade, 4319776.893, 139, B01, S08, 1
B01, Trade, 4319781.543, 140, B01, S07, 1
B01, Trade, 4319788.293, 140, B01, S07, 1
B01, Trade, 4319792.393, 140, B01, S09, 1
B01, Trade, 4319798.593, 140, B01, S07, 1
B01, Trade, 4319802.393, 139, B01, S07, 1
B01, Trade, 4319808.593, 140, B01, S09, 1
B01, Trade, 4319809.193, 139, S05, B01, 1
B01, Trade, 4319815.493, 140, B01, S07, 1
B01, Trade, 4319820.543, 138, B01, S08, 1
B01, Trade, 4319828.943, 140, B01, S07, 1
B01, Trade, 4319835.643, 137, B01, S02, 1
B01, Trade, 4319842.093, 140, B01, S07, 1
B01, Trade, 4319845.343, 140, B01, S04, 1
B01, Trade, 4319849.793, 140, B01, S07, 1
B01, Trade, 4319858.893, 140, B01, S07, 1
B01, Trade, 4319861.793, 140, B01, S00, 1
B01, Trade, 4319869.443, 140, B01, S07, 1
B01, Trade, 4319873.043, 140, B01, S06, 1
B01, Trade, 4319878.043, 139, B01, S06, 1
B01, Trade, 4319880.793, 137, B01, S00, 1
B01, Trade, 4319886.593, 140, B01, S00, 1
B01, Trade, 4319894.893, 140, B01, S00, 1
B01, Trade, 4319902.543, 140, B01, S01, 1
B01, Trade, 4319909.793, 60, S00, B01, 1
B01, Trade, 4319919.793, 139, B01, S02, 1
B01, Trade, 4319925.893, 139, B01, S04, 1
B01, Trade, 4319928.493, 140, B01, S09, 1
B01, Trade, 4319935.443, 122, S04, B01, 1
B01, Trade, 4319947.093, 140, B01, S03, 1
B01, Trade, 4319955.143, 140, B01, S01, 1
B01, Trade, 4319958.393, 140, B01, S09, 1
B01, Trade, 4319964.393, 138, B01, S00, 1
B01, Trade, 4319970.743, 140, B01, S07, 1
B01, Trade, 4319975.543, 139, B01, S06, 1
B01, Trade, 4319978.243, 140, B01, S06, 1
B01, Trade, 4319983.593, 140, B01, S07, 1
B01, Trade, 4319989.393, 140, B01, S01, 1
B01, Trade, 4319997.743, 140, B01, S06, 1
B02, 100
B02, Trade, 4319397.593, 139, B02, S07, 1
B02, Trade, 4319402.343, 140, B02, S09, 1
B02, Trade, 4319406.293, 140, B02, S01, 1
B02, Trade, 4319410.543, 136, S04, B02, 1
B02, Trade, 4319420.393, 135, B02, S06, 1
B02, Trade, 4319424.693, 73, S07, B02, 1
B02, Trade, 4319427.743, 137, B02, S01, 1
B02, Trade, 4319437.243, 140, B02, S09, 1
B02, Trade, 4319442.193, 140, B02, S01, 1
B02, Trade, 4319459.993, 139, B02, S09, 1
B02, Trade, 4319463.343, 139, B02, S03, 1
B02, Trade, 4319468.193, 140, B02, S08, 1
B02, Trade, 4319477.693, 139, B02, S00, 1
B02, Trade, 4319488.493, 140, B02, S07, 1
B02, Trade, 4319494.843, 140, B02, S01, 1
B02, Trade, 4319501.493, 140, B02, S00, 1
B02, Trade, 4319503.793, 140, B02, S05, 1
B02, Trade, 4319510.793, 140, B02, S09, 1
B02, Trade, 4319519.343, 140, B02, S06, 1
B02, Trade, 4319522.093, 140, B02, S02, 1
B02, Trade, 4319526.393, 140, B02, S07, 1
B02, Trade, 4319531.293, 140, B02, S00, 1
B02, Trade, 4319537.943, 140, B02, S06, 1
B02, Trade, 4319541.243, 140, B02, S09, 1
B02, Trade, 4319544.343, 136, B02, S02, 1
B02, Trade, 4319556.293, 140, B02, S00, 1
B02, Trade, 4319562.743, 140, B02, S09, 1
B02, Trade, 4319573.843, 140, B02, S07, 1
B02, Trade, 4319581.693, 140, B02, S04, 1
B02, Trade, 4319585.193, 140, B02, S01, 1
B02, Trade, 4319588.343, 140, B02, S09, 1
B02, Trade, 4319598.443, 139, B02, S01, 1
B02, Trade, 4319603.293, 139, B02, S07, 1
B02, Trade, 4319608.743, 140, B02, S06, 1
B02, Trade, 4319610.543, 140, B02, S09, 1
B02, Trade, 4319616.243, 125, S02, B02, 1
B02, Trade, 4319625.643, 140, B02, S07, 1
B02, Trade, 4319626.643, 140, B02, S03, 1
B02, Trade, 4319639.643, 140, B02, S09, 1
B02, Trade, 4319645.493, 140, B02, S07, 1
B02, Trade, 4319647.593, 139, B02, S06, 1
B02, Trade, 4319654.043, 65, S05, B02, 1
B02, Trade, 4319657.343, 137, B02, S09, 1
B02, Trade, 4319663.443, 139, B02, S00, 1
B02, Trade, 4319668.443, 140, B02, S04, 1
B02, Trade, 4319671.993, 140, B02, S07, 1
B02, Trade, 4319679.843, 140, B02, S09, 1
B02, Trade, 4319685.243, 140, B02, S06, 1
B02, Trade, 4319690.593, 139, B02, S09, 1
B02, Trade, 4319695.993, 137, B02, S06, 1
B02, Trade, 4319701.393, 140, B02, S09, 1
B02, Trade, 4319709.293, 140, B02, S02, 1
B02, Trade, 4319718.543, 139, B02, S07, 1
B02, Trade, 4319722.893, 139, B02, S09, 1
B02, Trade, 4319726.643, 137, B02, S01, 1
B02, Trade, 4319733.893, 140, B02, S07, 1
B02, Trade, 4319736.043, 140, B02, S08, 1
B02, Trade, 4319747.793, 140, B02, S02, 1
B02, Trade, 4319752.543, 140, B02, S06, 1
B02, Trade, 4319753.243, 140, B02, S00, 1
B02, Trade, 4319764.093, 134, B02, S07, 1
B02, Trade, 4319769.493, 140, B02, S06, 1
B02, Trade, 4319773.793, 138, B02, S01, 1
B02, Trade, 4319777.243, 137, B02, S09, 1
B02, Trade, 4319787.393, 140, B02, S06, 1
B02, Trade, 4319795.243, 140, B02, S06, 1
B02, Trade, 4319800.093, 140, B02, S00, 1
B02, Trade, 4319804.643, 139, B02, S03, 1
B02, Trade, 4319807.543, 140, B02, S05, 1
B02, Trade, 4319817.943, 139, B02, S00, 1
B02, Trade, 4319823.693, 140, B02, S00, 1
B02, Trade, 4319830.693, 139, B02, S09, 1
B02, Trade, 4319838.043, 140, B02, S06, 1
B02, Trade, 4319841.743, 139, B02, S03, 1
B02, Trade, 4319845.793, 140, B02, S07, 1
B02, Trade, 4319851.443, 140, B02, S09, 1
B02, Trade, 4319858.693, 140, B02, S09, 1
B02, Trade, 4319864.893, 137, B02, S03, 1
B02, Trade, 4319874.793, 140, B02, S01, 1
B02, Trade, 4319879.593, 140, B02, S09, 1
B02, Trade, 4319889.393, 140, B02, S09, 1
B02, Trade, 4319891.643, 140, B02, S03, 1
B02, Trade, 4319897.643, 139, B02, S02, 1
B02, Trade, 4319903.543, 140, B02, S02, 1
B02, Trade, 4319906.143, 130, S05, B02, 1
B02, Trade, 4319914.243, 66, S07, B02, 1
B02, Trade, 4319918.443, 140, B02, S09, 1
B02, Trade, 4319922.743, 138, B02, S02, 1
B02, Trade, 4319924.393, 140, B02, S00, 1
B02, Trade, 4319933.893, 139, B02, S02, 1
B02, Trade, 4319939.593, 138, B02, S09, 1
B02, Trade, 4319943.293, 123, S05, B02, 1
B02, Trade, 4319948.293, 60, S01, B02, 1
B02, Trade, 4319954.943, 140, B02, S03, 1
B02, Trade, 4319960.043, 139, B02, S07, 1
B02, Trade, 4319961.743, 138, B02, S07, 1
B02, Trade, 4319968.693, 139, B02, S08, 1
B02, Trade, 4319980.643, 136, B02, S03, 1
B02, Trade, 4319990.493, 140, B02, S06, 1
B02, Trade, 4319996.043, 139, B02, S07, 1
B03, 100
B03, Trade, 4319353.243, 122, B03, S01, 1
B03, Trade, 4319356.193, 129, B03, S09, 1
B03, Trade, 4319360.493, 140, B03, S07, 1
B03, Trade, 4319369.843, 140, B03, S03, 1
B03, Trade, 4319372.043, 140, B03, S01, 1
B03, Trade, 4319379.643, 140, B03, S07, 1
B03, Trade, 4319385.193, 140, B03, S00, 1
B03, Trade, 4319388.193, 139, B03, S01, 1
B03, Trade, 4319393.893, 140, B03, S02, 1
B03, Trade, 4319400.843, 140, B03, S07, 1
B03, Trade, 4319409.343, 140, B03, S06, 1
B03, Trade, 4319415.343, 140, B03, S00, 1
B03, Trade, 4319420.693, 109, B03, S03, 1
