B00, 100
B00, Trade, 4319422.493, 119, B00, S05, 1
B00, Trade, 4319429.093, 135, B00, S00, 1
B00, Trade, 4319434.743, 61, S02, B00, 1
B00, Trade, 4319438.393, 136, B00, S04, 1
B00, Trade, 4319443.043, 63, S08, B00, 1
B00, Trade, 4319449.843, 61, S03, B00, 1
B00, Trade, 4319451.443, 124, B00, S04, 1
B00, Trade, 4319461.093, 103, B00, S06, 1
B00, Trade, 4319464.743, 120, B00, S02, 1
B00, Trade, 4319470.993, 101, B00, S08, 1
B00, Trade, 4319471.243, 61, S04, B00, 1
B00, Trade, 4319476.343, 62, S02, B00, 1
B00, Trade, 4319487.143, 65, S02, B00, 1
B00, Trade, 4319487.793, 61, S07, B00, 1
B00, Trade, 4319496.593, 90, S01, B00, 1
B00, Trade, 4319501.993, 68, S02, B00, 1
B00, Trade, 4319512.593, 61, S02, B00, 1
B00, Trade, 4319516.693, 67, S06, B00, 1
B00, Trade, 4319524.643, 118, B00, S05, 1
B00, Trade, 4319529.493, 61, S08, B00, 1
B00, Trade, 4319537.193, 63, S08, B00, 1
B00, Trade, 4319540.143, 60, S02, B00, 1
B00, Trade, 4319546.343, 66, S00, B00, 1
B00, Trade, 4319554.093, 60, S01, B00, 1
B00, Trade, 4319558.943, 119, B00, S03, 1
B00, Trade, 4319565.943, 79, S05, B00, 1
B00, Trade, 4319568.793, 63, S07, B00, 1
B00, Trade, 4319574.543, 103, B00, S00, 1
B00, Trade, 4319581.143, 60, S08, B00, 1
B00, Trade, 4319585.943, 67, S07, B00, 1
B00, Trade, 4319594.993, 109, B00, S06, 1
B00, Trade, 4319599.193, 87, B00, S07, 1
B00, Trade, 4319601.943, 119, B00, S06, 1
B00, Trade, 4319607.643, 140, B00, S00, 1
B00, Trade, 4319609.593, 137, B00, S06, 1
B00, Trade, 4319621.893, 63, S08, B00, 1
B00, Trade, 4319624.493, 63, S04, B00, 1
B00, Trade, 4319630.293, 67, S05, B00, 1
B00, Trade, 4319637.243, 62, S02, B00, 1
B00, Trade, 4319644.643, 62, S06, B00, 1
B00, Trade, 4319655.793, 114, B00, S07, 1
B00, Trade, 4319659.343, 131, B00, S06, 1
B00, Trade, 4319663.093, 113, B00, S08, 1
B00, Trade, 4319667.943, 84, B00, S02, 1
B00, Trade, 4319672.993, 60, S08, B00, 1
B00, Trade, 4319677.243, 62, S07, B00, 1
B00, Trade, 4319679.893, 62, S00, B00, 1
B00, Trade, 4319688.943, 116, B00, S04, 1
B00, Trade, 4319698.693, 107, B00, S02, 1
B00, Trade, 4319704.643, 128, B00, S04, 1
B00, Trade, 4319706.093, 83, B00, S09, 1
B00, Trade, 4319714.443, 63, S08, B00, 1
B00, Trade, 4319722.993, 60, S08, B00, 1
B00, Trade, 4319731.293, 61, S06, B00, 1
B00, Trade, 4319740.143, 65, S08, B00, 1
B00, Trade, 4319745.543, 63, S00, B00, 1
B00, Trade, 4319748.943, 62, S05, B00, 1
B00, Trade, 4319757.393, 125, B00, S07, 1
B00, Trade, 4319758.543, 137, B00, S00, 1
B00, Trade, 4319766.543, 119, B00, S09, 1
B00, Trade, 4319770.693, 124, B00, S05, 1
B00, Trade, 4319775.043, 60, S02, B00, 1
B00, Trade, 4319778.493, 66, S02, B00, 1
B00, Trade, 4319783.943, 64, S08, B00, 1
