B00, 87
B00, Trade, 11497.200, 60, S00, B00, 1
B00, Trade, 13678.850, 60, B00, S00, 1
B00, Trade, 14265.500, 60, B00, S00, 1
B00, Trade, 108297.200, 60, B00, S00, 1
B00, Trade, 108505.300, 60, B00, S00, 1
B00, Trade, 109470.450, 60, B00, S00, 1
B00, Trade, 111602.350, 60, B00, S00, 1
B00, Trade, 112030.400, 60, B00, S00, 1
B00, Trade, 113843.250, 60, B00, S00, 1
B00, Trade, 114347.700, 60, S00, B00, 1
B00, Trade, 198128.450, 60, B00, S00, 1
B00, Trade, 198200.250, 60, B00, S00, 1
B00, Trade, 199645.700, 60, B00, S00, 1
B00, Trade, 329495.450, 60, B00, S00, 1
B00, Trade, 340541.300, 60, B00, S00, 1
B00, Trade, 341157.500, 60, B00, S00, 1
B00, Trade, 341787.200, 60, B00, S00, 1
B00, Trade, 344536.750, 60, B00, S00, 1
B00, Trade, 375853.150, 60, B00, S00, 1
B00, Trade, 397750.400, 60, B00, S00, 1
B00, Trade, 401916.500, 60, B00, S00, 1
B00, Trade, 411682.800, 60, B00, S00, 1
B00, Trade, 411924.400, 60, B00, S00, 1
B00, Trade, 412051.950, 60, B00, S00, 1
B00, Trade, 412834.550, 60, B00, S00, 1
B00, Trade, 413110.100, 60, B00, S00, 1
B00, Trade, 414379.350, 60, B00, S00, 1
B00, Trade, 414586.900, 60, B00, S00, 1
B00, Trade, 414971.400, 60, B00, S00, 1
B00, Trade, 415252.250, 60, B00, S00, 1
B00, Trade, 415390.000, 60, B00, S00, 1
B00, Trade, 416131.550, 60, B00, S00, 1
B00, Trade, 417047.050, 60, B00, S00, 1
B00, Trade, 417236.300, 60, B00, S00, 1
B00, Trade, 417377.550, 60, B00, S00, 1
B00, Trade, 417479.000, 60, B00, S00, 1
B00, Trade, 480470.400, 60, S00, B00, 1
B00, Trade, 512094.700, 60, B00, S00, 1
B00, Trade, 580762.550, 60, B00, S00, 1
B00, Trade, 778184.350, 60, B00, S00, 1
B00, Trade, 782110.900, 60, B00, S00, 1
B00, Trade, 782126.450, 60, B00, S00, 1
B00, Trade, 784267.250, 60, S00, B00, 1
B00, Trade, 1080639.400, 60, B00, S00, 1
B00, Trade, 1083292.500, 60, B00, S00, 1
B00, Trade, 1204897.451, 60, S00, B00, 1
B00, Trade, 1360176.151, 60, B00, S00, 1
B00, Trade, 1382611.351, 60, B00, S00, 1
B00, Trade, 1434014.101, 60, B00, S00, 1
B00, Trade, 1434957.851, 60, B00, S00, 1
B00, Trade, 1437518.701, 60, B00, S00, 1
B00, Trade, 1438796.951, 60, B00, S00, 1
B00, Trade, 1538820.051, 60, B00, S00, 1
B00, Trade, 1604930.201, 60, B00, S00, 1
B00, Trade, 1643022.751, 60, B00, S00, 1
B00, Trade, 2112524.751, 60, B00, S00, 1
B00, Trade, 2299953.851, 60, B00, S00, 1
B00, Trade, 2306971.051, 60, B00, S00, 1
B00, Trade, 2501435.800, 60, S00, B00, 1
B00, Trade, 2509270.050, 60, S00, B00, 1
B00, Trade, 2511202.100, 60, S00, B00, 1
B00, Trade, 2515866.650, 60, S00, B00, 1
B00, Trade, 2772544.149, 60, B00, S00, 1
B00, Trade, 2795449.249, 60, B00, S00, 1
B00, Trade, 2998147.748, 60, S00, B00, 1
B00, Trade, 3000229.498, 60, B00, S00, 1
B00, Trade, 3619501.546, 60, S00, B00, 1
B00, Trade, 3721275.845, 60, S00, B00, 1
B00, Trade, 4134400.894, 60, S00, B00, 1
B00, Trade, 4326459.643, 60, S00, B00, 1
B00, Trade, 4529092.192, 60, B00, S00, 1
B00, Trade, 4532643.142, 60, S00, B00, 1
