B00, 76
B00, Trade, 407510.000, 60, S00, B00, 1
B00, Trade, 642541.700, 60, B00, S00, 1
B00, Trade, 837363.000, 60, B00, S00, 1
B00, Trade, 869098.800, 60, B00, S00, 1
B00, Trade, 2112151.401, 60, S00, B00, 1
B00, Trade, 2319900.001, 60, B00, S00, 1
B00, Trade, 4553009.442, 60, S00, B00, 1
B00, Trade, 4556327.342, 60, B00, S00, 1
B00, Trade, 4980889.091, 60, B00, S00, 1
B00, Trade, 5130556.790, 60, B00, S00, 1
B00, Trade, 5651258.238, 60, B00, S00, 1
B00, Trade, 5668977.588, 60, S00, B00, 1
B00, Trade, 5672587.638, 60, B00, S00, 1
B00, Trade, 5698830.738, 60, B00, S00, 1
B00, Trade, 5793019.038, 60, B00, S00, 1
B00, Trade, 5802351.488, 60, B00, S00, 1
B00, Trade, 5870795.537, 60, B00, S00, 1
B00, Trade, 5871090.787, 60, S00, B00, 1
B00, Trade, 5885742.887, 60, B00, S00, 1
B00, Trade, 5892363.187, 60, B00, S00, 1
B00, Trade, 5903655.037, 60, S00, B00, 1
B00, Trade, 5969591.237, 60, B00, S00, 1
B00, Trade, 5992518.687, 60, S00, B00, 1
B00, Trade, 6003591.487, 60, B00, S00, 1
B00, Trade, 6095804.286, 60, S00, B00, 1
B00, Trade, 6100394.986, 60, S00, B00, 1
B00, Trade, 6297745.486, 60, B00, S00, 1
B00, Trade, 6299360.386, 60, B00, S00, 1
B00, Trade, 6400120.385, 60, S00, B00, 1
B00, Trade, 6413239.135, 60, B00, S00, 1
B00, Trade, 6450031.985, 60, S00, B00, 1
B00, Trade, 6602425.735, 60, B00, S00, 1
B00, Trade, 6695912.434, 60, B00, S00, 1
B00, Trade, 6845386.584, 60, B00, S00, 1
B00, Trade, 6880906.184, 60, S00, B00, 1
B00, Trade, 6913877.633, 60, B00, S00, 1
B00, Trade, 7047601.683, 60, B00, S00, 1
B00, Trade, 7089225.733, 60, B00, S00, 1
B00, Trade, 7120820.783, 60, S00, B00, 1
B00, Trade, 7185001.282, 60, B00, S00, 1
B00, Trade, 7220554.682, 60, S00, B00, 1
B00, Trade, 7226769.282, 60, B00, S00, 1
B00, Trade, 7308525.582, 60, B00, S00, 1
B00, Trade, 7309831.232, 60, B00, S00, 1
B00, Trade, 7311445.882, 60, S00, B00, 1
B00, Trade, 7312777.982, 60, S00, B00, 1
B00, Trade, 7476584.931, 60, B00, S00, 1
B00, Trade, 7483394.081, 60, B00, S00, 1
B00, Trade, 7484482.781, 60, B00, S00, 1
B00, Trade, 7501245.831, 60, B00, S00, 1
B00, Trade, 7696386.831, 60, S00, B00, 1
B00, Trade, 7750694.730, 60, S00, B00, 1
B00, Trade, 7793959.430, 60, B00, S00, 1
B00, Trade, 7911375.930, 60, S00, B00, 1
B00, Trade, 7913615.830, 60, S00, B00, 1
B00, Trade, 7918757.280, 60, B00, S00, 1
B00, Trade, 7982877.129, 60, B00, S00, 1
B00, Trade, 7991194.779, 60, B00, S00, 1
