B00, 100
B01, Trade, 8585413.081, 66, B01, S00, 1
B01, Trade, 8585532.981, 60, B01, S00, 1
B01, Trade, 8586255.931, 68, B01, S00, 1
B01, Trade, 8587427.681, 68, B01, S00, 1
B01, Trade, 8588780.331, 66, B01, S00, 1
B01, Trade, 8589097.581, 67, B01, S00, 1
B01, Trade, 8589232.381, 68, B01, S01, 1
B01, Trade, 8589643.481, 60, B01, S00, 1
B01, Trade, 8591158.831, 63, B01, S00, 1
B01, Trade, 8591311.931, 65, B01, S00, 1
B01, Trade, 8591363.931, 66, B01, S00, 1
B01, Trade, 8592231.031, 60, B01, S00, 1
B01, Trade, 8592434.031, 63, B01, S00, 1
B01, Trade, 8593426.081, 63, B01, S00, 1
B01, Trade, 8595946.381, 63, B01, S00, 1
B01, Trade, 8596241.931, 61, B01, S00, 1
B01, Trade, 8597224.581, 60, S00, B01, 1
B01, Trade, 8597235.831, 68, B01, S00, 1
B01, Trade, 8597910.781, 61, S00, B01, 1
B01, Trade, 8598004.281, 60, S00, B01, 1
B01, Trade, 8598988.431, 60, S00, B01, 1
B01, Trade, 8599079.931, 68, S01, B01, 1
B01, Trade, 8599156.431, 66, B01, S00, 1
B01, Trade, 8599255.081, 61, S00, B01, 1
B01, Trade, 8599309.481, 61, S00, B01, 1
B01, Trade, 8599337.131, 67, B01, S00, 1
B01, Trade, 8600175.381, 68, B01, S00, 1
B01, Trade, 8600355.831, 66, B01, S00, 1
B01, Trade, 8600641.081, 65, S00, B01, 1
B01, Trade, 8601132.581, 66, S00, B01, 1
B01, Trade, 8601576.981, 66, B01, S00, 1
B01, Trade, 8601809.031, 67, B01, S00, 1
B01, Trade, 8602112.981, 68, B01, S01, 1
B01, Trade, 8602398.081, 64, S00, B01, 1
B01, Trade, 8602471.231, 62, S00, B01, 1
B01, Trade, 8602504.481, 60, S00, B01, 1
B01, Trade, 8602527.031, 60, S00, B01, 1
B01, Trade, 8602687.831, 67, B01, S00, 1
B01, Trade, 8602820.581, 60, S00, B01, 1
B01, Trade, 8603103.981, 62, S00, B01, 1
B01, Trade, 8603207.331, 61, B01, S00, 1
B01, Trade, 8603460.931, 63, B01, S00, 1
B01, Trade, 8603798.231, 65, B01, S00, 1
B01, Trade, 8603878.581, 64, B01, S00, 1
B01, Trade, 8604907.881, 68, B01, S01, 1
B01, Trade, 8605174.581, 68, S01, B01, 1
B01, Trade, 8609182.681, 67, B01, S00, 1
B01, Trade, 8618569.231, 66, B01, S00, 1
B01, Trade, 8618658.331, 64, B01, S00, 1
B01, Trade, 8618889.981, 62, S00, B01, 1
B01, Trade, 8619143.931, 64, B01, S00, 1
B01, Trade, 8619674.681, 66, B01, S00, 1
B01, Trade, 8619861.231, 63, S00, B01, 1
B01, Trade, 8620288.381, 68, S01, B01, 1
B01, Trade, 8620375.431, 62, S00, B01, 1
B01, Trade, 8620399.431, 67, B01, S00, 1
B01, Trade, 8620803.531, 65, B01, S00, 1
B01, Trade, 8621053.131, 63, S00, B01, 1
B01, Trade, 8621229.531, 68, B01, S00, 1
B01, Trade, 8621338.231, 65, B01, S00, 1
B01, Trade, 8621666.631, 62, S00, B01, 1
B01, Trade, 8621952.481, 67, B01, S00, 1
B01, Trade, 8622148.681, 67, B01, S00, 1
B01, Trade, 8622445.331, 61, B01, S00, 1
B01, Trade, 8622653.231, 65, B01, S00, 1
B01, Trade, 8622712.631, 60, S00, B01, 1
B01, Trade, 8622798.831, 64, S00, B01, 1
B01, Trade, 8622827.031, 66, B01, S00, 1
B01, Trade, 8623016.131, 68, B01, S00, 1
B01, Trade, 8623208.231, 67, B01, S00, 1
B01, Trade, 8623375.231, 64, B01, S00, 1
B01, Trade, 8623472.431, 66, B01, S00, 1
B01, Trade, 8624195.431, 62, S00, B01, 1
B01, Trade, 8624395.131, 66, B01, S00, 1
B01, Trade, 8624944.681, 62, S00, B01, 1
B01, Trade, 8625159.331, 65, S00, B01, 1
B01, Trade, 8629078.832, 68, S01, B01, 1
B02, 100
B02, Trade, 8597130.181, 73, B02, S00, 1
B02, Trade, 8597467.881, 74, B02, S01, 1
B02, Trade, 8597615.131, 71, S00, B02, 1
B02, Trade, 8597620.981, 67, B02, S00, 1
B02, Trade, 8597688.231, 75, B02, S00, 1
B02, Trade, 8597711.731, 62, S00, B02, 1
B02, Trade, 8598098.631, 73, B02, S00, 1
B02, Trade, 8598269.931, 66, B02, S00, 1
B02, Trade, 8598384.731, 61, S00, B02, 1
B02, Trade, 8599025.381, 65, B02, S00, 1
B02, Trade, 8599120.581, 61, B02, S00, 1
B02, Trade, 8599496.231, 65, B02, S00, 1
B02, Trade, 8599659.081, 66, B02, S00, 1
B02, Trade, 8599693.081, 69, B02, S00, 1
B02, Trade, 8600012.581, 75, B02, S00, 1
B02, Trade, 8600563.431, 73, B02, S01, 1
B02, Trade, 8600643.281, 60, S00, B02, 1
B02, Trade, 8600660.281, 65, S00, B02, 1
B02, Trade, 8601135.931, 63, S00, B02, 1
B02, Trade, 8602280.281, 72, B02, S00, 1
B02, Trade, 8602564.381, 70, B02, S01, 1
B02, Trade, 8602578.781, 62, S00, B02, 1
B02, Trade, 8603722.631, 73, B02, S01, 1
B02, Trade, 8603814.781, 67, B02, S00, 1
B02, Trade, 8603897.031, 69, B02, S01, 1
B02, Trade, 8604169.731, 73, B02, S01, 1
B02, Trade, 8604201.831, 74, B02, S01, 1
B02, Trade, 8604223.281, 76, B02, S01, 1
B02, Trade, 8604969.881, 69, B02, S01, 1
B02, Trade, 8605005.581, 69, B02, S01, 1
B02, Trade, 8605711.081, 72, S01, B02, 1
B02, Trade, 8605856.681, 74, B02, S01, 1
B02, Trade, 8606264.981, 77, B02, S01, 1
B02, Trade, 8606833.381, 68, S01, B02, 1
B02, Trade, 8607643.431, 74, B02, S01, 1
B02, Trade, 8607655.581, 73, B02, S01, 1
B02, Trade, 8608770.731, 77, B02, S01, 1
B02, Trade, 8609076.081, 75, B02, S01, 1
B02, Trade, 8609609.081, 70, S01, B02, 1
B02, Trade, 8609632.531, 77, B02, S01, 1
B02, Trade, 8609654.931, 76, B02, S01, 1
B02, Trade, 8610135.481, 69, S00, B02, 1
B02, Trade, 8610159.631, 72, S01, B02, 1
B02, Trade, 8610280.381, 66, S00, B02, 1
B02, Trade, 8610379.531, 73, B02, S01, 1
B02, Trade, 8610411.631, 68, B02, S01, 1
B02, Trade, 8610742.531, 77, B02, S01, 1
B02, Trade, 8618568.981, 71, B02, S00, 1
B02, Trade, 8618634.731, 73, S01, B02, 1
B02, Trade, 8618638.081, 64, B02, S00, 1
B02, Trade, 8618681.981, 64, S00, B02, 1
B02, Trade, 8619019.731, 60, B02, S00, 1
B02, Trade, 8619159.631, 64, B02, S00, 1
B02, Trade, 8619870.631, 64, B02, S00, 1
B02, Trade, 8620027.081, 73, B02, S00, 1
B02, Trade, 8620071.731, 69, B02, S01, 1
B02, Trade, 8620196.881, 71, B02, S00, 1
B02, Trade, 8620341.431, 66, B02, S00, 1
B02, Trade, 8620407.581, 68, S01, B02, 1
B02, Trade, 8620429.631, 71, B02, S01, 1
B02, Trade, 8620544.081, 75, B02, S00, 1
B02, Trade, 8620603.431, 60, S00, B02, 1
B02, Trade, 8620717.831, 64, B02, S00, 1
B02, Trade, 8620918.731, 66, B02, S00, 1
B02, Trade, 8621007.131, 70, S01, B02, 1
B02, Trade, 8621063.831, 60, S00, B02, 1
B02, Trade, 8621276.731, 68, S01, B02, 1
B02, Trade, 8621295.831, 74, B02, S01, 1
B02, Trade, 8621403.981, 71, B02, S00, 1
B02, Trade, 8621667.531, 71, S01, B02, 1
B02, Trade, 8621721.381, 62, S00, B02, 1
B02, Trade, 8621971.081, 72, B02, S01, 1
B02, Trade, 8622015.281, 65, S00, B02, 1
B02, Trade, 8622050.481, 75, B02, S01, 1
B02, Trade, 8622445.631, 72, B02, S01, 1
B02, Trade, 8622499.181, 66, B02, S00, 1
B02, Trade, 8622538.081, 63, B02, S00, 1
B02, Trade, 8622798.231, 73, B02, S01, 1
B02, Trade, 8623090.181, 68, B02, S00, 1
B02, Trade, 8623314.081, 60, S00, B02, 1
B02, Trade, 8623476.381, 60, S00, B02, 1
B02, Trade, 8624111.531, 72, B02, S01, 1
B02, Trade, 8624145.631, 71, B02, S00, 1
B02, Trade, 8624214.181, 73, B02, S00, 1
B02, Trade, 8624504.331, 76, B02, S01, 1
B02, Trade, 8624554.331, 68, B02, S01, 1
B02, Trade, 8624770.981, 65, B02, S00, 1
B02, Trade, 8624808.481, 72, B02, S00, 1
B02, Trade, 8624983.981, 60, S00, B02, 1
B02, Trade, 8625198.181, 65, S00, B02, 1
B02, Trade, 8625295.581, 65, B02, S00, 1
B02, Trade, 8626222.431, 72, B02, S01, 1
B02, Trade, 8627061.531, 71, B02, S01, 1
B02, Trade, 8628066.232, 68, S01, B02, 1
B02, Trade, 8628103.532, 74, B02, S01, 1
B02, Trade, 8628614.832, 76, B02, S01, 1
B02, Trade, 8628712.482, 68, B02, S01, 1
B02, Trade, 8628784.432, 74, B02, S01, 1
B02, Trade, 8632013.132, 75, B02, S01, 1
B02, Trade, 8638117.082, 73, B02, S01, 1
B03, 100
B03, Trade, 8632544.882, 86, B03, S01, 1
B03, Trade, 8632586.732, 86, B03, S02, 1
B03, Trade, 8632596.682, 85, B03, S01, 1
B03, Trade, 8632635.082, 86, B03, S01, 1
B03, Trade, 8632658.132, 85, B03, S01, 1
B03, Trade, 8632698.632, 86, B03, S01, 1
B03, Trade, 8632713.082, 85, B03, S01, 1
B03, Trade, 8632754.782, 86, B03, S01, 1
B03, Trade, 8632769.782, 72, S01, B03, 1
B03, Trade, 8632789.482, 86, B03, S02, 1
B03, Trade, 8632808.132, 86, B03, S01, 1
B03, Trade, 8632810.382, 86, B03, S01, 1
B03, Trade, 8632831.982, 86, B03, S01, 1
B03, Trade, 8632837.182, 86, B03, S01, 1
B03, Trade, 8632846.182, 86, B03, S01, 1
B03, Trade, 8632852.682, 84, B03, S02, 1
B03, Trade, 8632866.882, 70, S01, B03, 1
B03, Trade, 8632896.482, 86, B03, S01, 1
B03, Trade, 8632932.182, 86, B03, S03, 1
B03, Trade, 8632936.982, 86, B03, S01, 1
B03, Trade, 8633009.632, 86, B03, S02, 1
B03, Trade, 8633023.632, 86, B03, S02, 1
B03, Trade, 8633066.182, 80, B03, S02, 1
B03, Trade, 8633094.532, 86, B03, S01, 1
B03, Trade, 8633109.482, 86, B03, S02, 1
B03, Trade, 8633119.632, 86, B03, S02, 1
B03, Trade, 8633299.682, 86, B03, S01, 1
B03, Trade, 8633503.182, 86, B03, S02, 1
B03, Trade, 8633652.032, 86, B03, S02, 1
B03, Trade, 8633668.432, 84, B03, S01, 1
B03, Trade, 8633748.882, 86, B03, S02, 1
B03, Trade, 8633780.832, 86, B03, S01, 1
B03, Trade, 8633860.232, 86, B03, S02, 1
B03, Trade, 8633904.832, 86, B03, S01, 1
B03, Trade, 8633975.932, 86, B03, S01, 1
B03, Trade, 8633978.582, 79, B03, S02, 1
B03, Trade, 8634060.632, 86, B03, S02, 1
B03, Trade, 8634084.132, 86, B03, S00, 1
B03, Trade, 8634145.232, 86, B03, S01, 1
B03, Trade, 8634372.332, 84, B03, S02, 1
B03, Trade, 8634401.032, 86, B03, S02, 1
B03, Trade, 8634415.782, 86, B03, S02, 1
B03, Trade, 8634477.232, 86, B03, S01, 1
B03, Trade, 8634525.432, 86, B03, S02, 1
B03, Trade, 8634611.482, 86, B03, S01, 1
B03, Trade, 8634633.482, 86, B03, S02, 1
B03, Trade, 8634692.432, 86, B03, S01, 1
B03, Trade, 8634978.932, 86, B03, S01, 1
B03, Trade, 8635298.882, 86, B03, S02, 1
B03, Trade, 8635397.732, 86, B03, S01, 1
B03, Trade, 8635461.432, 86, B03, S02, 1
B03, Trade, 8635748.082, 86, B03, S01, 1
B03, Trade, 8635822.732, 86, B03, S01, 1
B03, Trade, 8635848.282, 70, B03, S01, 1
B03, Trade, 8636001.632, 86, B03, S02, 1
B03, Trade, 8636018.982, 86, B03, S02, 1
B03, Trade, 8636178.832, 83, B03, S01, 1
B03, Trade, 8636207.632, 86, B03, S02, 1
B03, Trade, 8636214.332, 85, B03, S02, 1
B03, Trade, 8636265.932, 86, B03, S01, 1
B03, Trade, 8636388.832, 86, B03, S02, 1
B03, Trade, 8636437.482, 86, B03, S02, 1
B03, Trade, 8636526.782, 86, B03, S02, 1
B03, Trade, 8636759.682, 86, B03, S01, 1
B03, Trade, 8636930.832, 86, B03, S01, 1
B03, Trade, 8637435.682, 86, B03, S02, 1
B03, Trade, 8637468.132, 86, B03, S02, 1
B03, Trade, 8637483.782, 86, B03, S01, 1
B03, Trade, 8637504.082, 81, B03, S02, 1
B03, Trade, 8637632.532, 86, B03, S01, 1
B03, Trade, 8637727.932, 86, B03, S01, 1
B03, Trade, 8637920.382, 86, B03, S02, 1
B03, Trade, 8637934.482, 86, B03, S02, 1
B03, Trade, 8637959.782, 86, B03, S02, 1
B03, Trade, 8638115.582, 76, B03, S01, 1
B03, Trade, 8638138.582, 86, B03, S01, 1
B03, Trade, 8638168.082, 86, B03, S02, 1
B03, Trade, 8638204.282, 86, B03, S01, 1
B03, Trade, 8638263.732, 86, B03, S02, 1
B03, Trade, 8638335.332, 86, B03, S02, 1
B03, Trade, 8638518.382, 86, B03, S02, 1
B03, Trade, 8638559.532, 86, B03, S02, 1
B03, Trade, 8638607.932, 86, B03, S02, 1
B03, Trade, 8638788.882, 86, B03, S02, 1
B03, Trade, 8638833.032, 86, B03, S01, 1
B03, Trade, 8638901.732, 86, B03, S01, 1
B03, Trade, 8638935.482, 85, B03, S02, 1
B03, Trade, 8638946.782, 86, B03, S02, 1
B03, Trade, 8638949.032, 86, B03, S02, 1
B03, Trade, 8639018.132, 82, S01, B03, 1
B03, Trade, 8639119.982, 86, B03, S01, 1
B03, Trade, 8639222.832, 86, B03, S02, 1
B03, Trade, 8639257.232, 86, B03, S01, 1
B03, Trade, 8639287.432, 86, B03, S02, 1
B03, Trade, 8639303.082, 86, B03, S01, 1
B03, Trade, 8639466.982, 86, B03, S02, 1
B03, Trade, 8639692.782, 86, B03, S02, 1
B03, Trade, 8639713.682, 86, B03, S02, 1
B03, Trade, 8639795.032, 86, B03, S02, 1
B03, Trade, 8639940.582, 86, B03, S02, 1
B04, 100
B04, Trade, 8638302.932, 91, S00, B04, 1
B04, Trade, 8638318.982, 95, B04, S04, 1
B04, Trade, 8638323.082, 95, B04, S01, 1
B04, Trade, 8638338.182, 86, B04, S00, 1
B04, Trade, 8638346.382, 91, B04, S02, 1
B04, Trade, 8638350.832, 95, B04, S03, 1
B04, Trade, 8638373.332, 95, B04, S01, 1
B04, Trade, 8638376.182, 95, B04, S02, 1
B04, Trade, 8638382.332, 95, B04, S01, 1
