t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.347353, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.356964, id=,B09, PRDE,actvstrat=,-0.074199, actvprof=,5.543364, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.065893, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.778599, id=,S02, PRDE,actvstrat=,0.450180, actvprof=,1.739541, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.348623, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.543364, best_B_strat=,-0.074199, best_S_id=,S00, best_S_prof=,6.065893, best_S_strat=,-1.000000, 
t=,43200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.344771, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.330389, id=,B09, PRDE,actvstrat=,-0.074199, actvprof=,5.557477, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.152489, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.818712, id=,S02, PRDE,actvstrat=,0.450180, actvprof=,1.708091, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.348623, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.557477, best_B_strat=,-0.074199, best_S_id=,S00, best_S_prof=,6.152489, best_S_strat=,-1.000000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.542603, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.151487, actvprof=,0.005834, id=,B06, PRDE,actvstrat=,0.412162, actvprof=,1.633447, id=,B08, PRDE,actvstrat=,-0.684162, actvprof=,2.753525, id=,B09, PRDE,actvstrat=,-0.691652, actvprof=,4.306410, id=,S00, PRDE,actvstrat=,-0.780044, actvprof=,0.685325, id=,S01, PRDE,actvstrat=,0.621227, actvprof=,3.315230, id=,S02, PRDE,actvstrat=,0.949401, actvprof=,3.378846, id=,S08, PRDE,actvstrat=,-0.595582, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.727255, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.306410, best_B_strat=,-0.691652, best_S_id=,S02, best_S_prof=,3.378846, best_S_strat=,0.949401, 
t=,50400, id=,B00, PRDE,actvstrat=,0.542603, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.151487, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,0.412162, actvprof=,1.664768, id=,B08, PRDE,actvstrat=,-0.684162, actvprof=,2.825356, id=,B09, PRDE,actvstrat=,-0.691652, actvprof=,4.331787, id=,S00, PRDE,actvstrat=,-0.780044, actvprof=,0.742104, id=,S01, PRDE,actvstrat=,0.621227, actvprof=,3.331759, id=,S02, PRDE,actvstrat=,0.949401, actvprof=,3.337315, id=,S08, PRDE,actvstrat=,-0.595582, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.727255, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.331787, best_B_strat=,-0.691652, best_S_id=,S02, best_S_prof=,3.337315, best_S_strat=,0.949401, 
t=,54000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.386990, actvprof=,0.019446, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.416279, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.146191, id=,B09, PRDE,actvstrat=,0.864810, actvprof=,7.242725, id=,S00, PRDE,actvstrat=,0.523316, actvprof=,4.843670, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.262032, id=,S02, PRDE,actvstrat=,0.941134, actvprof=,3.577471, id=,S08, PRDE,actvstrat=,-0.963962, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.044338, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.242725, best_B_strat=,0.864810, best_S_id=,S01, best_S_prof=,5.262032, best_S_strat=,1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.386990, actvprof=,0.019862, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.418695, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.243515, id=,B09, PRDE,actvstrat=,0.864810, actvprof=,7.249141, id=,S00, PRDE,actvstrat=,0.523316, actvprof=,4.816278, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.242960, id=,S02, PRDE,actvstrat=,0.941134, actvprof=,3.587208, id=,S08, PRDE,actvstrat=,-0.963962, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.044338, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.249141, best_B_strat=,0.864810, best_S_id=,S01, best_S_prof=,5.242960, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,-0.277255, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.268668, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,0.028773, actvprof=,0.887839, id=,B08, PRDE,actvstrat=,-0.224770, actvprof=,2.749635, id=,B09, PRDE,actvstrat=,0.120981, actvprof=,5.280367, id=,S00, PRDE,actvstrat=,0.889002, actvprof=,7.030766, id=,S01, PRDE,actvstrat=,-0.854152, actvprof=,0.164178, id=,S02, PRDE,actvstrat=,-0.549008, actvprof=,0.433363, id=,S08, PRDE,actvstrat=,-0.369829, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.595072, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.280367, best_B_strat=,0.120981, best_S_id=,S00, best_S_prof=,7.030766, best_S_strat=,0.889002, 
t=,64800, id=,B00, PRDE,actvstrat=,-0.277255, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.268668, actvprof=,0.004028, id=,B06, PRDE,actvstrat=,0.028773, actvprof=,0.816139, id=,B08, PRDE,actvstrat=,-0.224770, actvprof=,2.794680, id=,B09, PRDE,actvstrat=,0.120981, actvprof=,5.346297, id=,S00, PRDE,actvstrat=,0.889002, actvprof=,7.045522, id=,S01, PRDE,actvstrat=,-0.854152, actvprof=,0.206257, id=,S02, PRDE,actvstrat=,-0.549008, actvprof=,0.421959, id=,S08, PRDE,actvstrat=,-0.369829, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.595072, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.346297, best_B_strat=,0.120981, best_S_id=,S00, best_S_prof=,7.045522, best_S_strat=,0.889002, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.013334, id=,B06, PRDE,actvstrat=,0.030766, actvprof=,1.370613, id=,B08, PRDE,actvstrat=,0.897009, actvprof=,5.794408, id=,B09, PRDE,actvstrat=,-0.516161, actvprof=,4.826312, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.467769, id=,S01, PRDE,actvstrat=,-0.311773, actvprof=,0.759198, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.148465, id=,S08, PRDE,actvstrat=,-0.535474, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.705306, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.794408, best_B_strat=,0.897009, best_S_id=,S00, best_S_prof=,6.467769, best_S_strat=,1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.010834, id=,B06, PRDE,actvstrat=,0.030766, actvprof=,1.382548, id=,B08, PRDE,actvstrat=,0.897009, actvprof=,5.824786, id=,B09, PRDE,actvstrat=,-0.516161, actvprof=,4.921560, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.447168, id=,S01, PRDE,actvstrat=,-0.311773, actvprof=,0.659606, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.136776, id=,S08, PRDE,actvstrat=,-0.535474, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.705306, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.824786, best_B_strat=,0.897009, best_S_id=,S00, best_S_prof=,6.447168, best_S_strat=,1.000000, 
