t=,43200, id=,B02, PRDE,actvstrat=,0.099410, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.642543, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,-0.275779, actvprof=,0.012639, id=,B05, PRDE,actvstrat=,-0.149471, actvprof=,0.267089, id=,B06, PRDE,actvstrat=,0.268209, actvprof=,1.851566, id=,S00, PRDE,actvstrat=,0.368553, actvprof=,3.713966, id=,S01, PRDE,actvstrat=,-0.210311, actvprof=,0.770711, id=,S03, PRDE,actvstrat=,0.578587, actvprof=,0.572095, id=,S06, PRDE,actvstrat=,0.532982, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.140376, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.851566, best_B_strat=,0.268209, best_S_id=,S00, best_S_prof=,3.713966, best_S_strat=,0.368553, 
t=,46800, id=,B02, PRDE,actvstrat=,0.446729, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.137730, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.968243, actvprof=,0.035835, id=,B05, PRDE,actvstrat=,-0.146039, actvprof=,0.471131, id=,B06, PRDE,actvstrat=,-0.923511, actvprof=,0.206953, id=,S00, PRDE,actvstrat=,0.215311, actvprof=,2.748448, id=,S01, PRDE,actvstrat=,-0.175370, actvprof=,0.524744, id=,S03, PRDE,actvstrat=,0.412957, actvprof=,0.174452, id=,S06, PRDE,actvstrat=,0.532982, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.062568, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.471131, best_B_strat=,-0.146039, best_S_id=,S00, best_S_prof=,2.748448, best_S_strat=,0.215311, 
t=,50400, id=,B02, PRDE,actvstrat=,0.446729, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.137730, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.968243, actvprof=,0.034862, id=,B05, PRDE,actvstrat=,-0.146039, actvprof=,0.498899, id=,B06, PRDE,actvstrat=,-0.923511, actvprof=,0.208615, id=,S00, PRDE,actvstrat=,0.215311, actvprof=,2.714501, id=,S01, PRDE,actvstrat=,-0.175370, actvprof=,0.583762, id=,S03, PRDE,actvstrat=,0.412957, actvprof=,0.183059, id=,S06, PRDE,actvstrat=,0.532982, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.062568, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.498899, best_B_strat=,-0.146039, best_S_id=,S00, best_S_prof=,2.714501, best_S_strat=,0.215311, 
t=,54000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,-0.395104, actvprof=,0.016945, id=,B05, PRDE,actvstrat=,-0.863995, actvprof=,0.095836, id=,B06, PRDE,actvstrat=,0.137696, actvprof=,2.004500, id=,S00, PRDE,actvstrat=,0.928830, actvprof=,5.832662, id=,S01, PRDE,actvstrat=,-0.055649, actvprof=,0.992805, id=,S03, PRDE,actvstrat=,0.224941, actvprof=,0.200006, id=,S06, PRDE,actvstrat=,0.705779, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.004500, best_B_strat=,0.137696, best_S_id=,S00, best_S_prof=,5.832662, best_S_strat=,0.928830, 
t=,57600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.009306, id=,B04, PRDE,actvstrat=,-0.395104, actvprof=,0.011806, id=,B05, PRDE,actvstrat=,-0.863995, actvprof=,0.118752, id=,B06, PRDE,actvstrat=,0.137696, actvprof=,2.032126, id=,S00, PRDE,actvstrat=,0.928830, actvprof=,5.844011, id=,S01, PRDE,actvstrat=,-0.055649, actvprof=,0.994326, id=,S03, PRDE,actvstrat=,0.224941, actvprof=,0.194865, id=,S06, PRDE,actvstrat=,0.705779, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.032126, best_B_strat=,0.137696, best_S_id=,S00, best_S_prof=,5.844011, best_S_strat=,0.928830, 
t=,61200, id=,B02, PRDE,actvstrat=,0.840860, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,-0.264126, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.882004, actvprof=,0.453908, id=,B06, PRDE,actvstrat=,-0.025056, actvprof=,0.883092, id=,S00, PRDE,actvstrat=,-0.718264, actvprof=,1.310332, id=,S01, PRDE,actvstrat=,0.664371, actvprof=,4.465742, id=,S03, PRDE,actvstrat=,0.224941, actvprof=,0.719474, id=,S06, PRDE,actvstrat=,0.856158, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.651076, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.883092, best_B_strat=,-0.025056, best_S_id=,S01, best_S_prof=,4.465742, best_S_strat=,0.664371, 
t=,64800, id=,B02, PRDE,actvstrat=,0.840860, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-0.264126, actvprof=,0.002083, id=,B05, PRDE,actvstrat=,0.882004, actvprof=,0.495149, id=,B06, PRDE,actvstrat=,-0.025056, actvprof=,0.879602, id=,S00, PRDE,actvstrat=,-0.718264, actvprof=,1.454475, id=,S01, PRDE,actvstrat=,0.664371, actvprof=,4.448287, id=,S03, PRDE,actvstrat=,0.224941, actvprof=,0.750988, id=,S06, PRDE,actvstrat=,0.856158, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.651076, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.879602, best_B_strat=,-0.025056, best_S_id=,S01, best_S_prof=,4.448287, best_S_strat=,0.664371, 
t=,68400, id=,B02, PRDE,actvstrat=,0.619794, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,-0.116147, actvprof=,0.015278, id=,B04, PRDE,actvstrat=,0.407343, actvprof=,0.037779, id=,B05, PRDE,actvstrat=,0.252637, actvprof=,0.250288, id=,B06, PRDE,actvstrat=,0.444424, actvprof=,1.486729, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.948901, id=,S01, PRDE,actvstrat=,-0.193069, actvprof=,1.005320, id=,S03, PRDE,actvstrat=,-0.314816, actvprof=,0.096671, id=,S06, PRDE,actvstrat=,0.685261, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.486729, best_B_strat=,0.444424, best_S_id=,S00, best_S_prof=,6.948901, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,0.619794, actvprof=,0.006945, id=,B03, PRDE,actvstrat=,-0.116147, actvprof=,0.017639, id=,B04, PRDE,actvstrat=,0.407343, actvprof=,0.042501, id=,B05, PRDE,actvstrat=,0.252637, actvprof=,0.263478, id=,B06, PRDE,actvstrat=,0.444424, actvprof=,1.496976, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.899033, id=,S01, PRDE,actvstrat=,-0.193069, actvprof=,1.050716, id=,S03, PRDE,actvstrat=,-0.314816, actvprof=,0.098613, id=,S06, PRDE,actvstrat=,0.685261, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.496976, best_B_strat=,0.444424, best_S_id=,S00, best_S_prof=,6.899033, best_S_strat=,1.000000, 
t=,75600, id=,B02, PRDE,actvstrat=,0.619794, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,-0.760690, actvprof=,0.019445, id=,B04, PRDE,actvstrat=,0.407343, actvprof=,0.073336, id=,B05, PRDE,actvstrat=,-0.360334, actvprof=,0.184452, id=,B06, PRDE,actvstrat=,0.444424, actvprof=,1.935358, id=,S00, PRDE,actvstrat=,-0.293926, actvprof=,1.435060, id=,S01, PRDE,actvstrat=,0.976089, actvprof=,4.809645, id=,S03, PRDE,actvstrat=,-0.404365, actvprof=,0.047224, id=,S06, PRDE,actvstrat=,0.505024, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.904855, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.935358, best_B_strat=,0.444424, best_S_id=,S01, best_S_prof=,4.809645, best_S_strat=,0.976089, 
