t=,39600, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.033891, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.377910, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.052170, id=,B09, PRDE,actvstrat=,0.201361, actvprof=,6.191733, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.618145, id=,S05, PRDE,actvstrat=,-0.512219, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.006389, id=,S08, PRDE,actvstrat=,0.540913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.191733, best_B_strat=,0.201361, best_S_id=,S00, best_S_prof=,6.618145, best_S_strat=,-1.000000, 
t=,43200, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.040695, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.506997, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.107724, id=,B09, PRDE,actvstrat=,0.201361, actvprof=,6.336104, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.519441, id=,S05, PRDE,actvstrat=,-0.512219, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.007639, id=,S08, PRDE,actvstrat=,0.540913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.336104, best_B_strat=,0.201361, best_S_id=,S00, best_S_prof=,6.519441, best_S_strat=,-1.000000, 
t=,46800, id=,B02, PRDE,actvstrat=,0.646940, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.033890, id=,B06, PRDE,actvstrat=,-0.002958, actvprof=,1.376983, id=,B07, PRDE,actvstrat=,-0.066801, actvprof=,2.645907, id=,B09, PRDE,actvstrat=,-0.201703, actvprof=,5.616545, id=,S00, PRDE,actvstrat=,-0.650170, actvprof=,1.526154, id=,S05, PRDE,actvstrat=,0.112240, actvprof=,0.009445, id=,S07, PRDE,actvstrat=,0.071004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.607748, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.066053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.616545, best_B_strat=,-0.201703, best_S_id=,S00, best_S_prof=,1.526154, best_S_strat=,-0.650170, 
t=,50400, id=,B02, PRDE,actvstrat=,0.646940, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.043473, id=,B06, PRDE,actvstrat=,-0.002958, actvprof=,1.393511, id=,B07, PRDE,actvstrat=,-0.066801, actvprof=,2.539654, id=,B09, PRDE,actvstrat=,-0.201703, actvprof=,5.635990, id=,S00, PRDE,actvstrat=,-0.650170, actvprof=,1.518653, id=,S05, PRDE,actvstrat=,0.112240, actvprof=,0.008472, id=,S07, PRDE,actvstrat=,0.071004, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.607748, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.066053, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.635990, best_B_strat=,-0.201703, best_S_id=,S00, best_S_prof=,1.518653, best_S_strat=,-0.650170, 
t=,54000, id=,B02, PRDE,actvstrat=,0.659503, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.577296, actvprof=,0.007223, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.933496, id=,B07, PRDE,actvstrat=,-0.770318, actvprof=,1.688983, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.006556, id=,S00, PRDE,actvstrat=,-0.616353, actvprof=,1.468693, id=,S05, PRDE,actvstrat=,0.018392, actvprof=,0.009167, id=,S07, PRDE,actvstrat=,-0.685656, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.759755, actvprof=,0.001111, id=,S09, PRDE,actvstrat=,-0.798690, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.006556, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.468693, best_S_strat=,-0.616353, 
t=,57600, id=,B02, PRDE,actvstrat=,0.659503, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.577296, actvprof=,0.009306, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.992423, id=,B07, PRDE,actvstrat=,-0.770318, actvprof=,1.704480, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,8.087807, id=,S00, PRDE,actvstrat=,-0.616353, actvprof=,1.288638, id=,S05, PRDE,actvstrat=,0.018392, actvprof=,0.007639, id=,S07, PRDE,actvstrat=,-0.685656, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.759755, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,-0.798690, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.087807, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,1.288638, best_S_strat=,-0.616353, 
t=,61200, id=,B02, PRDE,actvstrat=,-0.620754, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.564951, actvprof=,0.103060, id=,B06, PRDE,actvstrat=,-0.098399, actvprof=,2.325097, id=,B07, PRDE,actvstrat=,0.807774, actvprof=,5.438838, id=,B09, PRDE,actvstrat=,0.169443, actvprof=,7.927275, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.900760, id=,S05, PRDE,actvstrat=,-0.731293, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,0.689266, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.242250, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.722334, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.927275, best_B_strat=,0.169443, best_S_id=,S00, best_S_prof=,4.900760, best_S_strat=,-1.000000, 
t=,64800, id=,B02, PRDE,actvstrat=,-0.620754, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.564951, actvprof=,0.108891, id=,B06, PRDE,actvstrat=,-0.098399, actvprof=,2.392133, id=,B07, PRDE,actvstrat=,0.807774, actvprof=,5.441363, id=,B09, PRDE,actvstrat=,0.169443, actvprof=,7.840441, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.939825, id=,S05, PRDE,actvstrat=,-0.731293, actvprof=,0.001250, id=,S07, PRDE,actvstrat=,0.689266, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,-0.242250, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.722334, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.840441, best_B_strat=,0.169443, best_S_id=,S00, best_S_prof=,4.939825, best_S_strat=,-1.000000, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003334, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.084728, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.693243, id=,B07, PRDE,actvstrat=,0.294565, actvprof=,3.367456, id=,B09, PRDE,actvstrat=,0.152198, actvprof=,6.571012, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.523509, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.041670, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.301060, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.571012, best_B_strat=,0.152198, best_S_id=,S00, best_S_prof=,6.523509, best_S_strat=,1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.094725, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.750910, id=,B07, PRDE,actvstrat=,0.294565, actvprof=,3.499264, id=,B09, PRDE,actvstrat=,0.152198, actvprof=,6.683936, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.571710, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.044446, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.301060, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.683936, best_B_strat=,0.152198, best_S_id=,S00, best_S_prof=,6.571710, best_S_strat=,1.000000, 
