t=,57600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.024326, actvprof=,1.226015, id=,B06, PRDE,actvstrat=,0.138193, actvprof=,2.588007, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,7.087468, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.265461, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.619744, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.045835, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000833, best_B_id=,B08, best_B_prof=,7.087468, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.265461, best_S_strat=,1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.060890, actvprof=,0.146679, id=,B06, PRDE,actvstrat=,0.768630, actvprof=,1.844876, id=,B08, PRDE,actvstrat=,0.231769, actvprof=,3.923938, id=,S00, PRDE,actvstrat=,-0.432481, actvprof=,0.824791, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.242131, id=,S05, PRDE,actvstrat=,0.293533, actvprof=,0.049726, id=,S06, PRDE,actvstrat=,0.661006, actvprof=,0.016668, id=,S07, PRDE,actvstrat=,-0.716330, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.923938, best_B_strat=,0.231769, best_S_id=,S03, best_S_prof=,2.242131, best_S_strat=,1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.060890, actvprof=,0.143478, id=,B06, PRDE,actvstrat=,0.768630, actvprof=,1.766324, id=,B08, PRDE,actvstrat=,0.231769, actvprof=,3.786130, id=,S00, PRDE,actvstrat=,-0.432481, actvprof=,0.928928, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.308985, id=,S05, PRDE,actvstrat=,0.293533, actvprof=,0.050835, id=,S06, PRDE,actvstrat=,0.661006, actvprof=,0.021251, id=,S07, PRDE,actvstrat=,-0.716330, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.786130, best_B_strat=,0.231769, best_S_id=,S03, best_S_prof=,2.308985, best_S_strat=,1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.869706, actvprof=,0.726995, id=,B06, PRDE,actvstrat=,0.634050, actvprof=,1.648726, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.932565, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.276755, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.289881, id=,S05, PRDE,actvstrat=,0.373590, actvprof=,0.015279, id=,S06, PRDE,actvstrat=,0.582061, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.932565, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.276755, best_S_strat=,-1.000000, 
t=,72000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.869706, actvprof=,0.742809, id=,B06, PRDE,actvstrat=,0.634050, actvprof=,1.645485, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.940761, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.383558, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.288984, id=,S05, PRDE,actvstrat=,0.373590, actvprof=,0.014862, id=,S06, PRDE,actvstrat=,0.582061, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.940761, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.383558, best_S_strat=,-1.000000, 
t=,75600, id=,B00, PRDE,actvstrat=,0.686487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.024326, actvprof=,0.257803, id=,B06, PRDE,actvstrat=,0.138193, actvprof=,1.369855, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.637493, id=,S00, PRDE,actvstrat=,0.114714, actvprof=,2.708041, id=,S03, PRDE,actvstrat=,-0.002663, actvprof=,0.220577, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.164460, id=,S06, PRDE,actvstrat=,0.056852, actvprof=,0.010557, id=,S07, PRDE,actvstrat=,0.800343, actvprof=,0.003611, best_B_id=,B08, best_B_prof=,5.637493, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.708041, best_S_strat=,0.114714, 
t=,79200, id=,B00, PRDE,actvstrat=,0.686487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.024326, actvprof=,0.269732, id=,B06, PRDE,actvstrat=,0.138193, actvprof=,1.316851, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.552971, id=,S00, PRDE,actvstrat=,0.114714, actvprof=,2.721483, id=,S03, PRDE,actvstrat=,-0.002663, actvprof=,0.252925, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.199729, id=,S06, PRDE,actvstrat=,0.056852, actvprof=,0.005278, id=,S07, PRDE,actvstrat=,0.800343, actvprof=,0.005834, best_B_id=,B08, best_B_prof=,5.552971, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,2.721483, best_S_strat=,0.114714, 
t=,82800, id=,B00, PRDE,actvstrat=,0.007787, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.425319, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.613212, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.483769, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.818899, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.950565, id=,S05, PRDE,actvstrat=,-0.366450, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,0.171337, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.483769, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.818899, best_S_strat=,-1.000000, 
t=,86400, id=,B00, PRDE,actvstrat=,0.007787, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.390158, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.596466, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.425771, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.881258, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.995562, id=,S05, PRDE,actvstrat=,-0.366450, actvprof=,0.004306, id=,S06, PRDE,actvstrat=,0.171337, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.425771, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.881258, best_S_strat=,-1.000000, 
t=,90000, id=,B00, PRDE,actvstrat=,-0.833787, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.869706, actvprof=,0.187796, id=,B06, PRDE,actvstrat=,0.391514, actvprof=,0.659231, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.035948, id=,S00, PRDE,actvstrat=,0.149578, actvprof=,3.561457, id=,S03, PRDE,actvstrat=,0.565672, actvprof=,1.259289, id=,S05, PRDE,actvstrat=,-0.810783, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.056852, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.035948, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.561457, best_S_strat=,0.149578, 
