t=,39600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.529635, actvprof=,0.053336, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.040321, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.230454, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.589163, id=,S00, PRDE,actvstrat=,0.053316, actvprof=,3.099851, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.786463, id=,S07, PRDE,actvstrat=,0.873323, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.589163, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.099851, best_S_strat=,0.053316, 
t=,43200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.529635, actvprof=,0.041251, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.958770, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.171476, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.514025, id=,S00, PRDE,actvstrat=,0.053316, actvprof=,2.893533, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.902817, id=,S07, PRDE,actvstrat=,0.873323, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.514025, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,2.893533, best_S_strat=,0.053316, 
t=,46800, id=,B02, PRDE,actvstrat=,0.310575, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.404336, actvprof=,0.028057, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.909482, id=,B07, PRDE,actvstrat=,0.338495, actvprof=,3.178744, id=,B09, PRDE,actvstrat=,-0.626971, actvprof=,4.624637, id=,S00, PRDE,actvstrat=,0.862418, actvprof=,6.301096, id=,S03, PRDE,actvstrat=,-0.702823, actvprof=,0.039724, id=,S07, PRDE,actvstrat=,0.894702, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.570909, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.624637, best_B_strat=,-0.626971, best_S_id=,S00, best_S_prof=,6.301096, best_S_strat=,0.862418, 
t=,50400, id=,B02, PRDE,actvstrat=,0.310575, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,0.404336, actvprof=,0.023889, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.900151, id=,B07, PRDE,actvstrat=,0.338495, actvprof=,3.134071, id=,B09, PRDE,actvstrat=,-0.626971, actvprof=,4.600203, id=,S00, PRDE,actvstrat=,0.862418, actvprof=,6.263004, id=,S03, PRDE,actvstrat=,-0.702823, actvprof=,0.040001, id=,S07, PRDE,actvstrat=,0.894702, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.570909, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.600203, best_B_strat=,-0.626971, best_S_id=,S00, best_S_prof=,6.263004, best_S_strat=,0.862418, 
t=,54000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.695849, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.659750, id=,B07, PRDE,actvstrat=,0.087701, actvprof=,2.314541, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.076364, id=,S00, PRDE,actvstrat=,0.656750, actvprof=,4.801867, id=,S03, PRDE,actvstrat=,0.291169, actvprof=,0.508355, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,0.589694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.421841, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.076364, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.801867, best_S_strat=,0.656750, 
t=,57600, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.695849, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.620009, id=,B07, PRDE,actvstrat=,0.087701, actvprof=,2.365866, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.085779, id=,S00, PRDE,actvstrat=,0.656750, actvprof=,4.980486, id=,S03, PRDE,actvstrat=,0.291169, actvprof=,0.535146, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,0.589694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.421841, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.085779, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.980486, best_S_strat=,0.656750, 
t=,61200, id=,B02, PRDE,actvstrat=,0.492122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.529635, actvprof=,0.010278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.330009, id=,B07, PRDE,actvstrat=,0.918733, actvprof=,3.168144, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.449318, id=,S00, PRDE,actvstrat=,0.119610, actvprof=,3.067863, id=,S03, PRDE,actvstrat=,0.291169, actvprof=,0.731409, id=,S07, PRDE,actvstrat=,-0.970896, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.419986, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.118107, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.449318, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.067863, best_S_strat=,0.119610, 
t=,64800, id=,B02, PRDE,actvstrat=,0.492122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.529635, actvprof=,0.010278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.324312, id=,B07, PRDE,actvstrat=,0.918733, actvprof=,3.147982, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.617061, id=,S00, PRDE,actvstrat=,0.119610, actvprof=,3.164233, id=,S03, PRDE,actvstrat=,0.291169, actvprof=,0.720987, id=,S07, PRDE,actvstrat=,-0.970896, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.419986, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.118107, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.617061, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,3.164233, best_S_strat=,0.119610, 
t=,68400, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014167, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.417795, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.122908, id=,B09, PRDE,actvstrat=,0.554568, actvprof=,6.246649, id=,S00, PRDE,actvstrat=,-0.682707, actvprof=,0.990319, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.650666, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.246649, best_B_strat=,0.554568, best_S_id=,S03, best_S_prof=,2.650666, best_S_strat=,-1.000000, 
t=,72000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.014722, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.406256, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.179072, id=,B09, PRDE,actvstrat=,0.554568, actvprof=,6.251476, id=,S00, PRDE,actvstrat=,-0.682707, actvprof=,0.998069, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.632814, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.251476, best_B_strat=,0.554568, best_S_id=,S03, best_S_prof=,2.632814, best_S_strat=,-1.000000, 
