t=,39600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.121776, actvprof=,0.132515, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.792366, id=,B07, PRDE,actvstrat=,-0.546686, actvprof=,3.058395, id=,B08, PRDE,actvstrat=,0.401133, actvprof=,6.345705, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.285309, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.607012, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.130848, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.345705, best_B_strat=,0.401133, best_S_id=,S00, best_S_prof=,5.285309, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.121776, actvprof=,0.122368, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.658814, id=,B07, PRDE,actvstrat=,-0.546686, actvprof=,3.053781, id=,B08, PRDE,actvstrat=,0.401133, actvprof=,6.243541, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,5.315018, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.650453, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.134591, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.003472, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.243541, best_B_strat=,0.401133, best_S_id=,S00, best_S_prof=,5.315018, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.847400, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.007779, id=,B06, PRDE,actvstrat=,0.184358, actvprof=,0.920936, id=,B07, PRDE,actvstrat=,0.529299, actvprof=,2.674464, id=,B08, PRDE,actvstrat=,0.029920, actvprof=,3.497889, id=,S00, PRDE,actvstrat=,-0.328788, actvprof=,2.476942, id=,S03, PRDE,actvstrat=,-0.784615, actvprof=,0.106401, id=,S04, PRDE,actvstrat=,0.817006, actvprof=,0.634515, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.018613, id=,S07, PRDE,actvstrat=,-0.666629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.497889, best_B_strat=,0.029920, best_S_id=,S00, best_S_prof=,2.476942, best_S_strat=,-0.328788, 
t=,50400, id=,B01, PRDE,actvstrat=,0.847400, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.006667, id=,B06, PRDE,actvstrat=,0.184358, actvprof=,0.908662, id=,B07, PRDE,actvstrat=,0.529299, actvprof=,2.691261, id=,B08, PRDE,actvstrat=,0.029920, actvprof=,3.511584, id=,S00, PRDE,actvstrat=,-0.328788, actvprof=,2.472498, id=,S03, PRDE,actvstrat=,-0.784615, actvprof=,0.100422, id=,S04, PRDE,actvstrat=,0.817006, actvprof=,0.589616, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.022640, id=,S07, PRDE,actvstrat=,-0.666629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.511584, best_B_strat=,0.029920, best_S_id=,S00, best_S_prof=,2.472498, best_S_strat=,-0.328788, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.981529, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.639627, id=,B07, PRDE,actvstrat=,-0.965949, actvprof=,0.417269, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.101956, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.610568, id=,S03, PRDE,actvstrat=,-0.673272, actvprof=,0.220858, id=,S04, PRDE,actvstrat=,0.059535, actvprof=,0.170019, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.016391, id=,S07, PRDE,actvstrat=,-0.275638, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.101956, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.610568, best_S_strat=,1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.981529, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.003750, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.607034, id=,B07, PRDE,actvstrat=,-0.965949, actvprof=,0.428079, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.033196, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.687788, id=,S03, PRDE,actvstrat=,-0.673272, actvprof=,0.214317, id=,S04, PRDE,actvstrat=,0.059535, actvprof=,0.215012, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.016251, id=,S07, PRDE,actvstrat=,-0.275638, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.033196, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.687788, best_S_strat=,1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.311168, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.090070, actvprof=,0.081676, id=,B06, PRDE,actvstrat=,0.062152, actvprof=,1.738804, id=,B07, PRDE,actvstrat=,-0.122630, actvprof=,2.613902, id=,B08, PRDE,actvstrat=,0.367079, actvprof=,5.305034, id=,S00, PRDE,actvstrat=,0.333139, actvprof=,3.878209, id=,S03, PRDE,actvstrat=,0.987420, actvprof=,1.234026, id=,S04, PRDE,actvstrat=,-0.962551, actvprof=,0.228359, id=,S06, PRDE,actvstrat=,0.377330, actvprof=,0.004723, id=,S07, PRDE,actvstrat=,0.516201, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.305034, best_B_strat=,0.367079, best_S_id=,S00, best_S_prof=,3.878209, best_S_strat=,0.333139, 
t=,64800, id=,B01, PRDE,actvstrat=,0.311168, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.090070, actvprof=,0.078615, id=,B06, PRDE,actvstrat=,0.062152, actvprof=,1.710778, id=,B07, PRDE,actvstrat=,-0.122630, actvprof=,2.645129, id=,B08, PRDE,actvstrat=,0.367079, actvprof=,5.280951, id=,S00, PRDE,actvstrat=,0.333139, actvprof=,3.787545, id=,S03, PRDE,actvstrat=,0.987420, actvprof=,1.240477, id=,S04, PRDE,actvstrat=,-0.962551, actvprof=,0.224178, id=,S06, PRDE,actvstrat=,0.377330, actvprof=,0.004028, id=,S07, PRDE,actvstrat=,0.516201, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.280951, best_B_strat=,0.367079, best_S_id=,S00, best_S_prof=,3.787545, best_S_strat=,0.333139, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.042228, id=,B06, PRDE,actvstrat=,0.138977, actvprof=,1.202928, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.841591, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.228431, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.881416, id=,S03, PRDE,actvstrat=,0.395291, actvprof=,0.749538, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.506174, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.021669, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.228431, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.881416, best_S_strat=,1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.041808, id=,B06, PRDE,actvstrat=,0.138977, actvprof=,1.169656, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.862464, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.261301, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.810287, id=,S03, PRDE,actvstrat=,0.395291, actvprof=,0.683793, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.529616, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.026807, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.261301, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.810287, best_S_strat=,1.000000, 
