t=,39600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.237330, actvprof=,0.118340, id=,B06, PRDE,actvstrat=,-0.456577, actvprof=,0.338908, id=,B07, PRDE,actvstrat=,-0.666772, actvprof=,1.130896, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.376965, id=,S01, PRDE,actvstrat=,-0.082348, actvprof=,1.114229, id=,S02, PRDE,actvstrat=,-0.573660, actvprof=,0.225013, id=,S04, PRDE,actvstrat=,-0.405291, actvprof=,0.009167, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.376965, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.114229, best_S_strat=,-0.082348, 
t=,43200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.237330, actvprof=,0.099447, id=,B06, PRDE,actvstrat=,-0.456577, actvprof=,0.304036, id=,B07, PRDE,actvstrat=,-0.666772, actvprof=,1.113920, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.382927, id=,S01, PRDE,actvstrat=,-0.082348, actvprof=,1.042390, id=,S02, PRDE,actvstrat=,-0.573660, actvprof=,0.224312, id=,S04, PRDE,actvstrat=,-0.405291, actvprof=,0.008195, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.382927, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,1.042390, best_S_strat=,-0.082348, 
t=,46800, id=,B01, PRDE,actvstrat=,0.500184, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.775829, actvprof=,0.506695, id=,B06, PRDE,actvstrat=,-0.005504, actvprof=,0.956164, id=,B07, PRDE,actvstrat=,-0.666772, actvprof=,1.435913, id=,B09, PRDE,actvstrat=,-0.961780, actvprof=,1.561476, id=,S01, PRDE,actvstrat=,-0.812256, actvprof=,0.168898, id=,S02, PRDE,actvstrat=,0.811625, actvprof=,2.792933, id=,S04, PRDE,actvstrat=,-0.418333, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.272052, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.448400, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.561476, best_B_strat=,-0.961780, best_S_id=,S02, best_S_prof=,2.792933, best_S_strat=,0.811625, 
t=,50400, id=,B01, PRDE,actvstrat=,0.500184, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.775829, actvprof=,0.467090, id=,B06, PRDE,actvstrat=,-0.005504, actvprof=,0.940569, id=,B07, PRDE,actvstrat=,-0.666772, actvprof=,1.377658, id=,B09, PRDE,actvstrat=,-0.961780, actvprof=,1.464881, id=,S01, PRDE,actvstrat=,-0.812256, actvprof=,0.163058, id=,S02, PRDE,actvstrat=,0.811625, actvprof=,2.756844, id=,S04, PRDE,actvstrat=,-0.418333, actvprof=,0.002361, id=,S08, PRDE,actvstrat=,0.272052, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.448400, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.464881, best_B_strat=,-0.961780, best_S_id=,S02, best_S_prof=,2.756844, best_S_strat=,0.811625, 
t=,54000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321055, actvprof=,0.373087, id=,B06, PRDE,actvstrat=,-0.695013, actvprof=,0.463094, id=,B07, PRDE,actvstrat=,-0.183997, actvprof=,2.004056, id=,B09, PRDE,actvstrat=,-0.338965, actvprof=,4.505375, id=,S01, PRDE,actvstrat=,0.756165, actvprof=,3.731144, id=,S02, PRDE,actvstrat=,0.002422, actvprof=,0.692558, id=,S04, PRDE,actvstrat=,-0.593449, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.900245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.505375, best_B_strat=,-0.338965, best_S_id=,S01, best_S_prof=,3.731144, best_S_strat=,0.756165, 
t=,57600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321055, actvprof=,0.384322, id=,B06, PRDE,actvstrat=,-0.695013, actvprof=,0.476825, id=,B07, PRDE,actvstrat=,-0.183997, actvprof=,1.996889, id=,B09, PRDE,actvstrat=,-0.338965, actvprof=,4.602275, id=,S01, PRDE,actvstrat=,0.756165, actvprof=,3.735433, id=,S02, PRDE,actvstrat=,0.002422, actvprof=,0.682667, id=,S04, PRDE,actvstrat=,-0.593449, actvprof=,0.004306, id=,S08, PRDE,actvstrat=,0.900245, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.602275, best_B_strat=,-0.338965, best_S_id=,S01, best_S_prof=,3.735433, best_S_strat=,0.756165, 
t=,61200, id=,B01, PRDE,actvstrat=,0.140772, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.193152, actvprof=,0.088063, id=,B06, PRDE,actvstrat=,0.884223, actvprof=,1.683196, id=,B07, PRDE,actvstrat=,0.064227, actvprof=,1.968497, id=,B09, PRDE,actvstrat=,0.225009, actvprof=,5.039587, id=,S01, PRDE,actvstrat=,0.635529, actvprof=,3.567520, id=,S02, PRDE,actvstrat=,0.022969, actvprof=,0.940912, id=,S04, PRDE,actvstrat=,-0.243366, actvprof=,0.014168, id=,S08, PRDE,actvstrat=,0.161883, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.576544, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.039587, best_B_strat=,0.225009, best_S_id=,S01, best_S_prof=,3.567520, best_S_strat=,0.635529, 
t=,64800, id=,B01, PRDE,actvstrat=,0.140772, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.193152, actvprof=,0.075280, id=,B06, PRDE,actvstrat=,0.884223, actvprof=,1.619501, id=,B07, PRDE,actvstrat=,0.064227, actvprof=,1.962290, id=,B09, PRDE,actvstrat=,0.225009, actvprof=,5.150596, id=,S01, PRDE,actvstrat=,0.635529, actvprof=,3.597069, id=,S02, PRDE,actvstrat=,0.022969, actvprof=,0.901281, id=,S04, PRDE,actvstrat=,-0.243366, actvprof=,0.011250, id=,S08, PRDE,actvstrat=,0.161883, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.576544, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.150596, best_B_strat=,0.225009, best_S_id=,S01, best_S_prof=,3.597069, best_S_strat=,0.635529, 
t=,68400, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.923107, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.355409, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.885771, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.751764, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.814434, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.267404, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.582255, id=,S08, PRDE,actvstrat=,-0.273439, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.153652, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.751764, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.814434, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.951567, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.389127, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.878356, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.823062, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.786449, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.265136, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.565996, id=,S08, PRDE,actvstrat=,-0.273439, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.153652, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.823062, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.786449, best_S_strat=,-1.000000, 
