t=,39600, id=,B01, PRDE,actvstrat=,-0.111945, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.849518, actvprof=,1.259792, id=,B06, PRDE,actvstrat=,0.087268, actvprof=,1.736763, id=,B08, PRDE,actvstrat=,-0.998713, actvprof=,5.618645, id=,B09, PRDE,actvstrat=,0.058764, actvprof=,6.338408, id=,S05, PRDE,actvstrat=,-0.206948, actvprof=,0.010834, id=,S06, PRDE,actvstrat=,0.961957, actvprof=,0.023890, id=,S07, PRDE,actvstrat=,0.349533, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-0.856098, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.126687, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.338408, best_B_strat=,0.058764, best_S_id=,S06, best_S_prof=,0.023890, best_S_strat=,0.961957, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.111945, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.849518, actvprof=,1.195867, id=,B06, PRDE,actvstrat=,0.087268, actvprof=,1.735604, id=,B08, PRDE,actvstrat=,-0.998713, actvprof=,5.475708, id=,B09, PRDE,actvstrat=,0.058764, actvprof=,6.454068, id=,S05, PRDE,actvstrat=,-0.206948, actvprof=,0.005417, id=,S06, PRDE,actvstrat=,0.961957, actvprof=,0.025973, id=,S07, PRDE,actvstrat=,0.349533, actvprof=,0.003750, id=,S08, PRDE,actvstrat=,-0.856098, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.126687, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.454068, best_B_strat=,0.058764, best_S_id=,S06, best_S_prof=,0.025973, best_S_strat=,0.961957, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.164019, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.549994, actvprof=,0.561698, id=,B06, PRDE,actvstrat=,0.223950, actvprof=,3.088783, id=,B08, PRDE,actvstrat=,-0.493635, actvprof=,4.941386, id=,B09, PRDE,actvstrat=,-0.208539, actvprof=,7.207900, id=,S05, PRDE,actvstrat=,-0.025526, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.643598, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.564137, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.377594, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.207900, best_B_strat=,-0.208539, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,-0.025526, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.164019, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.549994, actvprof=,0.565293, id=,B06, PRDE,actvstrat=,0.223950, actvprof=,2.928415, id=,B08, PRDE,actvstrat=,-0.493635, actvprof=,4.873746, id=,B09, PRDE,actvstrat=,-0.208539, actvprof=,6.999083, id=,S05, PRDE,actvstrat=,-0.025526, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.643598, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,-0.564137, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.377594, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.999083, best_B_strat=,-0.208539, best_S_id=,S07, best_S_prof=,0.000556, best_S_strat=,0.753254, 
t=,54000, id=,B01, PRDE,actvstrat=,0.620410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.207863, actvprof=,0.575865, id=,B06, PRDE,actvstrat=,0.994520, actvprof=,2.883216, id=,B08, PRDE,actvstrat=,-0.996460, actvprof=,5.096950, id=,B09, PRDE,actvstrat=,0.290136, actvprof=,6.678704, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.049169, id=,S06, PRDE,actvstrat=,0.335507, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.558600, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.537847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.113336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.678704, best_B_strat=,0.290136, best_S_id=,S05, best_S_prof=,0.049169, best_S_strat=,0.079495, 
t=,57600, id=,B01, PRDE,actvstrat=,0.620410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.207863, actvprof=,0.551960, id=,B06, PRDE,actvstrat=,0.994520, actvprof=,2.823551, id=,B08, PRDE,actvstrat=,-0.996460, actvprof=,5.104447, id=,B09, PRDE,actvstrat=,0.290136, actvprof=,6.530876, id=,S05, PRDE,actvstrat=,0.079495, actvprof=,0.041668, id=,S06, PRDE,actvstrat=,0.335507, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,-0.558600, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.537847, actvprof=,0.001944, id=,S09, PRDE,actvstrat=,0.113336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.530876, best_B_strat=,0.290136, best_S_id=,S05, best_S_prof=,0.041668, best_S_strat=,0.079495, 
t=,61200, id=,B01, PRDE,actvstrat=,0.140259, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.399871, actvprof=,0.794766, id=,B06, PRDE,actvstrat=,-0.662360, actvprof=,1.809823, id=,B08, PRDE,actvstrat=,0.409812, actvprof=,6.927607, id=,B09, PRDE,actvstrat=,-0.510800, actvprof=,6.871771, id=,S05, PRDE,actvstrat=,0.330734, actvprof=,0.015279, id=,S06, PRDE,actvstrat=,-0.365695, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.875447, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.838790, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.927607, best_B_strat=,0.409812, best_S_id=,S05, best_S_prof=,0.015279, best_S_strat=,0.330734, 
t=,64800, id=,B01, PRDE,actvstrat=,0.140259, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.399871, actvprof=,0.769744, id=,B06, PRDE,actvstrat=,-0.662360, actvprof=,1.812134, id=,B08, PRDE,actvstrat=,0.409812, actvprof=,6.868663, id=,B09, PRDE,actvstrat=,-0.510800, actvprof=,6.915887, id=,S05, PRDE,actvstrat=,0.330734, actvprof=,0.010278, id=,S06, PRDE,actvstrat=,-0.365695, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.753254, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.875447, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.838790, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.915887, best_B_strat=,-0.510800, best_S_id=,S05, best_S_prof=,0.010278, best_S_strat=,0.330734, 
t=,68400, id=,B01, PRDE,actvstrat=,0.620410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.488350, actvprof=,0.877005, id=,B06, PRDE,actvstrat=,0.097991, actvprof=,1.925689, id=,B08, PRDE,actvstrat=,0.515045, actvprof=,5.601222, id=,B09, PRDE,actvstrat=,0.290136, actvprof=,6.967984, id=,S05, PRDE,actvstrat=,-0.092493, actvprof=,0.005834, id=,S06, PRDE,actvstrat=,-0.224654, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,-0.545947, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,0.566974, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,0.785838, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.967984, best_B_strat=,0.290136, best_S_id=,S05, best_S_prof=,0.005834, best_S_strat=,-0.092493, 
t=,72000, id=,B01, PRDE,actvstrat=,0.620410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.488350, actvprof=,0.879620, id=,B06, PRDE,actvstrat=,0.097991, actvprof=,1.930358, id=,B08, PRDE,actvstrat=,0.515045, actvprof=,5.635790, id=,B09, PRDE,actvstrat=,0.290136, actvprof=,7.043627, id=,S05, PRDE,actvstrat=,-0.092493, actvprof=,0.009723, id=,S06, PRDE,actvstrat=,-0.224654, actvprof=,0.003195, id=,S07, PRDE,actvstrat=,-0.545947, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,0.566974, actvprof=,0.001250, id=,S09, PRDE,actvstrat=,0.785838, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.043627, best_B_strat=,0.290136, best_S_id=,S05, best_S_prof=,0.009723, best_S_strat=,-0.092493, 
