t=,39600, id=,B00, PRDE,actvstrat=,-0.005345, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.141229, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.008225, actvprof=,0.134176, id=,B05, PRDE,actvstrat=,0.000729, actvprof=,0.768387, id=,B08, PRDE,actvstrat=,0.397463, actvprof=,5.082297, id=,S04, PRDE,actvstrat=,0.093048, actvprof=,0.199458, id=,S05, PRDE,actvstrat=,-0.040055, actvprof=,0.028335, id=,S06, PRDE,actvstrat=,-0.922566, actvprof=,0.004445, id=,S07, PRDE,actvstrat=,-0.515708, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.631831, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.082297, best_B_strat=,0.397463, best_S_id=,S04, best_S_prof=,0.199458, best_S_strat=,0.093048, 
t=,43200, id=,B00, PRDE,actvstrat=,-0.005345, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.141229, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.008225, actvprof=,0.103059, id=,B05, PRDE,actvstrat=,0.000729, actvprof=,0.662106, id=,B08, PRDE,actvstrat=,0.397463, actvprof=,4.997812, id=,S04, PRDE,actvstrat=,0.093048, actvprof=,0.212924, id=,S05, PRDE,actvstrat=,-0.040055, actvprof=,0.017501, id=,S06, PRDE,actvstrat=,-0.922566, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.515708, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.631831, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.997812, best_B_strat=,0.397463, best_S_id=,S04, best_S_prof=,0.212924, best_S_strat=,0.093048, 
t=,46800, id=,B00, PRDE,actvstrat=,0.512246, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.891942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.368475, actvprof=,0.091951, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.670880, id=,B08, PRDE,actvstrat=,0.007109, actvprof=,4.188346, id=,S04, PRDE,actvstrat=,0.248829, actvprof=,0.191680, id=,S05, PRDE,actvstrat=,0.472389, actvprof=,0.033613, id=,S06, PRDE,actvstrat=,0.820781, actvprof=,0.017223, id=,S07, PRDE,actvstrat=,0.025723, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.631831, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.188346, best_B_strat=,0.007109, best_S_id=,S04, best_S_prof=,0.191680, best_S_strat=,0.248829, 
t=,50400, id=,B00, PRDE,actvstrat=,0.512246, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.891942, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.368475, actvprof=,0.079724, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.689602, id=,B08, PRDE,actvstrat=,0.007109, actvprof=,4.333315, id=,S04, PRDE,actvstrat=,0.248829, actvprof=,0.164588, id=,S05, PRDE,actvstrat=,0.472389, actvprof=,0.026667, id=,S06, PRDE,actvstrat=,0.820781, actvprof=,0.017362, id=,S07, PRDE,actvstrat=,0.025723, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.631831, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.333315, best_B_strat=,0.007109, best_S_id=,S04, best_S_prof=,0.164588, best_S_strat=,0.248829, 
t=,54000, id=,B00, PRDE,actvstrat=,0.301103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.082344, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.480785, actvprof=,0.038893, id=,B05, PRDE,actvstrat=,0.144095, actvprof=,0.260862, id=,B08, PRDE,actvstrat=,0.707815, actvprof=,4.724692, id=,S04, PRDE,actvstrat=,-0.033203, actvprof=,0.264196, id=,S05, PRDE,actvstrat=,-0.912417, actvprof=,0.027225, id=,S06, PRDE,actvstrat=,-0.466929, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.850924, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.075859, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.724692, best_B_strat=,0.707815, best_S_id=,S04, best_S_prof=,0.264196, best_S_strat=,-0.033203, 
t=,57600, id=,B00, PRDE,actvstrat=,0.301103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.082344, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.480785, actvprof=,0.037919, id=,B05, PRDE,actvstrat=,0.144095, actvprof=,0.259459, id=,B08, PRDE,actvstrat=,0.707815, actvprof=,4.820129, id=,S04, PRDE,actvstrat=,-0.033203, actvprof=,0.220707, id=,S05, PRDE,actvstrat=,-0.912417, actvprof=,0.016390, id=,S06, PRDE,actvstrat=,-0.466929, actvprof=,0.001250, id=,S07, PRDE,actvstrat=,-0.850924, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.075859, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.820129, best_B_strat=,0.707815, best_S_id=,S04, best_S_prof=,0.220707, best_S_strat=,-0.033203, 
t=,61200, id=,B00, PRDE,actvstrat=,0.056815, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.427996, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.368475, actvprof=,0.050561, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.491443, id=,B08, PRDE,actvstrat=,0.660161, actvprof=,4.788865, id=,S04, PRDE,actvstrat=,0.319930, actvprof=,0.412546, id=,S05, PRDE,actvstrat=,-0.250507, actvprof=,0.018891, id=,S06, PRDE,actvstrat=,-0.523780, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-0.850924, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.130383, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.788865, best_B_strat=,0.660161, best_S_id=,S04, best_S_prof=,0.412546, best_S_strat=,0.319930, 
t=,64800, id=,B00, PRDE,actvstrat=,0.056815, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.427996, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.368475, actvprof=,0.035141, id=,B05, PRDE,actvstrat=,0.406769, actvprof=,0.408773, id=,B08, PRDE,actvstrat=,0.660161, actvprof=,4.694289, id=,S04, PRDE,actvstrat=,0.319930, actvprof=,0.441552, id=,S05, PRDE,actvstrat=,-0.250507, actvprof=,0.023196, id=,S06, PRDE,actvstrat=,-0.523780, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,-0.850924, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.130383, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.694289, best_B_strat=,0.660161, best_S_id=,S04, best_S_prof=,0.441552, best_S_strat=,0.319930, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.732570, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.028838, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.554448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.961583, actvprof=,0.126403, id=,B08, PRDE,actvstrat=,0.730785, actvprof=,4.151572, id=,S04, PRDE,actvstrat=,-0.374615, actvprof=,0.142516, id=,S05, PRDE,actvstrat=,-0.478673, actvprof=,0.005834, id=,S06, PRDE,actvstrat=,-0.979417, actvprof=,0.017224, id=,S07, PRDE,actvstrat=,-0.202260, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663785, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.151572, best_B_strat=,0.730785, best_S_id=,S04, best_S_prof=,0.142516, best_S_strat=,-0.374615, 
t=,72000, id=,B00, PRDE,actvstrat=,-0.732570, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.028838, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.554448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.961583, actvprof=,0.116673, id=,B08, PRDE,actvstrat=,0.730785, actvprof=,4.121479, id=,S04, PRDE,actvstrat=,-0.374615, actvprof=,0.121257, id=,S05, PRDE,actvstrat=,-0.478673, actvprof=,0.012501, id=,S06, PRDE,actvstrat=,-0.979417, actvprof=,0.015973, id=,S07, PRDE,actvstrat=,-0.202260, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663785, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.121479, best_B_strat=,0.730785, best_S_id=,S04, best_S_prof=,0.121257, best_S_strat=,-0.374615, 
