Trd, 4317715.443, 97
Trd, 4317718.443, 96
Trd, 4317724.343, 98
Trd, 4317726.093, 99
Trd, 4317726.593, 97
Trd, 4317729.643, 101
Trd, 4317730.843, 100
Trd, 4317732.693, 101
Trd, 4317736.443, 100
Trd, 4317741.393, 101
Trd, 4317742.893, 100
Trd, 4317743.093, 99
Trd, 4317744.893, 104
Trd, 4317746.343, 102
Trd, 4317748.343, 104
Trd, 4317749.293, 104
Trd, 4317753.043, 103
Trd, 4317754.293, 103
Trd, 4317758.343, 104
Trd, 4317760.493, 103
Trd, 4317761.043, 102
Trd, 4317763.293, 101
Trd, 4317765.443, 87
Trd, 4317766.293, 84
Trd, 4317767.693, 87
Trd, 4317768.643, 97
Trd, 4317772.443, 91
Trd, 4317774.693, 92
Trd, 4317777.693, 92
Trd, 4317779.843, 95
Trd, 4317781.793, 96
Trd, 4317782.693, 99
Trd, 4317782.843, 99
Trd, 4317784.093, 100
Trd, 4317785.543, 99
Trd, 4317787.593, 100
Trd, 4317789.293, 98
Trd, 4317792.443, 101
Trd, 4317794.343, 97
Trd, 4317797.093, 101
Trd, 4317797.943, 100
Trd, 4317802.893, 99
Trd, 4317803.843, 99
Trd, 4317803.993, 97
Trd, 4317805.243, 106
Trd, 4317805.593, 102
Trd, 4317806.043, 101
Trd, 4317806.143, 102
Trd, 4317809.843, 104
Trd, 4317812.893, 100
Trd, 4317813.293, 99
Trd, 4317814.493, 91
Trd, 4317815.593, 96
Trd, 4317819.243, 95
Trd, 4317822.443, 99
Trd, 4317822.743, 98
Trd, 4317824.793, 100
Trd, 4317825.843, 100
Trd, 4317828.793, 100
Trd, 4317834.443, 100
Trd, 4317835.043, 100
Trd, 4317836.043, 100
Trd, 4317837.143, 100
Trd, 4317838.493, 99
Trd, 4317845.243, 99
Trd, 4317846.493, 99
Trd, 4317849.993, 98
Trd, 4317852.643, 99
Trd, 4317853.993, 99
Trd, 4317856.393, 98
Trd, 4317858.343, 99
Trd, 4317859.293, 100
