t=,39600, id=,B01, PRDE,actvstrat=,0.410767, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.944598, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.039438, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.594274, actvprof=,0.019445, id=,B07, PRDE,actvstrat=,-0.445786, actvprof=,1.370316, id=,S00, PRDE,actvstrat=,-0.762601, actvprof=,2.267285, id=,S02, PRDE,actvstrat=,-0.696822, actvprof=,0.745576, id=,S03, PRDE,actvstrat=,-0.592045, actvprof=,0.222784, id=,S04, PRDE,actvstrat=,-0.463141, actvprof=,0.027501, id=,S07, PRDE,actvstrat=,-0.712423, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.370316, best_B_strat=,-0.445786, best_S_id=,S00, best_S_prof=,2.267285, best_S_strat=,-0.762601, 
t=,43200, id=,B01, PRDE,actvstrat=,0.410767, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.944598, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.039438, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.594274, actvprof=,0.017084, id=,B07, PRDE,actvstrat=,-0.445786, actvprof=,1.240443, id=,S00, PRDE,actvstrat=,-0.762601, actvprof=,2.282270, id=,S02, PRDE,actvstrat=,-0.696822, actvprof=,0.737793, id=,S03, PRDE,actvstrat=,-0.592045, actvprof=,0.212227, id=,S04, PRDE,actvstrat=,-0.463141, actvprof=,0.025278, id=,S07, PRDE,actvstrat=,-0.712423, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.240443, best_B_strat=,-0.445786, best_S_id=,S00, best_S_prof=,2.282270, best_S_strat=,-0.762601, 
t=,46800, id=,B01, PRDE,actvstrat=,0.410767, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.207545, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.622250, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.429836, actvprof=,0.106393, id=,B07, PRDE,actvstrat=,-0.759564, actvprof=,0.979763, id=,S00, PRDE,actvstrat=,-0.562261, actvprof=,2.926511, id=,S02, PRDE,actvstrat=,-0.978316, actvprof=,0.068058, id=,S03, PRDE,actvstrat=,-0.734809, actvprof=,0.175285, id=,S04, PRDE,actvstrat=,-0.016428, actvprof=,0.111949, id=,S07, PRDE,actvstrat=,-0.564969, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.979763, best_B_strat=,-0.759564, best_S_id=,S00, best_S_prof=,2.926511, best_S_strat=,-0.562261, 
t=,50400, id=,B01, PRDE,actvstrat=,0.410767, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.207545, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.622250, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,0.429836, actvprof=,0.115141, id=,B07, PRDE,actvstrat=,-0.759564, actvprof=,0.934881, id=,S00, PRDE,actvstrat=,-0.562261, actvprof=,2.969506, id=,S02, PRDE,actvstrat=,-0.978316, actvprof=,0.073613, id=,S03, PRDE,actvstrat=,-0.734809, actvprof=,0.174448, id=,S04, PRDE,actvstrat=,-0.016428, actvprof=,0.104030, id=,S07, PRDE,actvstrat=,-0.564969, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.934881, best_B_strat=,-0.759564, best_S_id=,S00, best_S_prof=,2.969506, best_S_strat=,-0.562261, 
t=,54000, id=,B01, PRDE,actvstrat=,0.071260, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.253033, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.163961, actvprof=,0.013334, id=,B05, PRDE,actvstrat=,0.176728, actvprof=,0.581135, id=,B07, PRDE,actvstrat=,-0.526032, actvprof=,2.034251, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.431296, id=,S02, PRDE,actvstrat=,0.421572, actvprof=,1.647013, id=,S03, PRDE,actvstrat=,0.811680, actvprof=,1.023932, id=,S04, PRDE,actvstrat=,0.293114, actvprof=,0.042780, id=,S07, PRDE,actvstrat=,-0.737840, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.034251, best_B_strat=,-0.526032, best_S_id=,S00, best_S_prof=,4.431296, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,0.071260, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.253033, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.163961, actvprof=,0.027084, id=,B05, PRDE,actvstrat=,0.176728, actvprof=,0.601540, id=,B07, PRDE,actvstrat=,-0.526032, actvprof=,2.106155, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,4.423703, id=,S02, PRDE,actvstrat=,0.421572, actvprof=,1.656146, id=,S03, PRDE,actvstrat=,0.811680, actvprof=,1.022660, id=,S04, PRDE,actvstrat=,0.293114, actvprof=,0.036112, id=,S07, PRDE,actvstrat=,-0.737840, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.106155, best_B_strat=,-0.526032, best_S_id=,S00, best_S_prof=,4.423703, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.037004, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.739636, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.427692, actvprof=,0.015556, id=,B05, PRDE,actvstrat=,0.883505, actvprof=,0.125561, id=,B07, PRDE,actvstrat=,-0.650381, actvprof=,0.870870, id=,S00, PRDE,actvstrat=,0.061102, actvprof=,5.368835, id=,S02, PRDE,actvstrat=,-0.135447, actvprof=,1.579788, id=,S03, PRDE,actvstrat=,-0.729276, actvprof=,0.275011, id=,S04, PRDE,actvstrat=,-0.358580, actvprof=,0.058058, id=,S07, PRDE,actvstrat=,-0.476760, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.870870, best_B_strat=,-0.650381, best_S_id=,S00, best_S_prof=,5.368835, best_S_strat=,0.061102, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.037004, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.739636, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.427692, actvprof=,0.009445, id=,B05, PRDE,actvstrat=,0.883505, actvprof=,0.114446, id=,B07, PRDE,actvstrat=,-0.650381, actvprof=,0.873484, id=,S00, PRDE,actvstrat=,0.061102, actvprof=,5.310490, id=,S02, PRDE,actvstrat=,-0.135447, actvprof=,1.586966, id=,S03, PRDE,actvstrat=,-0.729276, actvprof=,0.298199, id=,S04, PRDE,actvstrat=,-0.358580, actvprof=,0.071529, id=,S07, PRDE,actvstrat=,-0.476760, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,0.873484, best_B_strat=,-0.650381, best_S_id=,S00, best_S_prof=,5.310490, best_S_strat=,0.061102, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.380253, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.396180, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.057225, id=,B07, PRDE,actvstrat=,0.101974, actvprof=,1.627568, id=,S00, PRDE,actvstrat=,-0.291178, actvprof=,4.057113, id=,S02, PRDE,actvstrat=,-0.026632, actvprof=,2.361209, id=,S03, PRDE,actvstrat=,-0.372832, actvprof=,0.523077, id=,S04, PRDE,actvstrat=,0.066911, actvprof=,0.437518, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.627568, best_B_strat=,0.101974, best_S_id=,S00, best_S_prof=,4.057113, best_S_strat=,-0.291178, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.380253, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.396180, actvprof=,0.001250, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.063474, id=,B07, PRDE,actvstrat=,0.101974, actvprof=,1.585033, id=,S00, PRDE,actvstrat=,-0.291178, actvprof=,4.125780, id=,S02, PRDE,actvstrat=,-0.026632, actvprof=,2.419773, id=,S03, PRDE,actvstrat=,-0.372832, actvprof=,0.536678, id=,S04, PRDE,actvstrat=,0.066911, actvprof=,0.433759, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.585033, best_B_strat=,0.101974, best_S_id=,S00, best_S_prof=,4.125780, best_S_strat=,-0.291178, 
t=,75600, id=,B01, PRDE,actvstrat=,0.094206, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.302431, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.837692, actvprof=,0.037224, id=,B05, PRDE,actvstrat=,0.176728, actvprof=,0.190841, id=,B07, PRDE,actvstrat=,-0.430845, actvprof=,1.353668, id=,S00, PRDE,actvstrat=,0.252964, actvprof=,4.766865, id=,S02, PRDE,actvstrat=,0.324776, actvprof=,2.159257, id=,S03, PRDE,actvstrat=,-0.592045, actvprof=,0.196119, id=,S04, PRDE,actvstrat=,0.235160, actvprof=,0.142228, id=,S07, PRDE,actvstrat=,0.746959, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.353668, best_B_strat=,-0.430845, best_S_id=,S00, best_S_prof=,4.766865, best_S_strat=,0.252964, 
t=,79200, id=,B01, PRDE,actvstrat=,0.094206, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.302431, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.837692, actvprof=,0.032223, id=,B05, PRDE,actvstrat=,0.176728, actvprof=,0.199171, id=,B07, PRDE,actvstrat=,-0.430845, actvprof=,1.417807, id=,S00, PRDE,actvstrat=,0.252964, actvprof=,4.709543, id=,S02, PRDE,actvstrat=,0.324776, actvprof=,2.128517, id=,S03, PRDE,actvstrat=,-0.592045, actvprof=,0.186393, id=,S04, PRDE,actvstrat=,0.235160, actvprof=,0.125836, id=,S07, PRDE,actvstrat=,0.746959, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.417807, best_B_strat=,-0.430845, best_S_id=,S00, best_S_prof=,4.709543, best_S_strat=,0.252964, 
t=,82800, id=,B01, PRDE,actvstrat=,0.731805, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.424149, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.118891, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,-0.335267, actvprof=,0.002500, id=,B07, PRDE,actvstrat=,0.501964, actvprof=,2.325930, id=,S00, PRDE,actvstrat=,-0.929482, actvprof=,0.520299, id=,S02, PRDE,actvstrat=,-0.613280, actvprof=,1.294776, id=,S03, PRDE,actvstrat=,-0.267018, actvprof=,0.466408, id=,S04, PRDE,actvstrat=,-0.617188, actvprof=,0.077503, id=,S07, PRDE,actvstrat=,0.019250, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.325930, best_B_strat=,0.501964, best_S_id=,S02, best_S_prof=,1.294776, best_S_strat=,-0.613280, 
t=,86400, id=,B01, PRDE,actvstrat=,0.731805, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.424149, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.118891, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,-0.335267, actvprof=,0.006250, id=,B07, PRDE,actvstrat=,0.501964, actvprof=,2.319215, id=,S00, PRDE,actvstrat=,-0.929482, actvprof=,0.570567, id=,S02, PRDE,actvstrat=,-0.613280, actvprof=,1.221831, id=,S03, PRDE,actvstrat=,-0.267018, actvprof=,0.499316, id=,S04, PRDE,actvstrat=,-0.617188, actvprof=,0.058612, id=,S07, PRDE,actvstrat=,0.019250, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.319215, best_B_strat=,0.501964, best_S_id=,S02, best_S_prof=,1.221831, best_S_strat=,-0.613280, 
