t=,39600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.247347, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.729096, id=,S00, PRDE,actvstrat=,0.326796, actvprof=,4.267737, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.798933, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.396522, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.018057, id=,S07, PRDE,actvstrat=,0.974252, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.729096, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.798933, best_S_strat=,1.000000, 
t=,43200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000972, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.203672, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.719270, id=,S00, PRDE,actvstrat=,0.326796, actvprof=,4.432345, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.784466, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.399094, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.018473, id=,S07, PRDE,actvstrat=,0.974252, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.719270, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.784466, best_S_strat=,1.000000, 
t=,46800, id=,B01, PRDE,actvstrat=,0.777658, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.889301, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.725214, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.530077, actvprof=,1.194511, id=,B07, PRDE,actvstrat=,-0.576318, actvprof=,1.102006, id=,S00, PRDE,actvstrat=,-0.330594, actvprof=,1.770654, id=,S01, PRDE,actvstrat=,0.689700, actvprof=,4.728596, id=,S03, PRDE,actvstrat=,0.406622, actvprof=,1.020334, id=,S05, PRDE,actvstrat=,-0.580749, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,-0.997138, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.194511, best_B_strat=,0.530077, best_S_id=,S01, best_S_prof=,4.728596, best_S_strat=,0.689700, 
t=,50400, id=,B01, PRDE,actvstrat=,0.777658, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.889301, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.725214, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.530077, actvprof=,1.235034, id=,B07, PRDE,actvstrat=,-0.576318, actvprof=,1.097253, id=,S00, PRDE,actvstrat=,-0.330594, actvprof=,1.986305, id=,S01, PRDE,actvstrat=,0.689700, actvprof=,4.691797, id=,S03, PRDE,actvstrat=,0.406622, actvprof=,0.980583, id=,S05, PRDE,actvstrat=,-0.580749, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,-0.997138, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.235034, best_B_strat=,0.530077, best_S_id=,S01, best_S_prof=,4.691797, best_S_strat=,0.689700, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.899526, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.555086, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.052947, id=,S00, PRDE,actvstrat=,-0.250185, actvprof=,2.479304, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.373632, id=,S03, PRDE,actvstrat=,0.067776, actvprof=,1.050058, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.129174, id=,S07, PRDE,actvstrat=,0.790263, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.052947, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.373632, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.899526, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.514476, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.014091, id=,S00, PRDE,actvstrat=,-0.250185, actvprof=,2.515608, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.496781, id=,S03, PRDE,actvstrat=,0.067776, actvprof=,1.005715, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.156948, id=,S07, PRDE,actvstrat=,0.790263, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.014091, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.496781, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.973709, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.335899, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.543419, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.007945, id=,S00, PRDE,actvstrat=,-0.383533, actvprof=,2.375410, id=,S01, PRDE,actvstrat=,0.764362, actvprof=,5.692261, id=,S03, PRDE,actvstrat=,0.168525, actvprof=,1.005334, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.143619, id=,S07, PRDE,actvstrat=,0.071338, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.007945, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.692261, best_S_strat=,0.764362, 
t=,64800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.973709, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,0.335899, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.566838, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.007424, id=,S00, PRDE,actvstrat=,-0.383533, actvprof=,2.403939, id=,S01, PRDE,actvstrat=,0.764362, actvprof=,5.680535, id=,S03, PRDE,actvstrat=,0.168525, actvprof=,0.995854, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.148059, id=,S07, PRDE,actvstrat=,0.071338, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.007424, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,5.680535, best_S_strat=,0.764362, 
t=,68400, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.842106, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.627287, actvprof=,1.847603, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.821046, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.536141, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.364687, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.161509, id=,S05, PRDE,actvstrat=,0.713742, actvprof=,0.015279, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.821046, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.536141, best_S_strat=,-1.000000, 
t=,72000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.842106, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,0.627287, actvprof=,1.923248, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.911220, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.532237, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.384705, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.116309, id=,S05, PRDE,actvstrat=,0.713742, actvprof=,0.015000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.911220, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,5.532237, best_S_strat=,-1.000000, 
