t=,39600, id=,B01, PRDE,actvstrat=,-0.206828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.010557, id=,B03, PRDE,actvstrat=,-0.595423, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.259692, actvprof=,0.117789, id=,B09, PRDE,actvstrat=,-0.336788, actvprof=,5.448585, id=,S00, PRDE,actvstrat=,0.724574, actvprof=,5.720834, id=,S01, PRDE,actvstrat=,0.396131, actvprof=,3.396164, id=,S02, PRDE,actvstrat=,-0.270753, actvprof=,0.790910, id=,S03, PRDE,actvstrat=,0.860758, actvprof=,1.217063, id=,S08, PRDE,actvstrat=,0.082307, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.448585, best_B_strat=,-0.336788, best_S_id=,S00, best_S_prof=,5.720834, best_S_strat=,0.724574, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.206828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.008056, id=,B03, PRDE,actvstrat=,-0.595423, actvprof=,0.004028, id=,B04, PRDE,actvstrat=,0.259692, actvprof=,0.095838, id=,B09, PRDE,actvstrat=,-0.336788, actvprof=,5.448043, id=,S00, PRDE,actvstrat=,0.724574, actvprof=,5.823061, id=,S01, PRDE,actvstrat=,0.396131, actvprof=,3.505726, id=,S02, PRDE,actvstrat=,-0.270753, actvprof=,0.757815, id=,S03, PRDE,actvstrat=,0.860758, actvprof=,1.258811, id=,S08, PRDE,actvstrat=,0.082307, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.448043, best_B_strat=,-0.336788, best_S_id=,S00, best_S_prof=,5.823061, best_S_strat=,0.724574, 
t=,46800, id=,B01, PRDE,actvstrat=,-0.955067, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.035642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.150104, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.320577, actvprof=,0.000556, id=,B09, PRDE,actvstrat=,-0.453314, actvprof=,4.441265, id=,S00, PRDE,actvstrat=,-0.649045, actvprof=,3.519231, id=,S01, PRDE,actvstrat=,-0.582711, actvprof=,2.203548, id=,S02, PRDE,actvstrat=,0.395253, actvprof=,2.674427, id=,S03, PRDE,actvstrat=,-0.713654, actvprof=,0.259192, id=,S08, PRDE,actvstrat=,0.750202, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.441265, best_B_strat=,-0.453314, best_S_id=,S00, best_S_prof=,3.519231, best_S_strat=,-0.649045, 
t=,50400, id=,B01, PRDE,actvstrat=,-0.955067, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.035642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.150104, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,0.320577, actvprof=,0.006111, id=,B09, PRDE,actvstrat=,-0.453314, actvprof=,4.431604, id=,S00, PRDE,actvstrat=,-0.649045, actvprof=,3.476697, id=,S01, PRDE,actvstrat=,-0.582711, actvprof=,2.144132, id=,S02, PRDE,actvstrat=,0.395253, actvprof=,2.673880, id=,S03, PRDE,actvstrat=,-0.713654, actvprof=,0.243067, id=,S08, PRDE,actvstrat=,0.750202, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.431604, best_B_strat=,-0.453314, best_S_id=,S00, best_S_prof=,3.476697, best_S_strat=,-0.649045, 
t=,54000, id=,B01, PRDE,actvstrat=,0.500658, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493793, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.724531, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.685732, actvprof=,0.001111, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.982346, id=,S00, PRDE,actvstrat=,-0.329387, actvprof=,4.074841, id=,S01, PRDE,actvstrat=,-0.501751, actvprof=,2.341339, id=,S02, PRDE,actvstrat=,-0.578161, actvprof=,1.025377, id=,S03, PRDE,actvstrat=,0.103192, actvprof=,0.944258, id=,S08, PRDE,actvstrat=,0.795796, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.982346, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,4.074841, best_S_strat=,-0.329387, 
t=,57600, id=,B01, PRDE,actvstrat=,0.500658, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493793, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.724531, actvprof=,0.001528, id=,B04, PRDE,actvstrat=,-0.685732, actvprof=,0.002639, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.029231, id=,S00, PRDE,actvstrat=,-0.329387, actvprof=,3.873938, id=,S01, PRDE,actvstrat=,-0.501751, actvprof=,2.284694, id=,S02, PRDE,actvstrat=,-0.578161, actvprof=,0.980325, id=,S03, PRDE,actvstrat=,0.103192, actvprof=,0.934768, id=,S08, PRDE,actvstrat=,0.795796, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.029231, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,3.873938, best_S_strat=,-0.329387, 
t=,61200, id=,B01, PRDE,actvstrat=,-0.119702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493793, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.531322, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.197443, actvprof=,0.008056, id=,B09, PRDE,actvstrat=,0.311239, actvprof=,5.804812, id=,S00, PRDE,actvstrat=,0.302734, actvprof=,5.489777, id=,S01, PRDE,actvstrat=,0.198738, actvprof=,3.781809, id=,S02, PRDE,actvstrat=,-0.122412, actvprof=,1.444327, id=,S03, PRDE,actvstrat=,-0.241868, actvprof=,0.322814, id=,S08, PRDE,actvstrat=,-0.575799, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.804812, best_B_strat=,0.311239, best_S_id=,S00, best_S_prof=,5.489777, best_S_strat=,0.302734, 
t=,64800, id=,B01, PRDE,actvstrat=,-0.119702, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.493793, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,-0.531322, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.197443, actvprof=,0.011112, id=,B09, PRDE,actvstrat=,0.311239, actvprof=,5.964832, id=,S00, PRDE,actvstrat=,0.302734, actvprof=,5.435782, id=,S01, PRDE,actvstrat=,0.198738, actvprof=,3.702238, id=,S02, PRDE,actvstrat=,-0.122412, actvprof=,1.437143, id=,S03, PRDE,actvstrat=,-0.241868, actvprof=,0.318347, id=,S08, PRDE,actvstrat=,-0.575799, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.964832, best_B_strat=,0.311239, best_S_id=,S00, best_S_prof=,5.435782, best_S_strat=,0.302734, 
t=,68400, id=,B01, PRDE,actvstrat=,-0.228640, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.057138, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.441616, actvprof=,0.014724, id=,B04, PRDE,actvstrat=,0.683681, actvprof=,0.135291, id=,B09, PRDE,actvstrat=,-0.786348, actvprof=,4.334310, id=,S00, PRDE,actvstrat=,-0.059711, actvprof=,3.818705, id=,S01, PRDE,actvstrat=,0.755127, actvprof=,4.400983, id=,S02, PRDE,actvstrat=,-0.257288, actvprof=,0.811468, id=,S03, PRDE,actvstrat=,0.934531, actvprof=,1.500424, id=,S08, PRDE,actvstrat=,-0.370624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.334310, best_B_strat=,-0.786348, best_S_id=,S01, best_S_prof=,4.400983, best_S_strat=,0.755127, 
t=,72000, id=,B01, PRDE,actvstrat=,-0.228640, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.057138, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.441616, actvprof=,0.010417, id=,B04, PRDE,actvstrat=,0.683681, actvprof=,0.124312, id=,B09, PRDE,actvstrat=,-0.786348, actvprof=,4.221901, id=,S00, PRDE,actvstrat=,-0.059711, actvprof=,3.805350, id=,S01, PRDE,actvstrat=,0.755127, actvprof=,4.463165, id=,S02, PRDE,actvstrat=,-0.257288, actvprof=,0.780877, id=,S03, PRDE,actvstrat=,0.934531, actvprof=,1.496611, id=,S08, PRDE,actvstrat=,-0.370624, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.221901, best_B_strat=,-0.786348, best_S_id=,S01, best_S_prof=,4.463165, best_S_strat=,0.755127, 
