t=,39600, id=,B01, PRDE,actvstrat=,-0.860268, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.122346, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,-0.463876, actvprof=,0.721151, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.870493, id=,S01, PRDE,actvstrat=,0.735610, actvprof=,3.180454, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.039447, id=,S05, PRDE,actvstrat=,0.709093, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.090985, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663545, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.870493, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.180454, best_S_strat=,0.735610, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.860268, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.122346, actvprof=,0.004167, id=,B05, PRDE,actvstrat=,-0.463876, actvprof=,0.642648, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.849220, id=,S01, PRDE,actvstrat=,0.735610, actvprof=,3.264629, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.037778, id=,S05, PRDE,actvstrat=,0.709093, actvprof=,0.001250, id=,S07, PRDE,actvstrat=,0.090985, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663545, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.849220, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,3.264629, best_S_strat=,0.735610, 
t=,46800, id=,B01, PRDE,actvstrat=,0.554842, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.584081, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.104889, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.061042, actvprof=,0.541171, id=,B06, PRDE,actvstrat=,0.547747, actvprof=,2.228303, id=,S01, PRDE,actvstrat=,-0.601459, actvprof=,1.031781, id=,S04, PRDE,actvstrat=,-0.980903, actvprof=,0.033059, id=,S05, PRDE,actvstrat=,0.111450, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.747559, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.339514, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.228303, best_B_strat=,0.547747, best_S_id=,S01, best_S_prof=,1.031781, best_S_strat=,-0.601459, 
t=,50400, id=,B01, PRDE,actvstrat=,0.554842, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.584081, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.104889, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.061042, actvprof=,0.450442, id=,B06, PRDE,actvstrat=,0.547747, actvprof=,2.112062, id=,S01, PRDE,actvstrat=,-0.601459, actvprof=,1.032418, id=,S04, PRDE,actvstrat=,-0.980903, actvprof=,0.030696, id=,S05, PRDE,actvstrat=,0.111450, actvprof=,0.001250, id=,S07, PRDE,actvstrat=,0.747559, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.339514, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.112062, best_B_strat=,0.547747, best_S_id=,S01, best_S_prof=,1.032418, best_S_strat=,-0.601459, 
t=,54000, id=,B01, PRDE,actvstrat=,-0.022119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.647486, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.249622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.737026, id=,B06, PRDE,actvstrat=,-0.169500, actvprof=,0.728414, id=,S01, PRDE,actvstrat=,0.110262, actvprof=,2.863096, id=,S04, PRDE,actvstrat=,0.131455, actvprof=,0.127236, id=,S05, PRDE,actvstrat=,0.422151, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.737026, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.863096, best_S_strat=,0.110262, 
t=,57600, id=,B01, PRDE,actvstrat=,-0.022119, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.647486, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.249622, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.746842, id=,B06, PRDE,actvstrat=,-0.169500, actvprof=,0.706562, id=,S01, PRDE,actvstrat=,0.110262, actvprof=,2.950977, id=,S04, PRDE,actvstrat=,0.131455, actvprof=,0.122367, id=,S05, PRDE,actvstrat=,0.422151, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B05, best_B_prof=,0.746842, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.950977, best_S_strat=,0.110262, 
t=,61200, id=,B01, PRDE,actvstrat=,0.150734, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301037, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.927206, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.556367, actvprof=,0.682298, id=,B06, PRDE,actvstrat=,0.273370, actvprof=,2.687521, id=,S01, PRDE,actvstrat=,0.110262, actvprof=,1.776308, id=,S04, PRDE,actvstrat=,-0.931292, actvprof=,0.008612, id=,S05, PRDE,actvstrat=,0.071439, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.216421, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.599050, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.687521, best_B_strat=,0.273370, best_S_id=,S01, best_S_prof=,1.776308, best_S_strat=,0.110262, 
t=,64800, id=,B01, PRDE,actvstrat=,0.150734, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.301037, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.927206, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.556367, actvprof=,0.638785, id=,B06, PRDE,actvstrat=,0.273370, actvprof=,2.727790, id=,S01, PRDE,actvstrat=,0.110262, actvprof=,1.872048, id=,S04, PRDE,actvstrat=,-0.931292, actvprof=,0.004306, id=,S05, PRDE,actvstrat=,0.071439, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,0.216421, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.599050, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.727790, best_B_strat=,0.273370, best_S_id=,S01, best_S_prof=,1.872048, best_S_strat=,0.110262, 
t=,68400, id=,B01, PRDE,actvstrat=,0.097218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.089692, actvprof=,0.001945, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.436160, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.856595, id=,S01, PRDE,actvstrat=,-0.037509, actvprof=,2.561674, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.060673, id=,S05, PRDE,actvstrat=,-0.301710, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.729775, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.697108, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.856595, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.561674, best_S_strat=,-0.037509, 
t=,72000, id=,B01, PRDE,actvstrat=,0.097218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.089692, actvprof=,0.000972, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.425579, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.826213, id=,S01, PRDE,actvstrat=,-0.037509, actvprof=,2.675565, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.061726, id=,S05, PRDE,actvstrat=,-0.301710, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,0.729775, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.697108, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.826213, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.675565, best_S_strat=,-0.037509, 
