t=,39600, id=,B00, PRDE,actvstrat=,0.344448, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.339833, actvprof=,0.005834, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.480582, id=,B08, PRDE,actvstrat=,0.532419, actvprof=,5.501139, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,6.062003, id=,S01, PRDE,actvstrat=,0.189598, actvprof=,2.024557, id=,S02, PRDE,actvstrat=,-0.529663, actvprof=,0.223901, id=,S08, PRDE,actvstrat=,0.484109, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.501139, best_B_strat=,0.532419, best_S_id=,S00, best_S_prof=,6.062003, best_S_strat=,0.926217, 
t=,43200, id=,B00, PRDE,actvstrat=,0.344448, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,0.339833, actvprof=,0.003333, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.541126, id=,B08, PRDE,actvstrat=,0.532419, actvprof=,5.589461, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.973221, id=,S01, PRDE,actvstrat=,0.189598, actvprof=,1.966444, id=,S02, PRDE,actvstrat=,-0.529663, actvprof=,0.211534, id=,S08, PRDE,actvstrat=,0.484109, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.589461, best_B_strat=,0.532419, best_S_id=,S00, best_S_prof=,5.973221, best_S_strat=,0.926217, 
t=,46800, id=,B00, PRDE,actvstrat=,-0.935371, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.123062, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.621125, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.725967, actvprof=,0.316129, id=,B08, PRDE,actvstrat=,-0.806032, actvprof=,3.286016, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.264459, id=,S01, PRDE,actvstrat=,-0.127164, actvprof=,0.540308, id=,S02, PRDE,actvstrat=,-0.130803, actvprof=,0.146953, id=,S08, PRDE,actvstrat=,0.453704, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.199410, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.286016, best_B_strat=,-0.806032, best_S_id=,S00, best_S_prof=,5.264459, best_S_strat=,0.926217, 
t=,50400, id=,B00, PRDE,actvstrat=,-0.935371, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.123062, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.621125, actvprof=,0.000139, id=,B05, PRDE,actvstrat=,-0.725967, actvprof=,0.358066, id=,B08, PRDE,actvstrat=,-0.806032, actvprof=,3.401344, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.221812, id=,S01, PRDE,actvstrat=,-0.127164, actvprof=,0.483625, id=,S02, PRDE,actvstrat=,-0.130803, actvprof=,0.125559, id=,S08, PRDE,actvstrat=,0.453704, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.199410, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.401344, best_B_strat=,-0.806032, best_S_id=,S00, best_S_prof=,5.221812, best_S_strat=,0.926217, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.534039, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.080642, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.212253, actvprof=,0.299461, id=,B08, PRDE,actvstrat=,0.358802, actvprof=,5.621979, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.439469, id=,S01, PRDE,actvstrat=,-0.728889, actvprof=,0.368632, id=,S02, PRDE,actvstrat=,-0.681220, actvprof=,0.116118, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.621979, best_B_strat=,0.358802, best_S_id=,S00, best_S_prof=,5.439469, best_S_strat=,0.926217, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.534039, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,-0.080642, actvprof=,0.000417, id=,B05, PRDE,actvstrat=,-0.212253, actvprof=,0.316120, id=,B08, PRDE,actvstrat=,0.358802, actvprof=,5.620712, id=,S00, PRDE,actvstrat=,0.926217, actvprof=,5.580572, id=,S01, PRDE,actvstrat=,-0.728889, actvprof=,0.394594, id=,S02, PRDE,actvstrat=,-0.681220, actvprof=,0.109170, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785710, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.620712, best_B_strat=,0.358802, best_S_id=,S00, best_S_prof=,5.580572, best_S_strat=,0.926217, 
t=,61200, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.022313, actvprof=,0.009723, id=,B05, PRDE,actvstrat=,0.628370, actvprof=,1.036169, id=,B08, PRDE,actvstrat=,0.532419, actvprof=,5.810323, id=,S00, PRDE,actvstrat=,0.357058, actvprof=,3.173232, id=,S01, PRDE,actvstrat=,0.848879, actvprof=,4.016056, id=,S02, PRDE,actvstrat=,0.908229, actvprof=,2.555142, id=,S08, PRDE,actvstrat=,-0.557636, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327580, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.810323, best_B_strat=,0.532419, best_S_id=,S01, best_S_prof=,4.016056, best_S_strat=,0.848879, 
t=,64800, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.089462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.022313, actvprof=,0.010139, id=,B05, PRDE,actvstrat=,0.628370, actvprof=,0.999333, id=,B08, PRDE,actvstrat=,0.532419, actvprof=,5.708909, id=,S00, PRDE,actvstrat=,0.357058, actvprof=,3.282036, id=,S01, PRDE,actvstrat=,0.848879, actvprof=,4.050529, id=,S02, PRDE,actvstrat=,0.908229, actvprof=,2.616045, id=,S08, PRDE,actvstrat=,-0.557636, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327580, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.708909, best_B_strat=,0.532419, best_S_id=,S01, best_S_prof=,4.050529, best_S_strat=,0.848879, 
t=,68400, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.080642, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.695316, id=,B08, PRDE,actvstrat=,0.900086, actvprof=,6.427579, id=,S00, PRDE,actvstrat=,0.731170, actvprof=,4.619146, id=,S01, PRDE,actvstrat=,0.739022, actvprof=,3.157398, id=,S02, PRDE,actvstrat=,-0.462701, actvprof=,0.152231, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.744179, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.427579, best_B_strat=,0.900086, best_S_id=,S00, best_S_prof=,4.619146, best_S_strat=,0.731170, 
t=,72000, id=,B00, PRDE,actvstrat=,0.358828, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.803661, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,-0.080642, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.081553, actvprof=,0.659046, id=,B08, PRDE,actvstrat=,0.900086, actvprof=,6.413511, id=,S00, PRDE,actvstrat=,0.731170, actvprof=,4.693464, id=,S01, PRDE,actvstrat=,0.739022, actvprof=,3.185644, id=,S02, PRDE,actvstrat=,-0.462701, actvprof=,0.161254, id=,S08, PRDE,actvstrat=,-0.857867, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.744179, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.413511, best_B_strat=,0.900086, best_S_id=,S00, best_S_prof=,4.693464, best_S_strat=,0.731170, 
