t=,43200, id=,B00, PRDE,actvstrat=,0.600030, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.921759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.664259, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.064190, actvprof=,2.385066, id=,B08, PRDE,actvstrat=,-0.367255, actvprof=,3.195922, id=,S01, PRDE,actvstrat=,-0.636791, actvprof=,0.539459, id=,S04, PRDE,actvstrat=,-0.438732, actvprof=,0.004861, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.016667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.001529, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.195922, best_B_strat=,-0.367255, best_S_id=,S01, best_S_prof=,0.539459, best_S_strat=,-0.636791, 
t=,46800, id=,B00, PRDE,actvstrat=,0.982472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332560, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.443173, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.503942, actvprof=,3.046836, id=,B08, PRDE,actvstrat=,-0.567290, actvprof=,2.701817, id=,S01, PRDE,actvstrat=,-0.992079, actvprof=,0.347519, id=,S04, PRDE,actvstrat=,0.300462, actvprof=,0.182788, id=,S05, PRDE,actvstrat=,0.248587, actvprof=,0.005278, id=,S06, PRDE,actvstrat=,-0.230350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.748606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.046836, best_B_strat=,0.503942, best_S_id=,S01, best_S_prof=,0.347519, best_S_strat=,-0.992079, 
t=,50400, id=,B00, PRDE,actvstrat=,0.982472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332560, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.443173, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.503942, actvprof=,2.854802, id=,B08, PRDE,actvstrat=,-0.567290, actvprof=,2.617989, id=,S01, PRDE,actvstrat=,-0.992079, actvprof=,0.318203, id=,S04, PRDE,actvstrat=,0.300462, actvprof=,0.188477, id=,S05, PRDE,actvstrat=,0.248587, actvprof=,0.005139, id=,S06, PRDE,actvstrat=,-0.230350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.748606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.854802, best_B_strat=,0.503942, best_S_id=,S01, best_S_prof=,0.318203, best_S_strat=,-0.992079, 
t=,54000, id=,B00, PRDE,actvstrat=,-0.365280, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.848012, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.571317, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.038314, actvprof=,2.235711, id=,B08, PRDE,actvstrat=,-0.667115, actvprof=,2.798528, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.695604, id=,S04, PRDE,actvstrat=,-0.067193, actvprof=,0.014445, id=,S05, PRDE,actvstrat=,0.550077, actvprof=,0.015557, id=,S06, PRDE,actvstrat=,-0.848740, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.798528, best_B_strat=,-0.667115, best_S_id=,S01, best_S_prof=,4.695604, best_S_strat=,-1.000000, 
t=,57600, id=,B00, PRDE,actvstrat=,-0.365280, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.848012, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.571317, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,-0.038314, actvprof=,2.222299, id=,B08, PRDE,actvstrat=,-0.667115, actvprof=,2.856210, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.632105, id=,S04, PRDE,actvstrat=,-0.067193, actvprof=,0.022223, id=,S05, PRDE,actvstrat=,0.550077, actvprof=,0.010973, id=,S06, PRDE,actvstrat=,-0.848740, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.856210, best_B_strat=,-0.667115, best_S_id=,S01, best_S_prof=,4.632105, best_S_strat=,-1.000000, 
t=,61200, id=,B00, PRDE,actvstrat=,0.158475, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.032430, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.572600, actvprof=,0.003611, id=,B07, PRDE,actvstrat=,0.352900, actvprof=,2.709355, id=,B08, PRDE,actvstrat=,-0.468004, actvprof=,2.904646, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.919508, id=,S04, PRDE,actvstrat=,-0.522316, actvprof=,0.012501, id=,S05, PRDE,actvstrat=,-0.890266, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.094256, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,0.538650, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.904646, best_B_strat=,-0.468004, best_S_id=,S01, best_S_prof=,4.919508, best_S_strat=,-1.000000, 
t=,64800, id=,B00, PRDE,actvstrat=,0.158475, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.032430, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.572600, actvprof=,0.001806, id=,B07, PRDE,actvstrat=,0.352900, actvprof=,2.588284, id=,B08, PRDE,actvstrat=,-0.468004, actvprof=,2.771207, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.090316, id=,S04, PRDE,actvstrat=,-0.522316, actvprof=,0.014584, id=,S05, PRDE,actvstrat=,-0.890266, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.094256, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,0.538650, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.771207, best_B_strat=,-0.468004, best_S_id=,S01, best_S_prof=,5.090316, best_S_strat=,-1.000000, 
t=,68400, id=,B00, PRDE,actvstrat=,0.769207, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.616462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.919027, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.097539, actvprof=,3.013543, id=,B08, PRDE,actvstrat=,-0.448003, actvprof=,3.464963, id=,S01, PRDE,actvstrat=,-0.554583, actvprof=,0.546149, id=,S04, PRDE,actvstrat=,0.647304, actvprof=,0.080283, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.021113, id=,S06, PRDE,actvstrat=,-0.390088, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.584750, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.464963, best_B_strat=,-0.448003, best_S_id=,S01, best_S_prof=,0.546149, best_S_strat=,-0.554583, 
t=,72000, id=,B00, PRDE,actvstrat=,0.769207, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.616462, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.919027, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.097539, actvprof=,2.852599, id=,B08, PRDE,actvstrat=,-0.448003, actvprof=,3.359700, id=,S01, PRDE,actvstrat=,-0.554583, actvprof=,0.568631, id=,S04, PRDE,actvstrat=,0.647304, actvprof=,0.107504, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.020417, id=,S06, PRDE,actvstrat=,-0.390088, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.584750, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.359700, best_B_strat=,-0.448003, best_S_id=,S01, best_S_prof=,0.568631, best_S_strat=,-0.554583, 
t=,75600, id=,B00, PRDE,actvstrat=,0.963387, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.845877, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.125249, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.052572, actvprof=,2.343774, id=,B08, PRDE,actvstrat=,-0.328006, actvprof=,3.212723, id=,S01, PRDE,actvstrat=,0.041607, actvprof=,1.953469, id=,S04, PRDE,actvstrat=,0.650413, actvprof=,0.196680, id=,S05, PRDE,actvstrat=,0.659704, actvprof=,0.020835, id=,S06, PRDE,actvstrat=,-0.207967, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.999163, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.212723, best_B_strat=,-0.328006, best_S_id=,S01, best_S_prof=,1.953469, best_S_strat=,0.041607, 
